Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
41000	0.092720	2	0.126906	0.251244	0.121228	0.131237	0.237996	0.131389	0.126906	0.251244	0.121228	0.131237	0.237996	0.131389	0.126906	0.251244	0.121228	0.131237	0.237996	0.131389	0.247398	0.124325	0.149541	0.123736	0.118231	0.236768	0.247398	0.124325	0.149541	0.123736	0.118231	0.236768	0.247398	0.124325	0.149541	0.123736	0.118231	0.236768	
42000	0.092720	2	0.125485	0.270363	0.135711	0.122047	0.223155	0.123239	0.125485	0.270363	0.135711	0.122047	0.223155	0.123239	0.125485	0.270363	0.135711	0.122047	0.223155	0.123239	0.232777	0.113479	0.160378	0.131751	0.107002	0.254614	0.232777	0.113479	0.160378	0.131751	0.107002	0.254614	0.232777	0.113479	0.160378	0.131751	0.107002	0.254614	
43000	0.092720	2	0.125963	0.261193	0.119825	0.142011	0.224048	0.126960	0.125963	0.261193	0.119825	0.142011	0.224048	0.126960	0.125963	0.261193	0.119825	0.142011	0.224048	0.126960	0.242079	0.118891	0.140954	0.123396	0.125485	0.249195	0.242079	0.118891	0.140954	0.123396	0.125485	0.249195	0.242079	0.118891	0.140954	0.123396	0.125485	0.249195	
44000	0.092720	2	0.129515	0.258957	0.126173	0.130249	0.226896	0.128211	0.129515	0.258957	0.126173	0.130249	0.226896	0.128211	0.129515	0.258957	0.126173	0.130249	0.226896	0.128211	0.239240	0.117398	0.151047	0.128379	0.114182	0.249754	0.239240	0.117398	0.151047	0.128379	0.114182	0.249754	0.239240	0.117398	0.151047	0.128379	0.114182	0.249754	
45000	0.092720	2	0.136626	0.256940	0.117599	0.129971	0.236870	0.121993	0.136626	0.256940	0.117599	0.129971	0.236870	0.121993	0.136626	0.256940	0.117599	0.129971	0.236870	0.121993	0.240351	0.127507	0.136858	0.143148	0.111257	0.240878	0.240351	0.127507	0.136858	0.143148	0.111257	0.240878	0.240351	0.127507	0.136858	0.143148	0.111257	0.240878	
46000	0.092720	2	0.136806	0.251325	0.118817	0.141287	0.226711	0.125053	0.136806	0.251325	0.118817	0.141287	0.226711	0.125053	0.136806	0.251325	0.118817	0.141287	0.226711	0.125053	0.232170	0.114822	0.145504	0.133463	0.118790	0.255250	0.232170	0.114822	0.145504	0.133463	0.118790	0.255250	0.232170	0.114822	0.145504	0.133463	0.118790	0.255250	
47000	0.092720	2	0.125888	0.261983	0.124848	0.127145	0.240654	0.119482	0.125888	0.261983	0.124848	0.127145	0.240654	0.119482	0.125888	0.261983	0.124848	0.127145	0.240654	0.119482	0.257392	0.115122	0.146907	0.135397	0.115363	0.229819	0.257392	0.115122	0.146907	0.135397	0.115363	0.229819	0.257392	0.115122	0.146907	0.135397	0.115363	0.229819	
48000	0.092720	2	0.133557	0.236792	0.122645	0.138761	0.244579	0.123666	0.133557	0.236792	0.122645	0.138761	0.244579	0.123666	0.133557	0.236792	0.122645	0.138761	0.244579	0.123666	0.257007	0.124505	0.148851	0.124604	0.116262	0.228770	0.257007	0.124505	0.148851	0.124604	0.116262	0.228770	0.257007	0.124505	0.148851	0.124604	0.116262	0.228770	
49000	0.092720	2	0.129205	0.260145	0.121938	0.130157	0.238464	0.120091	0.129205	0.260145	0.121938	0.130157	0.238464	0.120091	0.129205	0.260145	0.121938	0.130157	0.238464	0.120091	0.254271	0.121884	0.148875	0.128482	0.122503	0.223984	0.254271	0.121884	0.148875	0.128482	0.122503	0.223984	0.254271	0.121884	0.148875	0.128482	0.122503	0.223984	
50000	0.092720	2	0.130002	0.251052	0.123528	0.135267	0.236729	0.123422	0.130002	0.251052	0.123528	0.135267	0.236729	0.123422	0.130002	0.251052	0.123528	0.135267	0.236729	0.123422	0.247500	0.120612	0.140822	0.129408	0.117106	0.244552	0.247500	0.120612	0.140822	0.129408	0.117106	0.244552	0.247500	0.120612	0.140822	0.129408	0.117106	0.244552	
51000	0.092720	2	0.131857	0.270464	0.117381	0.137085	0.217497	0.125717	0.131857	0.270464	0.117381	0.137085	0.217497	0.125717	0.131857	0.270464	0.117381	0.137085	0.217497	0.125717	0.257492	0.131725	0.132305	0.130906	0.110946	0.236625	0.257492	0.131725	0.132305	0.130906	0.110946	0.236625	0.257492	0.131725	0.132305	0.130906	0.110946	0.236625	
52000	0.092720	2	0.138646	0.254965	0.115596	0.128540	0.235039	0.127213	0.138646	0.254965	0.115596	0.128540	0.235039	0.127213	0.138646	0.254965	0.115596	0.128540	0.235039	0.127213	0.225357	0.132275	0.141225	0.136901	0.126297	0.237945	0.225357	0.132275	0.141225	0.136901	0.126297	0.237945	0.225357	0.132275	0.141225	0.136901	0.126297	0.237945	
53000	0.092720	2	0.130021	0.252234	0.121686	0.129023	0.242003	0.125033	0.130021	0.252234	0.121686	0.129023	0.242003	0.125033	0.130021	0.252234	0.121686	0.129023	0.242003	0.125033	0.239896	0.128645	0.135646	0.131498	0.118184	0.246131	0.239896	0.128645	0.135646	0.131498	0.118184	0.246131	0.239896	0.128645	0.135646	0.131498	0.118184	0.246131	
54000	0.092720	2	0.132069	0.250208	0.126487	0.126923	0.242738	0.121576	0.132069	0.250208	0.126487	0.126923	0.242738	0.121576	0.132069	0.250208	0.126487	0.126923	0.242738	0.121576	0.238192	0.122242	0.145042	0.132152	0.119525	0.242848	0.238192	0.122242	0.145042	0.132152	0.119525	0.242848	0.238192	0.122242	0.145042	0.132152	0.119525	0.242848	
55000	0.092720	2	0.122743	0.258213	0.119746	0.131350	0.239363	0.128585	0.122743	0.258213	0.119746	0.131350	0.239363	0.128585	0.122743	0.258213	0.119746	0.131350	0.239363	0.128585	0.248008	0.122623	0.139322	0.135888	0.114906	0.239253	0.248008	0.122623	0.139322	0.135888	0.114906	0.239253	0.248008	0.122623	0.139322	0.135888	0.114906	0.239253	
56000	0.092720	2	0.129040	0.259509	0.124912	0.124363	0.237502	0.124674	0.129040	0.259509	0.124912	0.124363	0.237502	0.124674	0.129040	0.259509	0.124912	0.124363	0.237502	0.124674	0.247960	0.130683	0.139657	0.131095	0.104118	0.246486	0.247960	0.130683	0.139657	0.131095	0.104118	0.246486	0.247960	0.130683	0.139657	0.131095	0.104118	0.246486	
57000	0.092720	2	0.130409	0.255257	0.119495	0.135800	0.234720	0.124319	0.130409	0.255257	0.119495	0.135800	0.234720	0.124319	0.130409	0.255257	0.119495	0.135800	0.234720	0.124319	0.247973	0.124620	0.137508	0.135888	0.116948	0.237063	0.247973	0.124620	0.137508	0.135888	0.116948	0.237063	0.247973	0.124620	0.137508	0.135888	0.116948	0.237063	
58000	0.092720	2	0.134818	0.258130	0.127043	0.123408	0.240515	0.116086	0.134818	0.258130	0.127043	0.123408	0.240515	0.116086	0.134818	0.258130	0.127043	0.123408	0.240515	0.116086	0.255631	0.115565	0.149728	0.135867	0.116023	0.227186	0.255631	0.115565	0.149728	0.135867	0.116023	0.227186	0.255631	0.115565	0.149728	0.135867	0.116023	0.227186	
59000	0.092720	2	0.131845	0.253909	0.128050	0.128484	0.231237	0.126475	0.131845	0.253909	0.128050	0.128484	0.231237	0.126475	0.131845	0.253909	0.128050	0.128484	0.231237	0.126475	0.241255	0.128047	0.144133	0.130893	0.117403	0.238268	0.241255	0.128047	0.144133	0.130893	0.117403	0.238268	0.241255	0.128047	0.144133	0.130893	0.117403	0.238268	
60000	0.092720	2	0.131950	0.246726	0.120511	0.128078	0.244974	0.127761	0.131950	0.246726	0.120511	0.128078	0.244974	0.127761	0.131950	0.246726	0.120511	0.128078	0.244974	0.127761	0.242576	0.123905	0.145162	0.127993	0.120969	0.239395	0.242576	0.123905	0.145162	0.127993	0.120969	0.239395	0.242576	0.123905	0.145162	0.127993	0.120969	0.239395	
61000	0.092720	2	0.127678	0.255737	0.118469	0.127087	0.239488	0.131541	0.127678	0.255737	0.118469	0.127087	0.239488	0.131541	0.127678	0.255737	0.118469	0.127087	0.239488	0.131541	0.246042	0.124336	0.144515	0.130297	0.110225	0.244585	0.246042	0.124336	0.144515	0.130297	0.110225	0.244585	0.246042	0.124336	0.144515	0.130297	0.110225	0.244585	
62000	0.092720	2	0.135109	0.255518	0.124905	0.126921	0.237806	0.119742	0.135109	0.255518	0.124905	0.126921	0.237806	0.119742	0.135109	0.255518	0.124905	0.126921	0.237806	0.119742	0.248944	0.122384	0.149610	0.127542	0.117088	0.234433	0.248944	0.122384	0.149610	0.127542	0.117088	0.234433	0.248944	0.122384	0.149610	0.127542	0.117088	0.234433	
63000	0.092720	2	0.136942	0.245191	0.126490	0.129974	0.243645	0.117758	0.136942	0.245191	0.126490	0.129974	0.243645	0.117758	0.136942	0.245191	0.126490	0.129974	0.243645	0.117758	0.240785	0.127667	0.155704	0.128670	0.114450	0.232724	0.240785	0.127667	0.155704	0.128670	0.114450	0.232724	0.240785	0.127667	0.155704	0.128670	0.114450	0.232724	
64000	0.092720	2	0.133316	0.257071	0.121613	0.125269	0.242883	0.119848	0.133316	0.257071	0.121613	0.125269	0.242883	0.119848	0.133316	0.257071	0.121613	0.125269	0.242883	0.119848	0.241158	0.120982	0.152587	0.128413	0.118321	0.238540	0.241158	0.120982	0.152587	0.128413	0.118321	0.238540	0.241158	0.120982	0.152587	0.128413	0.118321	0.238540	
65000	0.092720	2	0.127408	0.247954	0.128466	0.128539	0.243091	0.124542	0.127408	0.247954	0.128466	0.128539	0.243091	0.124542	0.127408	0.247954	0.128466	0.128539	0.243091	0.124542	0.241338	0.128645	0.147621	0.128565	0.112079	0.241753	0.241338	0.128645	0.147621	0.128565	0.112079	0.241753	0.241338	0.128645	0.147621	0.128565	0.112079	0.241753	
66000	0.092720	2	0.133626	0.265120	0.123245	0.117448	0.241910	0.118651	0.133626	0.265120	0.123245	0.117448	0.241910	0.118651	0.133626	0.265120	0.123245	0.117448	0.241910	0.118651	0.250644	0.114791	0.150740	0.125415	0.114371	0.244040	0.250644	0.114791	0.150740	0.125415	0.114371	0.244040	0.250644	0.114791	0.150740	0.125415	0.114371	0.244040	
67000	0.092720	2	0.134651	0.237211	0.127695	0.133614	0.246479	0.120350	0.134651	0.237211	0.127695	0.133614	0.246479	0.120350	0.134651	0.237211	0.127695	0.133614	0.246479	0.120350	0.241151	0.120966	0.137399	0.133695	0.112985	0.253804	0.241151	0.120966	0.137399	0.133695	0.112985	0.253804	0.241151	0.120966	0.137399	0.133695	0.112985	0.253804	
68000	0.092720	2	0.136364	0.247841	0.129848	0.126681	0.238776	0.120489	0.136364	0.247841	0.129848	0.126681	0.238776	0.120489	0.136364	0.247841	0.129848	0.126681	0.238776	0.120489	0.256346	0.119805	0.136867	0.121751	0.126126	0.239105	0.256346	0.119805	0.136867	0.121751	0.126126	0.239105	0.256346	0.119805	0.136867	0.121751	0.126126	0.239105	
