Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1335000	0.092720	4	0.159244	0.067841	0.815918	0.815918	0.067841	0.203304	
1336000	0.092720	3	0.198649	0.068261	0.836097	0.836097	0.068261	0.198649	
1337000	0.092720	3	0.182876	0.064393	0.843970	0.843970	0.064393	0.182876	
1338000	0.092720	3	0.194241	0.067306	0.832711	0.832711	0.067306	0.194241	
1339000	0.092720	3	0.214597	0.067352	0.891849	0.891849	0.067352	0.214597	
1340000	0.092720	3	0.197097	0.066065	0.835846	0.835846	0.066065	0.197097	
1341000	0.092720	3	0.196091	0.067828	0.831528	0.831528	0.067828	0.196091	
1342000	0.092720	3	0.179973	0.067261	0.837088	0.837088	0.067261	0.179973	
1343000	0.092720	3	0.181126	0.066455	0.829832	0.829832	0.066455	0.181126	
1344000	0.092720	3	0.199367	0.067708	0.830970	0.830970	0.067708	0.199367	
1345000	0.092720	3	0.191962	0.065558	0.881608	0.881608	0.065558	0.191962	
1346000	0.092720	3	0.188510	0.069541	0.851499	0.851499	0.069541	0.188510	
1347000	0.092720	3	0.194313	0.068319	0.862695	0.862695	0.068319	0.194313	
1348000	0.092720	3	0.174591	0.070767	0.841393	0.841393	0.070767	0.174591	
1349000	0.092720	3	0.191553	0.066525	0.813835	0.813835	0.066525	0.191553	
1350000	0.092720	3	0.161043	0.068592	0.885416	0.885416	0.068592	0.161043	
1351000	0.092720	4	0.162619	0.065280	0.851027	0.851027	0.065280	0.216639	
1352000	0.092720	3	0.202702	0.065523	0.805670	0.805670	0.065523	0.202702	
1353000	0.092720	3	0.193956	0.066074	0.845139	0.845139	0.066074	0.193956	
1354000	0.092720	3	0.201359	0.067548	0.832765	0.832765	0.067548	0.201359	
1355000	0.092720	3	0.203091	0.067461	0.851254	0.851254	0.067461	0.203091	
1356000	0.092720	3	0.204456	0.069901	0.859610	0.859610	0.069901	0.204456	
1357000	0.092720	3	0.165542	0.069385	0.845198	0.845198	0.069385	0.165542	
1358000	0.092720	3	0.197247	0.063988	0.846302	0.846302	0.063988	0.197247	
1359000	0.092720	3	0.194173	0.063350	0.825340	0.825340	0.063350	0.194173	
1360000	0.092720	3	0.203776	0.066512	0.826983	0.826983	0.066512	0.203776	
1361000	0.092720	3	0.193183	0.063261	0.865277	0.865277	0.063261	0.193183	
1362000	0.092720	3	0.202515	0.067711	0.899969	0.899969	0.067711	0.202515	
1363000	0.092720	3	0.192478	0.066431	0.870425	0.870425	0.066431	0.192478	
1364000	0.092720	3	0.195474	0.067989	0.824839	0.824839	0.067989	0.195474	
1365000	0.092720	3	0.192927	0.069687	0.888306	0.888306	0.069687	0.192927	
1366000	0.092720	3	0.201084	0.065566	0.809135	0.809135	0.065566	0.201084	
1367000	0.092720	5	0.186826	0.070362	0.872352	0.872352	0.064715	0.202719	
1368000	0.092720	4	0.171383	0.070611	0.896382	0.896382	0.070611	0.158986	
1369000	0.092720	3	0.192825	0.068547	0.886165	0.886165	0.068547	0.192825	
1370000	0.092720	3	0.194421	0.065783	0.865355	0.865355	0.065783	0.194421	
1371000	0.092720	3	0.195183	0.065922	0.874875	0.874875	0.065922	0.195183	
1372000	0.092720	3	0.199108	0.069959	0.843017	0.843017	0.069959	0.199108	
1373000	0.092720	3	0.190483	0.064320	0.834926	0.834926	0.064320	0.190483	
1374000	0.092720	3	0.186952	0.068460	0.829254	0.829254	0.068460	0.186952	
1375000	0.092720	4	0.158459	0.066300	0.867102	0.867102	0.066300	0.223392	
1376000	0.092720	3	0.197653	0.067260	0.897509	0.897509	0.067260	0.197653	
1377000	0.092720	3	0.190141	0.065465	0.868627	0.868627	0.065465	0.190141	
1378000	0.092720	3	0.206806	0.069439	0.809846	0.809846	0.069439	0.206806	
1379000	0.092720	3	0.190201	0.064564	0.832804	0.832804	0.064564	0.190201	
1380000	0.092720	3	0.191272	0.066744	0.784092	0.784092	0.066744	0.191272	
1381000	0.092720	3	0.220220	0.067895	0.804805	0.804805	0.067895	0.220220	
1382000	0.092720	3	0.195438	0.068749	0.869726	0.869726	0.068749	0.195438	
1383000	0.092720	3	0.192434	0.067743	0.850701	0.850701	0.067743	0.192434	
1384000	0.092720	3	0.197188	0.068129	0.846729	0.846729	0.068129	0.197188	
1385000	0.092720	3	0.173393	0.067285	0.842938	0.842938	0.067285	0.173393	
1386000	0.092720	4	0.159634	0.063529	0.851901	0.851901	0.063529	0.248205	
1387000	0.092720	3	0.200043	0.067436	0.829994	0.829994	0.067436	0.200043	
1388000	0.092720	3	0.190547	0.065663	0.815878	0.815878	0.065663	0.190547	
1389000	0.092720	3	0.188371	0.068056	0.852479	0.852479	0.068056	0.188371	
1390000	0.092720	4	0.165045	0.066734	0.902160	0.902160	0.066734	0.209746	
1391000	0.092720	3	0.192849	0.069938	0.805000	0.805000	0.069938	0.192849	
1392000	0.092720	4	0.168259	0.069640	0.848494	0.848494	0.069640	0.207391	
1393000	0.092720	3	0.188043	0.067500	0.874346	0.874346	0.067500	0.188043	
1394000	0.092720	4	0.172080	0.065718	0.857854	0.857854	0.065718	0.202244	
1395000	0.092720	3	0.197875	0.063760	0.837949	0.837949	0.063760	0.197875	
1396000	0.092720	4	0.176794	0.064024	0.792872	0.792872	0.064024	0.202971	
1397000	0.092720	3	0.195097	0.067095	0.861919	0.861919	0.067095	0.195097	
1398000	0.092720	3	0.200006	0.067031	0.819189	0.819189	0.067031	0.200006	
1399000	0.092720	3	0.201024	0.064403	0.857724	0.857724	0.064403	0.201024	
1400000	0.092720	3	0.190904	0.067359	0.853218	0.853218	0.067359	0.190904	
1401000	0.092720	3	0.172503	0.066551	0.878119	0.878119	0.066551	0.172503	
1402000	0.092720	4	0.172068	0.063502	0.808792	0.808792	0.063502	0.205392	
1403000	0.092720	3	0.196893	0.068094	0.890282	0.890282	0.068094	0.196893	
1404000	0.092720	3	0.188208	0.068820	0.828015	0.828015	0.068820	0.188208	
1405000	0.092720	3	0.168520	0.066553	0.878519	0.878519	0.066553	0.168520	
1406000	0.092720	4	0.187498	0.064485	0.817028	0.817028	0.064485	0.193061	
1407000	0.092720	3	0.201041	0.067287	0.822144	0.822144	0.067287	0.201041	
1408000	0.092720	4	0.170107	0.068072	0.828108	0.828108	0.068072	0.211919	
1409000	0.092720	4	0.201405	0.066980	0.876458	0.876458	0.060059	0.201405	
1410000	0.092720	3	0.197327	0.067157	0.826771	0.826771	0.067157	0.197327	
1411000	0.092720	3	0.197514	0.062464	0.835860	0.835860	0.062464	0.197514	
1412000	0.092720	3	0.188591	0.070260	0.828008	0.828008	0.070260	0.188591	
1413000	0.092720	3	0.183189	0.062696	0.886484	0.886484	0.062696	0.183189	
1414000	0.092720	3	0.186155	0.069402	0.820272	0.820272	0.069402	0.186155	
1415000	0.092720	3	0.184087	0.067353	0.851910	0.851910	0.067353	0.184087	
1416000	0.092720	3	0.181136	0.068087	0.842933	0.842933	0.068087	0.181136	
1417000	0.092720	3	0.189530	0.066690	0.821983	0.821983	0.066690	0.189530	
1418000	0.092720	3	0.175222	0.064217	0.844319	0.844319	0.064217	0.175222	
1419000	0.092720	3	0.199862	0.068966	0.890240	0.890240	0.068966	0.199862	
1420000	0.092720	3	0.196582	0.066822	0.808482	0.808482	0.066822	0.196582	
1421000	0.092720	3	0.192927	0.067667	0.815526	0.815526	0.067667	0.192927	
1422000	0.092720	3	0.201544	0.068061	0.845009	0.845009	0.068061	0.201544	
1423000	0.092720	3	0.192843	0.066820	0.820237	0.820237	0.066820	0.192843	
1424000	0.092720	4	0.175691	0.065479	0.905211	0.905211	0.065479	0.225782	
1425000	0.092720	4	0.184697	0.066785	0.818061	0.818061	0.066785	0.198329	
