Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
96000	0.085832	2	5.580884	18.007300	5.580884	5.580884	5.580884	5.580884	5.580884	
97000	0.085832	2	5.540165	19.207838	5.540165	5.540165	5.540165	5.540165	5.540165	
98000	0.085832	2	5.553634	17.733066	5.553634	5.553634	5.553634	5.553634	5.553634	
99000	0.085832	2	5.378356	19.966719	5.378356	5.378356	5.378356	5.378356	5.378356	
100000	0.085832	2	5.426324	19.064286	5.426324	5.426324	5.426324	5.426324	5.426324	
101000	0.085832	2	5.004847	16.800678	5.004847	5.004847	5.004847	5.004847	5.004847	
102000	0.085832	2	5.818731	18.687634	5.818731	5.818731	5.818731	5.818731	5.818731	
103000	0.085832	2	5.369222	19.608291	5.369222	5.369222	5.369222	5.369222	5.369222	
104000	0.085832	2	5.564742	16.805788	5.564742	5.564742	5.564742	5.564742	5.564742	
105000	0.085832	2	5.617660	18.106992	5.617660	5.617660	5.617660	5.617660	5.617660	
106000	0.085832	2	5.669558	18.814999	5.669558	5.669558	5.669558	5.669558	5.669558	
107000	0.085832	2	5.211132	17.800939	5.211132	5.211132	5.211132	5.211132	5.211132	
108000	0.085832	2	5.693937	17.894461	5.693937	5.693937	5.693937	5.693937	5.693937	
109000	0.085832	2	5.189620	18.988274	5.189620	5.189620	5.189620	5.189620	5.189620	
110000	0.085832	2	5.586143	16.645803	5.586143	5.586143	5.586143	5.586143	5.586143	
111000	0.085832	2	5.530397	17.701788	5.530397	5.530397	5.530397	5.530397	5.530397	
112000	0.085832	2	5.883466	17.983908	5.883466	5.883466	5.883466	5.883466	5.883466	
113000	0.085832	2	5.490003	20.412411	5.490003	5.490003	5.490003	5.490003	5.490003	
114000	0.085832	2	5.654553	19.455311	5.654553	5.654553	5.654553	5.654553	5.654553	
115000	0.085832	2	5.593394	18.226046	5.593394	5.593394	5.593394	5.593394	5.593394	
116000	0.085832	2	5.596444	20.328343	5.596444	5.596444	5.596444	5.596444	5.596444	
117000	0.085832	2	5.135637	18.598256	5.135637	5.135637	5.135637	5.135637	5.135637	
118000	0.085832	2	5.316257	16.713097	5.316257	5.316257	5.316257	5.316257	5.316257	
119000	0.085832	2	5.453195	16.844672	5.453195	5.453195	5.453195	5.453195	5.453195	
120000	0.085832	2	5.389695	19.597868	5.389695	5.389695	5.389695	5.389695	5.389695	
121000	0.085832	2	5.427813	17.590603	5.427813	5.427813	5.427813	5.427813	5.427813	
122000	0.085832	2	5.446248	16.819684	5.446248	5.446248	5.446248	5.446248	5.446248	
123000	0.085832	2	5.415439	18.287828	5.415439	5.415439	5.415439	5.415439	5.415439	
124000	0.085832	2	6.197258	17.142045	6.197258	6.197258	6.197258	6.197258	6.197258	
125000	0.085832	2	5.257054	18.173686	5.257054	5.257054	5.257054	5.257054	5.257054	
126000	0.085832	2	5.703967	19.363999	5.703967	5.703967	5.703967	5.703967	5.703967	
127000	0.085832	2	5.785390	18.599220	5.785390	5.785390	5.785390	5.785390	5.785390	
128000	0.085832	2	5.696993	21.197667	5.696993	5.696993	5.696993	5.696993	5.696993	
129000	0.085832	2	5.417137	20.478822	5.417137	5.417137	5.417137	5.417137	5.417137	
130000	0.085832	2	5.717176	18.681834	5.717176	5.717176	5.717176	5.717176	5.717176	
131000	0.085832	2	5.103825	19.759425	5.103825	5.103825	5.103825	5.103825	5.103825	
132000	0.085832	2	5.396847	19.654381	5.396847	5.396847	5.396847	5.396847	5.396847	
133000	0.085832	2	5.598167	18.413372	5.598167	5.598167	5.598167	5.598167	5.598167	
134000	0.085832	2	5.502333	17.956300	5.502333	5.502333	5.502333	5.502333	5.502333	
135000	0.085832	2	5.483037	16.905519	5.483037	5.483037	5.483037	5.483037	5.483037	
136000	0.085832	2	5.703088	17.075249	5.703088	5.703088	5.703088	5.703088	5.703088	
137000	0.085832	2	5.730379	18.549519	5.730379	5.730379	5.730379	5.730379	5.730379	
138000	0.085832	2	5.649675	18.820353	5.649675	5.649675	5.649675	5.649675	5.649675	
