Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
8784000	0.085832	3	0.270177	1.580400	0.270177	0.157343	0.157343	0.157343	1.580400	
8785000	0.085832	3	0.264120	1.326833	0.264120	0.152610	0.152610	0.152610	1.326833	
8786000	0.085832	3	0.267072	1.460109	0.267072	0.160887	0.160887	0.160887	1.460109	
8787000	0.085832	3	0.329982	1.463431	0.329982	0.152355	0.152355	0.152355	1.463431	
8788000	0.085832	3	0.280582	1.235544	0.280582	0.160005	0.160005	0.160005	1.235544	
8789000	0.085832	3	0.270305	1.383552	0.270305	0.145071	0.145071	0.145071	1.383552	
8790000	0.085832	3	0.269706	1.363489	0.269706	0.153825	0.153825	0.153825	1.363489	
8791000	0.085832	3	0.271743	1.530698	0.271743	0.157482	0.271743	0.157482	1.530698	
8792000	0.085832	3	0.262582	1.682275	0.262582	0.138971	0.138971	0.138971	1.682275	
8793000	0.085832	3	0.267200	1.573936	0.267200	0.154189	0.154189	0.154189	1.573936	
8794000	0.085832	3	0.280066	1.635205	0.280066	0.156994	0.156994	0.156994	1.635205	
8795000	0.085832	3	0.272410	1.586103	0.272410	0.152426	0.152426	0.152426	1.586103	
8796000	0.085832	3	0.271119	1.491103	0.271119	0.152978	0.152978	0.152978	1.491103	
8797000	0.085832	4	0.277041	1.331751	0.277041	0.141430	0.155258	0.155258	1.331751	
8798000	0.085832	4	0.257114	1.618325	0.307463	0.166456	0.166456	0.166456	1.618325	
8799000	0.085832	3	0.261277	1.493479	0.261277	0.151085	0.151085	0.151085	1.493479	
8800000	0.085832	3	0.307248	1.484111	0.307248	0.158309	0.158309	0.158309	1.484111	
8801000	0.085832	3	0.290766	1.239998	0.290766	0.147766	0.147766	0.147766	1.239998	
8802000	0.085832	3	0.252850	1.310020	0.252850	0.141580	0.141580	0.141580	1.310020	
8803000	0.085832	3	0.248911	1.594346	0.248911	0.155041	0.155041	0.155041	1.594346	
8804000	0.085832	3	0.240299	1.448596	0.240299	0.151924	0.151924	0.151924	1.448596	
8805000	0.085832	3	0.270598	1.219118	0.270598	0.141630	0.141630	0.141630	1.219118	
8806000	0.085832	4	0.260249	1.450530	0.260249	0.138951	0.211364	0.138951	1.450530	
8807000	0.085832	3	0.283143	1.380939	0.283143	0.147688	0.147688	0.147688	1.380939	
8808000	0.085832	3	0.267327	1.429405	0.267327	0.151425	0.151425	0.151425	1.429405	
8809000	0.085832	3	0.257560	1.518184	0.257560	0.154256	0.154256	0.154256	1.518184	
8810000	0.085832	3	0.266268	1.552408	0.266268	0.148042	0.148042	0.148042	1.552408	
8811000	0.085832	3	0.253043	1.461744	0.253043	0.148773	0.148773	0.148773	1.461744	
8812000	0.085832	3	0.279500	1.547554	0.279500	0.157914	0.157914	0.157914	1.547554	
8813000	0.085832	3	0.260948	1.309739	0.260948	0.154010	0.154010	0.154010	1.309739	
8814000	0.085832	3	0.261103	1.449322	0.261103	0.152867	0.152867	0.152867	1.449322	
8815000	0.085832	3	0.273092	1.446099	0.273092	0.133464	0.133464	0.133464	1.446099	
8816000	0.085832	3	0.258892	1.522721	0.258892	0.150142	0.150142	0.150142	1.522721	
8817000	0.085832	3	0.250270	1.598138	0.250270	0.144110	0.144110	0.144110	1.598138	
8818000	0.085832	3	0.261817	1.235901	0.261817	0.153794	0.153794	0.153794	1.235901	
8819000	0.085832	3	0.265521	1.312024	0.265521	0.159733	0.159733	0.159733	1.312024	
8820000	0.085832	3	0.252482	1.247373	0.252482	0.167742	0.167742	0.167742	1.247373	
8821000	0.085832	3	0.280519	1.085363	0.280519	0.145701	0.145701	0.145701	1.085363	
8822000	0.085832	3	0.267601	1.040218	0.267601	0.166543	0.166543	0.166543	1.040218	
8823000	0.085832	3	0.263669	1.441988	0.263669	0.159975	0.159975	0.159975	1.441988	
8824000	0.085832	4	0.261234	1.313158	0.261234	0.119414	0.168697	0.168697	1.313158	
8825000	0.085832	3	0.295194	1.363952	0.295194	0.147429	0.147429	0.147429	1.363952	
8826000	0.085832	3	0.286920	1.420488	0.286920	0.140136	0.140136	0.140136	1.420488	
8827000	0.085832	3	0.270384	1.515018	0.270384	0.145848	0.145848	0.145848	1.515018	
8828000	0.085832	3	0.275244	1.417989	0.275244	0.163290	0.163290	0.163290	1.417989	
8829000	0.085832	3	0.245987	1.348674	0.245987	0.140317	0.140317	0.140317	1.348674	
8830000	0.085832	3	0.274095	1.488452	0.274095	0.151138	0.151138	0.151138	1.488452	
8831000	0.085832	3	0.268098	1.487566	0.268098	0.157856	0.268098	0.157856	1.487566	
8832000	0.085832	2	0.227805	1.446115	0.227805	0.227805	0.227805	0.227805	1.446115	
8833000	0.085832	3	0.267847	1.380666	0.267847	0.165749	0.165749	0.165749	1.380666	
8834000	0.085832	3	0.247137	1.498138	0.247137	0.152624	0.152624	0.152624	1.498138	
8835000	0.085832	3	0.240143	1.593334	0.240143	0.152877	0.152877	0.152877	1.593334	
8836000	0.085832	3	0.261664	1.507300	0.261664	0.154787	0.154787	0.154787	1.507300	
8837000	0.085832	3	0.254458	1.663966	0.254458	0.157027	0.157027	0.157027	1.663966	
8838000	0.085832	3	0.288863	1.529352	0.288863	0.147551	0.147551	0.147551	1.529352	
8839000	0.085832	3	0.261711	1.289429	0.261711	0.155955	0.155955	0.155955	1.289429	
8840000	0.085832	3	0.263839	1.448892	0.263839	0.148562	0.148562	0.148562	1.448892	
8841000	0.085832	3	0.265859	1.520592	0.265859	0.150265	0.150265	0.150265	1.520592	
