Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
8312000	0.529975	3	0.282944	1.534399	0.282944	0.147531	0.147531	0.147531	1.534399	
8313000	0.529975	4	0.258227	1.035220	0.252643	0.142008	0.142008	0.142008	1.035220	
8314000	0.529975	3	0.260526	1.551843	0.260526	0.146767	0.146767	0.146767	1.551843	
8315000	0.529975	4	0.306577	1.387832	0.306577	0.146505	0.222244	0.146505	1.387832	
8316000	0.529975	3	0.220514	1.309837	0.220514	0.150303	0.150303	0.150303	1.309837	
8317000	0.529975	3	0.254816	1.481907	0.254816	0.160816	0.160816	0.160816	1.481907	
8318000	0.529975	4	0.259901	1.021219	0.240129	0.149756	0.149756	0.149756	1.021219	
8319000	0.529975	3	0.244691	1.534733	0.244691	0.150380	0.150380	0.150380	1.534733	
8320000	0.529975	3	0.257741	1.341316	0.257741	0.164266	0.164266	0.164266	1.341316	
8321000	0.529975	3	0.277375	1.622057	0.277375	0.139672	0.139672	0.139672	1.622057	
8322000	0.529975	4	0.262733	1.510412	0.262733	0.163012	0.163012	0.163012	1.085311	
8323000	0.529975	5	0.244011	1.243720	0.320800	0.156147	0.192054	0.156147	1.243720	
8324000	0.529975	3	0.262346	1.426161	0.262346	0.176816	0.176816	0.176816	1.426161	
8325000	0.529975	4	0.246996	1.513382	0.301667	0.182310	0.182310	0.182310	1.513382	
8326000	0.529975	3	0.245652	1.344327	0.245652	0.156347	0.245652	0.156347	1.344327	
8327000	0.529975	3	0.267884	1.542821	0.267884	0.154525	0.154525	0.154525	1.542821	
8328000	0.529975	3	0.268775	1.443091	0.268775	0.155000	0.155000	0.155000	1.443091	
8329000	0.529975	3	0.259194	1.624083	0.259194	0.171002	0.171002	0.171002	1.624083	
8330000	0.529975	3	0.260980	1.453590	0.260980	0.151646	0.151646	0.151646	1.453590	
8331000	0.529975	4	0.268283	1.512538	0.268283	0.120437	0.168324	0.168324	1.512538	
8332000	0.529975	3	0.264689	1.325551	0.264689	0.153476	0.153476	0.153476	1.325551	
8333000	0.529975	3	0.286134	1.419706	0.286134	0.178772	0.178772	0.178772	1.419706	
8334000	0.529975	3	0.291731	1.525263	0.291731	0.157774	0.157774	0.157774	1.525263	
8335000	0.529975	3	0.289579	1.721977	0.289579	0.146876	0.146876	0.146876	1.721977	
8336000	0.529975	3	0.241140	1.256015	0.241140	0.142724	0.142724	0.142724	1.256015	
8337000	0.529975	4	0.252346	1.327085	0.252346	0.141856	0.184684	0.141856	1.327085	
8338000	0.529975	4	0.253647	1.505630	0.253647	0.149492	0.200655	0.149492	1.505630	
8339000	0.529975	3	0.262122	1.323269	0.262122	0.145799	0.145799	0.145799	1.323269	
8340000	0.529975	3	0.263813	1.617910	0.263813	0.160641	0.160641	0.160641	1.617910	
8341000	0.529975	3	0.250479	1.433828	0.250479	0.146436	0.146436	0.146436	1.433828	
8342000	0.529975	3	0.267688	1.318736	0.267688	0.150977	0.150977	0.150977	1.318736	
8343000	0.529975	4	0.276390	1.401137	0.304614	0.170543	0.170543	0.170543	1.401137	
8344000	0.529975	4	0.244360	1.417853	0.244360	0.148076	0.168181	0.168181	1.417853	
8345000	0.529975	3	0.266805	1.583041	0.266805	0.147623	0.147623	0.147623	1.583041	
8346000	0.529975	3	0.280991	1.685918	0.280991	0.138747	0.138747	0.138747	1.685918	
8347000	0.529975	3	0.288508	1.331246	0.288508	0.150188	0.150188	0.150188	1.331246	
8348000	0.529975	4	0.262350	1.378845	0.262350	0.118302	0.144606	0.144606	1.378845	
8349000	0.529975	3	0.267892	1.572201	0.267892	0.150243	0.150243	0.150243	1.572201	
8350000	0.529975	3	0.271713	1.500405	0.271713	0.151672	0.151672	0.151672	1.500405	
8351000	0.529975	3	0.253809	1.409845	0.253809	0.143533	0.143533	0.143533	1.409845	
8352000	0.529975	4	0.290793	1.575990	0.290793	0.155500	0.155500	0.173429	1.575990	
8353000	0.529975	4	0.281217	1.402834	0.281217	0.122432	0.156502	0.156502	1.402834	
8354000	0.529975	3	0.240264	1.291450	0.240264	0.149306	0.149306	0.149306	1.291450	
8355000	0.529975	3	0.241685	1.500816	0.241685	0.152258	0.152258	0.152258	1.500816	
8356000	0.529975	3	0.241292	1.660275	0.241292	0.152461	0.152461	0.152461	1.660275	
8357000	0.529975	3	0.264715	1.678307	0.264715	0.147269	0.147269	0.147269	1.678307	
8358000	0.529975	3	0.248874	1.374714	0.248874	0.148283	0.148283	0.148283	1.374714	
8359000	0.529975	3	0.294822	1.342888	0.294822	0.150889	0.150889	0.150889	1.342888	
8360000	0.529975	3	0.262896	1.585210	0.262896	0.154988	0.154988	0.154988	1.585210	
8361000	0.529975	3	0.233444	1.352431	0.233444	0.162620	0.162620	0.162620	1.352431	
8362000	0.529975	3	0.283457	1.504051	0.283457	0.158300	0.158300	0.158300	1.504051	
8363000	0.529975	3	0.252003	1.477175	0.252003	0.152043	0.152043	0.152043	1.477175	
8364000	0.529975	3	0.259653	1.295267	0.259653	0.148868	0.148868	0.148868	1.295267	
8365000	0.529975	3	0.281806	1.591831	0.281806	0.153608	0.153608	0.153608	1.591831	
8366000	0.529975	3	0.254853	1.344982	0.254853	0.145167	0.254853	0.145167	1.344982	
8367000	0.529975	3	0.274614	1.652657	0.274614	0.158338	0.158338	0.158338	1.652657	
8368000	0.529975	3	0.275049	1.797868	0.275049	0.154476	0.154476	0.154476	1.797868	
8369000	0.529975	3	0.276714	1.405398	0.276714	0.159792	0.159792	0.159792	1.405398	
8370000	0.529975	3	0.266632	1.442305	0.266632	0.155728	0.155728	0.155728	1.442305	
8371000	0.529975	3	0.251781	1.478195	0.251781	0.159344	0.159344	0.159344	1.478195	
8372000	0.529975	3	0.274501	1.386866	0.274501	0.153459	0.153459	0.153459	1.386866	
8373000	0.529975	3	0.288380	1.623351	0.288380	0.157973	0.157973	0.157973	1.623351	
8374000	0.529975	4	0.285802	1.181975	0.285802	0.130928	0.158330	0.158330	1.181975	
8375000	0.529975	4	0.253937	1.352396	0.251637	0.156700	0.156700	0.156700	1.352396	
8376000	0.529975	3	0.275770	1.227882	0.275770	0.140914	0.140914	0.140914	1.227882	
8377000	0.529975	3	0.267333	1.168095	0.267333	0.156607	0.156607	0.156607	1.168095	
8378000	0.529975	3	0.273341	1.651123	0.273341	0.147036	0.147036	0.147036	1.651123	
8379000	0.529975	4	0.251471	1.381976	0.251471	0.141330	0.141330	0.150655	1.381976	
8380000	0.529975	4	0.250986	1.397747	0.250986	0.131470	0.162560	0.162560	1.397747	
8381000	0.529975	3	0.275890	1.210814	0.275890	0.144561	0.144561	0.144561	1.210814	
8382000	0.529975	3	0.274031	1.497959	0.274031	0.146141	0.146141	0.146141	1.497959	
8383000	0.529975	3	0.259555	1.464605	0.259555	0.155410	0.259555	0.155410	1.464605	
8384000	0.529975	3	0.284299	1.692754	0.284299	0.154239	0.154239	0.154239	1.692754	
8385000	0.529975	4	0.254355	1.716321	0.254355	0.159083	0.159083	0.159083	1.158305	
8386000	0.529975	3	0.269701	1.347402	0.269701	0.152679	0.152679	0.152679	1.347402	
8387000	0.529975	3	0.286767	1.676015	0.286767	0.147357	0.147357	0.147357	1.676015	
8388000	0.529975	3	0.281668	1.622941	0.281668	0.153714	0.153714	0.153714	1.622941	
8389000	0.529975	3	0.265232	1.525378	0.265232	0.143831	0.143831	0.143831	1.525378	
