Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
5893000	0.529975	2	0.318227	0.292665	0.120183	0.268925	0.318227	0.292665	0.120183	0.268925	0.205722	0.250709	0.312086	0.231483	0.205722	0.250709	0.312086	0.231483	0.205722	0.250709	0.312086	0.231483	0.318227	0.292665	0.120183	0.268925	0.205722	0.250709	0.312086	0.231483	
5894000	0.529975	2	0.336867	0.277145	0.125429	0.260558	0.336867	0.277145	0.125429	0.260558	0.183718	0.282009	0.295378	0.238896	0.183718	0.282009	0.295378	0.238896	0.183718	0.282009	0.295378	0.238896	0.336867	0.277145	0.125429	0.260558	0.183718	0.282009	0.295378	0.238896	
5895000	0.529975	2	0.336867	0.277145	0.125429	0.260558	0.336867	0.277145	0.125429	0.260558	0.186451	0.255206	0.282539	0.275804	0.186451	0.255206	0.282539	0.275804	0.186451	0.255206	0.282539	0.275804	0.336867	0.277145	0.125429	0.260558	0.186451	0.255206	0.282539	0.275804	
5896000	0.529975	2	0.339821	0.263848	0.130253	0.266077	0.339821	0.263848	0.130253	0.266077	0.194049	0.274312	0.279246	0.252393	0.194049	0.274312	0.279246	0.252393	0.194049	0.274312	0.279246	0.252393	0.339821	0.263848	0.130253	0.266077	0.194049	0.274312	0.279246	0.252393	
5897000	0.529975	2	0.332009	0.287013	0.135393	0.245585	0.332009	0.287013	0.135393	0.245585	0.189450	0.274403	0.276787	0.259360	0.189450	0.274403	0.276787	0.259360	0.189450	0.274403	0.276787	0.259360	0.332009	0.287013	0.135393	0.245585	0.189450	0.274403	0.276787	0.259360	
5898000	0.529975	2	0.335909	0.277867	0.132258	0.253966	0.335909	0.277867	0.132258	0.253966	0.176375	0.283445	0.268293	0.271886	0.176375	0.283445	0.268293	0.271886	0.176375	0.283445	0.268293	0.271886	0.335909	0.277867	0.132258	0.253966	0.176375	0.283445	0.268293	0.271886	
5899000	0.529975	2	0.335909	0.277867	0.132258	0.253966	0.335909	0.277867	0.132258	0.253966	0.201587	0.248125	0.288762	0.261526	0.201587	0.248125	0.288762	0.261526	0.201587	0.248125	0.288762	0.261526	0.335909	0.277867	0.132258	0.253966	0.201587	0.248125	0.288762	0.261526	
5900000	0.529975	3	0.335909	0.277867	0.132258	0.253966	0.335909	0.277867	0.132258	0.253966	0.199743	0.267023	0.276261	0.256974	0.179612	0.304393	0.260285	0.255710	0.199743	0.267023	0.276261	0.256974	0.335909	0.277867	0.132258	0.253966	0.199743	0.267023	0.276261	0.256974	
5901000	0.529975	3	0.335909	0.277867	0.132258	0.253966	0.335909	0.277867	0.132258	0.253966	0.211862	0.242546	0.285664	0.259928	0.163983	0.305672	0.077283	0.453061	0.211862	0.242546	0.285664	0.259928	0.335909	0.277867	0.132258	0.253966	0.211862	0.242546	0.285664	0.259928	
5902000	0.529975	2	0.335909	0.277867	0.132258	0.253966	0.335909	0.277867	0.132258	0.253966	0.201232	0.280718	0.281176	0.236874	0.201232	0.280718	0.281176	0.236874	0.201232	0.280718	0.281176	0.236874	0.335909	0.277867	0.132258	0.253966	0.201232	0.280718	0.281176	0.236874	
5903000	0.529975	3	0.341924	0.280059	0.125337	0.252680	0.341924	0.280059	0.125337	0.252680	0.200431	0.270762	0.262921	0.265885	0.200431	0.270762	0.262921	0.265885	0.289082	0.172812	0.326984	0.211122	0.341924	0.280059	0.125337	0.252680	0.200431	0.270762	0.262921	0.265885	
5904000	0.529975	2	0.330713	0.280722	0.125196	0.263370	0.330713	0.280722	0.125196	0.263370	0.195269	0.291732	0.257008	0.255990	0.195269	0.291732	0.257008	0.255990	0.195269	0.291732	0.257008	0.255990	0.330713	0.280722	0.125196	0.263370	0.195269	0.291732	0.257008	0.255990	
5905000	0.529975	2	0.330713	0.280722	0.125196	0.263370	0.330713	0.280722	0.125196	0.263370	0.200719	0.252133	0.287362	0.259787	0.200719	0.252133	0.287362	0.259787	0.200719	0.252133	0.287362	0.259787	0.330713	0.280722	0.125196	0.263370	0.200719	0.252133	0.287362	0.259787	
5906000	0.529975	2	0.330713	0.280722	0.125196	0.263370	0.330713	0.280722	0.125196	0.263370	0.202906	0.242733	0.291150	0.263212	0.202906	0.242733	0.291150	0.263212	0.202906	0.242733	0.291150	0.263212	0.330713	0.280722	0.125196	0.263370	0.202906	0.242733	0.291150	0.263212	
5907000	0.529975	2	0.319704	0.276375	0.136987	0.266934	0.319704	0.276375	0.136987	0.266934	0.209316	0.234228	0.326115	0.230341	0.319704	0.276375	0.136987	0.266934	0.209316	0.234228	0.326115	0.230341	0.319704	0.276375	0.136987	0.266934	0.209316	0.234228	0.326115	0.230341	
5908000	0.529975	2	0.311598	0.283962	0.123078	0.281362	0.311598	0.283962	0.123078	0.281362	0.212694	0.244115	0.300249	0.242942	0.311598	0.283962	0.123078	0.281362	0.212694	0.244115	0.300249	0.242942	0.311598	0.283962	0.123078	0.281362	0.212694	0.244115	0.300249	0.242942	
5909000	0.529975	2	0.325332	0.295211	0.122164	0.257293	0.325332	0.295211	0.122164	0.257293	0.176720	0.273835	0.269825	0.279620	0.176720	0.273835	0.269825	0.279620	0.176720	0.273835	0.269825	0.279620	0.325332	0.295211	0.122164	0.257293	0.176720	0.273835	0.269825	0.279620	
5910000	0.529975	2	0.322101	0.289580	0.109573	0.278746	0.322101	0.289580	0.109573	0.278746	0.189448	0.273799	0.273033	0.263719	0.189448	0.273799	0.273033	0.263719	0.189448	0.273799	0.273033	0.263719	0.322101	0.289580	0.109573	0.278746	0.189448	0.273799	0.273033	0.263719	
5911000	0.529975	2	0.337576	0.282745	0.114220	0.265459	0.337576	0.282745	0.114220	0.265459	0.223839	0.247251	0.267153	0.261757	0.223839	0.247251	0.267153	0.261757	0.223839	0.247251	0.267153	0.261757	0.337576	0.282745	0.114220	0.265459	0.223839	0.247251	0.267153	0.261757	
5912000	0.529975	2	0.337576	0.282745	0.114220	0.265459	0.337576	0.282745	0.114220	0.265459	0.189255	0.258467	0.271411	0.280867	0.189255	0.258467	0.271411	0.280867	0.189255	0.258467	0.271411	0.280867	0.337576	0.282745	0.114220	0.265459	0.189255	0.258467	0.271411	0.280867	
5913000	0.529975	2	0.337576	0.282745	0.114220	0.265459	0.337576	0.282745	0.114220	0.265459	0.196445	0.248635	0.260160	0.294761	0.196445	0.248635	0.260160	0.294761	0.196445	0.248635	0.260160	0.294761	0.337576	0.282745	0.114220	0.265459	0.196445	0.248635	0.260160	0.294761	
5914000	0.529975	2	0.326969	0.284133	0.128295	0.260602	0.326969	0.284133	0.128295	0.260602	0.194050	0.266805	0.285762	0.253383	0.194050	0.266805	0.285762	0.253383	0.194050	0.266805	0.285762	0.253383	0.326969	0.284133	0.128295	0.260602	0.194050	0.266805	0.285762	0.253383	
5915000	0.529975	3	0.321601	0.283407	0.125855	0.269137	0.321601	0.283407	0.125855	0.269137	0.210357	0.239030	0.267762	0.282851	0.171290	0.184215	0.139282	0.505213	0.210357	0.239030	0.267762	0.282851	0.321601	0.283407	0.125855	0.269137	0.210357	0.239030	0.267762	0.282851	
5916000	0.529975	3	0.321601	0.283407	0.125855	0.269137	0.321601	0.283407	0.125855	0.269137	0.183890	0.268103	0.279526	0.268481	0.183890	0.268103	0.279526	0.268481	0.247903	0.118723	0.466242	0.167132	0.321601	0.283407	0.125855	0.269137	0.183890	0.268103	0.279526	0.268481	
5917000	0.529975	2	0.321601	0.283407	0.125855	0.269137	0.321601	0.283407	0.125855	0.269137	0.198288	0.252614	0.263513	0.285585	0.198288	0.252614	0.263513	0.285585	0.198288	0.252614	0.263513	0.285585	0.321601	0.283407	0.125855	0.269137	0.198288	0.252614	0.263513	0.285585	
5918000	0.529975	2	0.344061	0.285464	0.115020	0.255455	0.344061	0.285464	0.115020	0.255455	0.169473	0.273787	0.280960	0.275780	0.169473	0.273787	0.280960	0.275780	0.169473	0.273787	0.280960	0.275780	0.344061	0.285464	0.115020	0.255455	0.169473	0.273787	0.280960	0.275780	
