Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
95000	0.529975	2	5.302337	18.373319	5.302337	5.302337	5.302337	5.302337	5.302337	
96000	0.529975	2	5.522439	19.574494	5.522439	5.522439	5.522439	5.522439	5.522439	
97000	0.529975	2	5.852351	17.258337	5.852351	5.852351	5.852351	5.852351	5.852351	
98000	0.529975	2	5.421984	17.562828	5.421984	5.421984	5.421984	5.421984	5.421984	
99000	0.529975	2	5.496160	19.195225	5.496160	5.496160	5.496160	5.496160	5.496160	
100000	0.529975	2	5.295421	16.876530	5.295421	5.295421	5.295421	5.295421	5.295421	
101000	0.529975	2	5.054947	18.802989	5.054947	5.054947	5.054947	5.054947	5.054947	
102000	0.529975	2	5.222397	18.114079	5.222397	5.222397	5.222397	5.222397	5.222397	
103000	0.529975	2	5.936110	16.649457	5.936110	5.936110	5.936110	5.936110	5.936110	
104000	0.529975	2	6.138710	17.695653	6.138710	6.138710	6.138710	6.138710	6.138710	
105000	0.529975	2	5.391337	18.549957	5.391337	5.391337	5.391337	5.391337	5.391337	
106000	0.529975	2	5.372639	18.415623	5.372639	5.372639	5.372639	5.372639	5.372639	
107000	0.529975	2	5.564514	19.461737	5.564514	5.564514	5.564514	5.564514	5.564514	
108000	0.529975	2	5.838891	17.789643	5.838891	5.838891	5.838891	5.838891	5.838891	
109000	0.529975	2	5.715985	16.795867	5.715985	5.715985	5.715985	5.715985	5.715985	
110000	0.529975	2	6.074187	16.377641	6.074187	6.074187	6.074187	6.074187	6.074187	
111000	0.529975	2	6.232291	19.409106	6.232291	6.232291	6.232291	6.232291	6.232291	
112000	0.529975	2	5.995637	16.974691	5.995637	5.995637	5.995637	5.995637	5.995637	
113000	0.529975	2	5.341997	21.578548	5.341997	5.341997	5.341997	5.341997	5.341997	
114000	0.529975	2	6.079928	16.354207	6.079928	6.079928	6.079928	6.079928	6.079928	
115000	0.529975	2	5.755890	17.032290	5.755890	5.755890	5.755890	5.755890	5.755890	
116000	0.529975	2	5.536832	19.377589	5.536832	5.536832	5.536832	5.536832	5.536832	
117000	0.529975	2	5.691832	17.401206	5.691832	5.691832	5.691832	5.691832	5.691832	
118000	0.529975	2	5.569709	18.347795	5.569709	5.569709	5.569709	5.569709	5.569709	
119000	0.529975	2	4.848066	22.314591	4.848066	4.848066	4.848066	4.848066	4.848066	
120000	0.529975	2	5.439144	17.864059	5.439144	5.439144	5.439144	5.439144	5.439144	
121000	0.529975	2	5.094034	18.385472	5.094034	5.094034	5.094034	5.094034	5.094034	
122000	0.529975	2	5.699779	17.329562	5.699779	5.699779	5.699779	5.699779	5.699779	
123000	0.529975	2	5.020578	16.260246	5.020578	5.020578	5.020578	5.020578	5.020578	
124000	0.529975	2	5.045995	17.345447	5.045995	5.045995	5.045995	5.045995	5.045995	
125000	0.529975	2	5.567413	17.378655	5.567413	5.567413	5.567413	5.567413	5.567413	
126000	0.529975	2	5.747529	17.919059	5.747529	5.747529	5.747529	5.747529	5.747529	
127000	0.529975	2	4.901898	20.098763	4.901898	4.901898	4.901898	4.901898	4.901898	
128000	0.529975	2	5.741496	18.633312	5.741496	5.741496	5.741496	5.741496	5.741496	
129000	0.529975	2	5.925254	17.569812	5.925254	5.925254	5.925254	5.925254	5.925254	
130000	0.529975	2	5.619241	18.822746	5.619241	5.619241	5.619241	5.619241	5.619241	
131000	0.529975	2	5.661948	18.823778	5.661948	5.661948	5.661948	5.661948	5.661948	
132000	0.529975	2	6.043685	18.835947	6.043685	6.043685	6.043685	6.043685	6.043685	
133000	0.529975	2	5.461596	16.663868	5.461596	5.461596	5.461596	5.461596	5.461596	
134000	0.529975	2	5.564978	21.798719	5.564978	5.564978	5.564978	21.798719	5.564978	
135000	0.529975	2	5.861172	18.359060	5.861172	5.861172	5.861172	5.861172	5.861172	
136000	0.529975	2	5.525109	17.141877	5.525109	5.525109	5.525109	5.525109	5.525109	
137000	0.529975	2	5.951408	18.956512	5.951408	5.951408	5.951408	5.951408	5.951408	
138000	0.529975	2	5.590043	16.537930	5.590043	5.590043	5.590043	5.590043	5.590043	
139000	0.529975	2	5.362992	16.837604	5.362992	5.362992	5.362992	5.362992	5.362992	
140000	0.529975	2	5.580316	21.417182	5.580316	5.580316	5.580316	5.580316	5.580316	
141000	0.529975	2	5.807108	18.301083	5.807108	5.807108	5.807108	5.807108	5.807108	
142000	0.529975	2	5.276741	16.927154	5.276741	5.276741	5.276741	5.276741	5.276741	
143000	0.529975	2	5.428422	17.719742	5.428422	5.428422	5.428422	5.428422	5.428422	
144000	0.529975	2	5.407141	17.098300	5.407141	5.407141	5.407141	5.407141	5.407141	
145000	0.529975	2	6.350721	23.657688	6.350721	6.350721	6.350721	6.350721	6.350721	
146000	0.529975	2	5.642110	16.041818	5.642110	5.642110	5.642110	5.642110	5.642110	
147000	0.529975	2	5.595390	17.293704	5.595390	5.595390	5.595390	5.595390	5.595390	
148000	0.529975	2	5.852179	17.162251	5.852179	5.852179	5.852179	5.852179	5.852179	
149000	0.529975	2	5.908668	17.070540	5.908668	5.908668	5.908668	5.908668	5.908668	
150000	0.529975	2	5.359326	18.707495	5.359326	5.359326	5.359326	5.359326	5.359326	
151000	0.529975	2	5.394501	19.493772	5.394501	5.394501	5.394501	5.394501	5.394501	
152000	0.529975	2	5.648498	17.975391	5.648498	5.648498	5.648498	5.648498	5.648498	
153000	0.529975	2	5.370163	16.624420	5.370163	5.370163	5.370163	5.370163	5.370163	
154000	0.529975	2	5.633233	17.649895	5.633233	5.633233	5.633233	5.633233	5.633233	
155000	0.529975	2	5.582039	18.260220	5.582039	5.582039	5.582039	5.582039	5.582039	
156000	0.529975	2	5.638184	18.347666	5.638184	5.638184	5.638184	5.638184	5.638184	
157000	0.529975	2	5.867834	17.323653	5.867834	5.867834	5.867834	5.867834	5.867834	
158000	0.529975	2	5.384618	20.160657	5.384618	5.384618	5.384618	5.384618	5.384618	
159000	0.529975	2	5.337865	18.405519	5.337865	5.337865	5.337865	5.337865	5.337865	
160000	0.529975	2	5.509715	16.931630	5.509715	5.509715	5.509715	5.509715	5.509715	
161000	0.529975	2	5.698436	17.714453	5.698436	5.698436	5.698436	5.698436	5.698436	
162000	0.529975	2	5.672013	19.239050	5.672013	5.672013	5.672013	5.672013	5.672013	
163000	0.529975	2	5.585236	16.361617	5.585236	5.585236	5.585236	5.585236	5.585236	
164000	0.529975	2	5.771872	16.969250	5.771872	5.771872	5.771872	5.771872	5.771872	
165000	0.529975	2	6.274717	17.156528	6.274717	6.274717	6.274717	6.274717	6.274717	
166000	0.529975	2	5.649237	16.974164	5.649237	5.649237	5.649237	5.649237	5.649237	
167000	0.529975	2	5.584894	19.073654	5.584894	5.584894	5.584894	5.584894	5.584894	
168000	0.529975	2	5.697874	16.564144	5.697874	5.697874	5.697874	5.697874	5.697874	
169000	0.529975	2	5.371223	16.981969	5.371223	5.371223	5.371223	5.371223	5.371223	
170000	0.529975	2	5.544448	17.643637	5.544448	5.544448	5.544448	5.544448	5.544448	
171000	0.529975	2	5.841796	17.357571	5.841796	5.841796	5.841796	5.841796	5.841796	
172000	0.529975	2	5.367975	17.078620	5.367975	5.367975	5.367975	5.367975	5.367975	
