Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
5283000	0.085832	3	0.330124	0.282222	0.132484	0.255171	0.330124	0.282222	0.132484	0.255171	0.180501	0.280389	0.242765	0.296345	0.180501	0.280389	0.242765	0.296345	0.298314	0.206125	0.344045	0.151516	0.330124	0.282222	0.132484	0.255171	0.180501	0.280389	0.242765	0.296345	
5284000	0.085832	2	0.347067	0.277065	0.119631	0.256237	0.347067	0.277065	0.119631	0.256237	0.191367	0.267135	0.279195	0.262303	0.191367	0.267135	0.279195	0.262303	0.191367	0.267135	0.279195	0.262303	0.347067	0.277065	0.119631	0.256237	0.191367	0.267135	0.279195	0.262303	
5285000	0.085832	2	0.332853	0.278110	0.129594	0.259443	0.332853	0.278110	0.129594	0.259443	0.159249	0.235275	0.308986	0.296490	0.159249	0.235275	0.308986	0.296490	0.159249	0.235275	0.308986	0.296490	0.332853	0.278110	0.129594	0.259443	0.159249	0.235275	0.308986	0.296490	
5286000	0.085832	2	0.323881	0.282758	0.128843	0.264518	0.323881	0.282758	0.128843	0.264518	0.173494	0.257095	0.284522	0.284888	0.173494	0.257095	0.284522	0.284888	0.173494	0.257095	0.284522	0.284888	0.323881	0.282758	0.128843	0.264518	0.173494	0.257095	0.284522	0.284888	
5287000	0.085832	2	0.323881	0.282758	0.128843	0.264518	0.323881	0.282758	0.128843	0.264518	0.187248	0.255725	0.279543	0.277484	0.187248	0.255725	0.279543	0.277484	0.187248	0.255725	0.279543	0.277484	0.323881	0.282758	0.128843	0.264518	0.187248	0.255725	0.279543	0.277484	
5288000	0.085832	2	0.323881	0.282758	0.128843	0.264518	0.323881	0.282758	0.128843	0.264518	0.187279	0.251561	0.272449	0.288710	0.187279	0.251561	0.272449	0.288710	0.187279	0.251561	0.272449	0.288710	0.323881	0.282758	0.128843	0.264518	0.187279	0.251561	0.272449	0.288710	
5289000	0.085832	2	0.323881	0.282758	0.128843	0.264518	0.323881	0.282758	0.128843	0.264518	0.209552	0.246069	0.278350	0.266029	0.209552	0.246069	0.278350	0.266029	0.209552	0.246069	0.278350	0.266029	0.323881	0.282758	0.128843	0.264518	0.209552	0.246069	0.278350	0.266029	
5290000	0.085832	2	0.323881	0.282758	0.128843	0.264518	0.323881	0.282758	0.128843	0.264518	0.195092	0.263958	0.264559	0.276391	0.195092	0.263958	0.264559	0.276391	0.195092	0.263958	0.264559	0.276391	0.323881	0.282758	0.128843	0.264518	0.195092	0.263958	0.264559	0.276391	
5291000	0.085832	2	0.323881	0.282758	0.128843	0.264518	0.323881	0.282758	0.128843	0.264518	0.198260	0.274947	0.270254	0.256539	0.198260	0.274947	0.270254	0.256539	0.198260	0.274947	0.270254	0.256539	0.323881	0.282758	0.128843	0.264518	0.198260	0.274947	0.270254	0.256539	
5292000	0.085832	2	0.329170	0.276405	0.130939	0.263486	0.329170	0.276405	0.130939	0.263486	0.175907	0.252212	0.265244	0.306637	0.175907	0.252212	0.265244	0.306637	0.175907	0.252212	0.265244	0.306637	0.329170	0.276405	0.130939	0.263486	0.175907	0.252212	0.265244	0.306637	
5293000	0.085832	2	0.329170	0.276405	0.130939	0.263486	0.329170	0.276405	0.130939	0.263486	0.215637	0.236499	0.273503	0.274361	0.215637	0.236499	0.273503	0.274361	0.215637	0.236499	0.273503	0.274361	0.329170	0.276405	0.130939	0.263486	0.215637	0.236499	0.273503	0.274361	
5294000	0.085832	2	0.324981	0.300300	0.120981	0.253738	0.324981	0.300300	0.120981	0.253738	0.207660	0.260312	0.268456	0.263572	0.207660	0.260312	0.268456	0.263572	0.207660	0.260312	0.268456	0.263572	0.324981	0.300300	0.120981	0.253738	0.207660	0.260312	0.268456	0.263572	
5295000	0.085832	2	0.335766	0.299543	0.124549	0.240142	0.335766	0.299543	0.124549	0.240142	0.200659	0.285150	0.252490	0.261701	0.200659	0.285150	0.252490	0.261701	0.200659	0.285150	0.252490	0.261701	0.335766	0.299543	0.124549	0.240142	0.200659	0.285150	0.252490	0.261701	
5296000	0.085832	3	0.328492	0.294476	0.116700	0.260332	0.328492	0.294476	0.116700	0.260332	0.183420	0.278767	0.296214	0.241599	0.183420	0.278767	0.296214	0.241599	0.249077	0.154218	0.420118	0.176587	0.328492	0.294476	0.116700	0.260332	0.183420	0.278767	0.296214	0.241599	
5297000	0.085832	2	0.328492	0.294476	0.116700	0.260332	0.328492	0.294476	0.116700	0.260332	0.194575	0.271629	0.249160	0.284636	0.194575	0.271629	0.249160	0.284636	0.194575	0.271629	0.249160	0.284636	0.328492	0.294476	0.116700	0.260332	0.194575	0.271629	0.249160	0.284636	
5298000	0.085832	2	0.318116	0.296401	0.120076	0.265407	0.318116	0.296401	0.120076	0.265407	0.198470	0.263985	0.249704	0.287841	0.198470	0.263985	0.249704	0.287841	0.198470	0.263985	0.249704	0.287841	0.318116	0.296401	0.120076	0.265407	0.198470	0.263985	0.249704	0.287841	
5299000	0.085832	2	0.318116	0.296401	0.120076	0.265407	0.318116	0.296401	0.120076	0.265407	0.192312	0.251343	0.260117	0.296228	0.192312	0.251343	0.260117	0.296228	0.192312	0.251343	0.260117	0.296228	0.318116	0.296401	0.120076	0.265407	0.192312	0.251343	0.260117	0.296228	
5300000	0.085832	2	0.318116	0.296401	0.120076	0.265407	0.318116	0.296401	0.120076	0.265407	0.197652	0.266680	0.282675	0.252993	0.197652	0.266680	0.282675	0.252993	0.197652	0.266680	0.282675	0.252993	0.318116	0.296401	0.120076	0.265407	0.197652	0.266680	0.282675	0.252993	
5301000	0.085832	3	0.317216	0.292435	0.120038	0.270311	0.317216	0.292435	0.120038	0.270311	0.186935	0.297932	0.244223	0.270910	0.186935	0.297932	0.244223	0.270910	0.212206	0.227933	0.305040	0.254821	0.317216	0.292435	0.120038	0.270311	0.186935	0.297932	0.244223	0.270910	
5302000	0.085832	2	0.317216	0.292435	0.120038	0.270311	0.317216	0.292435	0.120038	0.270311	0.188541	0.270805	0.258748	0.281906	0.188541	0.270805	0.258748	0.281906	0.188541	0.270805	0.258748	0.281906	0.317216	0.292435	0.120038	0.270311	0.188541	0.270805	0.258748	0.281906	
5303000	0.085832	2	0.323636	0.292212	0.113730	0.270423	0.323636	0.292212	0.113730	0.270423	0.214470	0.261564	0.233358	0.290608	0.214470	0.261564	0.233358	0.290608	0.214470	0.261564	0.233358	0.290608	0.323636	0.292212	0.113730	0.270423	0.214470	0.261564	0.233358	0.290608	
5304000	0.085832	3	0.323636	0.292212	0.113730	0.270423	0.323636	0.292212	0.113730	0.270423	0.186776	0.256559	0.266625	0.290040	0.186776	0.256559	0.266625	0.290040	0.219707	0.222908	0.278443	0.278942	0.323636	0.292212	0.113730	0.270423	0.186776	0.256559	0.266625	0.290040	
5305000	0.085832	2	0.333416	0.273714	0.121194	0.271675	0.333416	0.273714	0.121194	0.271675	0.197378	0.254857	0.271082	0.276683	0.197378	0.254857	0.271082	0.276683	0.197378	0.254857	0.271082	0.276683	0.333416	0.273714	0.121194	0.271675	0.197378	0.254857	0.271082	0.276683	
