Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
881000	16.777027	2	0.060582	0.422771	0.058750	0.030350	0.380193	0.047354	0.060582	0.422771	0.058750	0.030350	0.380193	0.047354	0.060582	0.422771	0.058750	0.030350	0.380193	0.047354	0.085604	0.187709	0.106358	0.317575	0.205856	0.096897	0.085604	0.187709	0.106358	0.317575	0.205856	0.096897	0.060582	0.422771	0.058750	0.030350	0.380193	0.047354	0.060582	0.422771	0.058750	0.030350	0.380193	0.047354	
882000	16.777027	3	0.061115	0.419137	0.059269	0.036216	0.374973	0.049290	0.061115	0.419137	0.059269	0.036216	0.374973	0.049290	0.061115	0.419137	0.059269	0.036216	0.374973	0.049290	0.115383	0.381388	0.095225	0.141719	0.213334	0.052951	0.108025	0.370377	0.082079	0.085814	0.287581	0.066126	0.115383	0.381388	0.095225	0.141719	0.213334	0.052951	0.061115	0.419137	0.059269	0.036216	0.374973	0.049290	
883000	16.777027	3	0.062959	0.412365	0.060918	0.027692	0.385405	0.050661	0.062959	0.412365	0.060918	0.027692	0.385405	0.050661	0.062959	0.412365	0.060918	0.027692	0.385405	0.050661	0.088724	0.218674	0.116376	0.046198	0.366296	0.163732	0.162578	0.240426	0.186068	0.106328	0.228783	0.075816	0.062959	0.412365	0.060918	0.027692	0.385405	0.050661	0.062959	0.412365	0.060918	0.027692	0.385405	0.050661	
884000	16.777027	2	0.066233	0.430690	0.061032	0.036275	0.365445	0.040325	0.066233	0.430690	0.061032	0.036275	0.365445	0.040325	0.066233	0.430690	0.061032	0.036275	0.365445	0.040325	0.172736	0.057845	0.052180	0.229575	0.173787	0.313877	0.066233	0.430690	0.061032	0.036275	0.365445	0.040325	0.066233	0.430690	0.061032	0.036275	0.365445	0.040325	0.066233	0.430690	0.061032	0.036275	0.365445	0.040325	
885000	16.777027	2	0.064179	0.418885	0.056070	0.033326	0.370076	0.057463	0.064179	0.418885	0.056070	0.033326	0.370076	0.057463	0.064179	0.418885	0.056070	0.033326	0.370076	0.057463	0.067174	0.097606	0.111409	0.481089	0.205140	0.037583	0.064179	0.418885	0.056070	0.033326	0.370076	0.057463	0.064179	0.418885	0.056070	0.033326	0.370076	0.057463	0.064179	0.418885	0.056070	0.033326	0.370076	0.057463	
886000	16.777027	2	0.054626	0.409795	0.064621	0.033565	0.395493	0.041901	0.054626	0.409795	0.064621	0.033565	0.395493	0.041901	0.054626	0.409795	0.064621	0.033565	0.395493	0.041901	0.045508	0.256499	0.028010	0.151031	0.438782	0.080172	0.054626	0.409795	0.064621	0.033565	0.395493	0.041901	0.054626	0.409795	0.064621	0.033565	0.395493	0.041901	0.054626	0.409795	0.064621	0.033565	0.395493	0.041901	
887000	16.777027	2	0.061673	0.432104	0.058113	0.031605	0.375798	0.040707	0.061673	0.432104	0.058113	0.031605	0.375798	0.040707	0.061673	0.432104	0.058113	0.031605	0.375798	0.040707	0.074467	0.368028	0.067975	0.200622	0.179508	0.109400	0.074467	0.368028	0.067975	0.200622	0.179508	0.109400	0.074467	0.368028	0.067975	0.200622	0.179508	0.109400	0.061673	0.432104	0.058113	0.031605	0.375798	0.040707	
888000	16.777027	2	0.064371	0.414745	0.056476	0.031820	0.389614	0.042973	0.064371	0.414745	0.056476	0.031820	0.389614	0.042973	0.064371	0.414745	0.056476	0.031820	0.389614	0.042973	0.117456	0.328872	0.144439	0.210832	0.153189	0.045211	0.117456	0.328872	0.144439	0.210832	0.153189	0.045211	0.117456	0.328872	0.144439	0.210832	0.153189	0.045211	0.064371	0.414745	0.056476	0.031820	0.389614	0.042973	
889000	16.777027	2	0.070456	0.431749	0.057830	0.020480	0.371638	0.047847	0.070456	0.431749	0.057830	0.020480	0.371638	0.047847	0.070456	0.431749	0.057830	0.020480	0.371638	0.047847	0.103527	0.398106	0.130664	0.170603	0.145425	0.051675	0.103527	0.398106	0.130664	0.170603	0.145425	0.051675	0.103527	0.398106	0.130664	0.170603	0.145425	0.051675	0.070456	0.431749	0.057830	0.020480	0.371638	0.047847	
890000	16.777027	3	0.063738	0.371938	0.062254	0.026964	0.423851	0.051255	0.063738	0.371938	0.062254	0.026964	0.423851	0.051255	0.063738	0.371938	0.062254	0.026964	0.423851	0.051255	0.135402	0.300888	0.081883	0.161740	0.271675	0.048412	0.063738	0.371938	0.062254	0.026964	0.423851	0.051255	0.026659	0.250313	0.049330	0.070930	0.417259	0.185509	0.063738	0.371938	0.062254	0.026964	0.423851	0.051255	
891000	16.777027	3	0.056783	0.375158	0.064371	0.019710	0.433942	0.050036	0.056783	0.375158	0.064371	0.019710	0.433942	0.050036	0.056783	0.375158	0.064371	0.019710	0.433942	0.050036	0.123947	0.266816	0.007585	0.426488	0.162094	0.013071	0.071782	0.443723	0.140016	0.056781	0.217021	0.070677	0.071782	0.443723	0.140016	0.056781	0.217021	0.070677	0.056783	0.375158	0.064371	0.019710	0.433942	0.050036	
