Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
1612000	100.687501	2	0.060022	0.423866	0.061415	0.024086	0.375451	0.055160	0.060022	0.423866	0.061415	0.024086	0.375451	0.055160	0.060022	0.423866	0.061415	0.024086	0.375451	0.055160	0.060656	0.339265	0.045261	0.332919	0.158231	0.063667	0.060656	0.339265	0.045261	0.332919	0.158231	0.063667	0.060656	0.339265	0.045261	0.332919	0.158231	0.063667	0.060022	0.423866	0.061415	0.024086	0.375451	0.055160	
1613000	100.687501	2	0.060406	0.426580	0.061808	0.028207	0.377856	0.045143	0.060406	0.426580	0.061808	0.028207	0.377856	0.045143	0.060406	0.426580	0.061808	0.028207	0.377856	0.045143	0.182028	0.208198	0.061706	0.246582	0.169285	0.132201	0.060406	0.426580	0.061808	0.028207	0.377856	0.045143	0.060406	0.426580	0.061808	0.028207	0.377856	0.045143	0.060406	0.426580	0.061808	0.028207	0.377856	0.045143	
1614000	100.687501	2	0.052153	0.407508	0.059045	0.040377	0.381653	0.059265	0.052153	0.407508	0.059045	0.040377	0.381653	0.059265	0.052153	0.407508	0.059045	0.040377	0.381653	0.059265	0.048507	0.469837	0.069026	0.217122	0.155233	0.040276	0.048507	0.469837	0.069026	0.217122	0.155233	0.040276	0.048507	0.469837	0.069026	0.217122	0.155233	0.040276	0.052153	0.407508	0.059045	0.040377	0.381653	0.059265	
1615000	100.687501	2	0.056344	0.392102	0.055551	0.036904	0.401814	0.057285	0.056344	0.392102	0.055551	0.036904	0.401814	0.057285	0.056344	0.392102	0.055551	0.036904	0.401814	0.057285	0.117451	0.372918	0.080000	0.164793	0.203338	0.061500	0.117451	0.372918	0.080000	0.164793	0.203338	0.061500	0.117451	0.372918	0.080000	0.164793	0.203338	0.061500	0.056344	0.392102	0.055551	0.036904	0.401814	0.057285	
1616000	100.687501	2	0.061951	0.373974	0.071875	0.025152	0.421486	0.045562	0.061951	0.373974	0.071875	0.025152	0.421486	0.045562	0.061951	0.373974	0.071875	0.025152	0.421486	0.045562	0.090160	0.297377	0.087927	0.304930	0.184758	0.034849	0.090160	0.297377	0.087927	0.304930	0.184758	0.034849	0.090160	0.297377	0.087927	0.304930	0.184758	0.034849	0.061951	0.373974	0.071875	0.025152	0.421486	0.045562	
1617000	100.687501	2	0.059411	0.397086	0.064334	0.026206	0.409845	0.043118	0.059411	0.397086	0.064334	0.026206	0.409845	0.043118	0.059411	0.397086	0.064334	0.026206	0.409845	0.043118	0.072191	0.278985	0.107994	0.182533	0.175189	0.183108	0.072191	0.278985	0.107994	0.182533	0.175189	0.183108	0.072191	0.278985	0.107994	0.182533	0.175189	0.183108	0.059411	0.397086	0.064334	0.026206	0.409845	0.043118	
1618000	100.687501	3	0.068470	0.388156	0.071338	0.028654	0.398134	0.045249	0.068470	0.388156	0.071338	0.028654	0.398134	0.045249	0.068470	0.388156	0.071338	0.028654	0.398134	0.045249	0.046658	0.202804	0.473005	0.086551	0.059172	0.131810	0.083044	0.367178	0.112349	0.067134	0.299807	0.070488	0.083044	0.367178	0.112349	0.067134	0.299807	0.070488	0.068470	0.388156	0.071338	0.028654	0.398134	0.045249	
1619000	100.687501	3	0.062517	0.391262	0.067820	0.028883	0.403906	0.045611	0.062517	0.391262	0.067820	0.028883	0.403906	0.045611	0.062517	0.391262	0.067820	0.028883	0.403906	0.045611	0.291734	0.052972	0.051003	0.358595	0.190681	0.055013	0.077693	0.429319	0.203641	0.091384	0.179425	0.018539	0.077693	0.429319	0.203641	0.091384	0.179425	0.018539	0.062517	0.391262	0.067820	0.028883	0.403906	0.045611	
1620000	100.687501	2	0.064105	0.395566	0.069757	0.029518	0.404388	0.036667	0.064105	0.395566	0.069757	0.029518	0.404388	0.036667	0.064105	0.395566	0.069757	0.029518	0.404388	0.036667	0.115201	0.356894	0.152999	0.095704	0.224199	0.055004	0.115201	0.356894	0.152999	0.095704	0.224199	0.055004	0.115201	0.356894	0.152999	0.095704	0.224199	0.055004	0.064105	0.395566	0.069757	0.029518	0.404388	0.036667	
1621000	100.687501	4	0.064581	0.392357	0.057603	0.028657	0.407388	0.049414	0.064581	0.392357	0.057603	0.028657	0.407388	0.049414	0.064581	0.392357	0.057603	0.028657	0.407388	0.049414	0.060909	0.075229	0.051350	0.235930	0.459879	0.116703	0.067889	0.366820	0.171484	0.122679	0.222531	0.048598	0.071319	0.336415	0.155631	0.131272	0.160566	0.144796	0.064581	0.392357	0.057603	0.028657	0.407388	0.049414	
1622000	100.687501	3	0.058352	0.371200	0.064138	0.030203	0.426212	0.049896	0.058352	0.371200	0.064138	0.030203	0.426212	0.049896	0.058352	0.371200	0.064138	0.030203	0.426212	0.049896	0.155523	0.116476	0.167171	0.371742	0.108797	0.080292	0.032134	0.318111	0.041172	0.103962	0.362730	0.141892	0.058352	0.371200	0.064138	0.030203	0.426212	0.049896	0.058352	0.371200	0.064138	0.030203	0.426212	0.049896	
1623000	100.687501	3	0.055718	0.374668	0.064615	0.031874	0.414002	0.059123	0.055718	0.374668	0.064615	0.031874	0.414002	0.059123	0.055718	0.374668	0.064615	0.031874	0.414002	0.059123	0.173261	0.078268	0.054977	0.242575	0.280374	0.170545	0.062694	0.382822	0.103124	0.167773	0.222961	0.060626	0.062694	0.382822	0.103124	0.167773	0.222961	0.060626	0.055718	0.374668	0.064615	0.031874	0.414002	0.059123	
1624000	100.687501	4	0.054609	0.364938	0.062937	0.030518	0.431417	0.055581	0.054609	0.364938	0.062937	0.030518	0.431417	0.055581	0.054609	0.364938	0.062937	0.030518	0.431417	0.055581	0.011505	0.160672	0.031903	0.161405	0.510660	0.123855	0.224966	0.306006	0.093457	0.158864	0.157842	0.058865	0.111848	0.367513	0.064433	0.064983	0.325076	0.066148	0.111848	0.367513	0.064433	0.064983	0.325076	0.066148	
1625000	100.687501	2	0.063904	0.383133	0.060180	0.026590	0.417495	0.048697	0.063904	0.383133	0.060180	0.026590	0.417495	0.048697	0.063904	0.383133	0.060180	0.026590	0.417495	0.048697	0.076100	0.280957	0.136670	0.195759	0.260558	0.049955	0.076100	0.280957	0.136670	0.195759	0.260558	0.049955	0.076100	0.280957	0.136670	0.195759	0.260558	0.049955	0.063904	0.383133	0.060180	0.026590	0.417495	0.048697	
1626000	100.687501	2	0.062134	0.392949	0.061398	0.044493	0.393275	0.045751	0.062134	0.392949	0.061398	0.044493	0.393275	0.045751	0.062134	0.392949	0.061398	0.044493	0.393275	0.045751	0.076033	0.276506	0.098617	0.190399	0.215911	0.142534	0.076033	0.276506	0.098617	0.190399	0.215911	0.142534	0.076033	0.276506	0.098617	0.190399	0.215911	0.142534	0.062134	0.392949	0.061398	0.044493	0.393275	0.045751	
1627000	100.687501	3	0.102725	0.294176	0.086463	0.042753	0.424262	0.049621	0.056796	0.408572	0.059845	0.029880	0.397875	0.047032	0.056796	0.408572	0.059845	0.029880	0.397875	0.047032	0.068804	0.421412	0.065597	0.180505	0.200246	0.063436	0.068804	0.421412	0.065597	0.180505	0.200246	0.063436	0.068804	0.421412	0.065597	0.180505	0.200246	0.063436	0.102725	0.294176	0.086463	0.042753	0.424262	0.049621	
