Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
6274000	4.627436	5	0.304233	0.213947	0.400367	0.304233	0.303592	0.213947	0.694273	0.304233	0.303592	0.400367	0.213947	
6275000	4.627436	6	0.303961	0.211379	0.432822	0.287394	0.303961	0.211379	0.648568	0.418926	0.303961	0.432822	0.303961	
6276000	4.627436	6	0.300417	0.197923	0.444510	0.300417	0.370926	0.197923	0.611267	0.428238	0.300417	0.428238	0.370926	
6277000	4.627436	4	0.296242	0.179224	0.394792	0.296242	0.296242	0.179224	0.807353	0.394792	0.296242	0.394792	0.296242	
6278000	4.627436	6	0.275977	0.267261	0.412742	0.296412	0.296412	0.162889	0.787815	0.412742	0.296412	0.412742	0.162889	
6279000	4.627436	5	0.302584	0.204320	0.493810	0.302584	0.302584	0.204320	0.545793	0.493810	0.302584	0.382090	0.204320	
6280000	4.627436	4	0.319918	0.202778	0.409116	0.319918	0.319918	0.202778	1.126281	0.319918	0.319918	0.319918	0.409116	
6281000	4.627436	6	0.308220	0.193710	0.388517	0.308220	0.308220	0.193710	0.819993	0.388517	0.308220	0.354595	0.179674	
6282000	4.627436	6	0.312245	0.173923	0.409392	0.312245	0.312245	0.173923	0.493521	0.505864	0.282393	0.493521	0.173923	
6283000	4.627436	5	0.272538	0.228232	0.430812	0.272538	0.272538	0.228232	0.487140	0.416373	0.272538	0.416373	0.487140	
6284000	4.627436	4	0.301315	0.196263	0.380872	0.301315	0.301315	0.196263	0.865497	0.301315	0.301315	0.380872	0.301315	
6285000	4.627436	5	0.305103	0.194174	0.457709	0.305103	0.305103	0.194174	1.393176	0.305595	0.305103	0.305103	0.305103	
6286000	4.627436	5	0.278380	0.243770	0.410667	0.278380	0.278380	0.187148	0.407535	0.278380	0.278380	0.410667	0.278380	
6287000	4.627436	6	0.318457	0.230348	0.388733	0.318457	0.318457	0.176974	0.648837	0.318457	0.318457	0.348026	0.230348	
6288000	4.627436	4	0.280050	0.205732	0.433367	0.280050	0.280050	0.205732	0.486124	0.433367	0.280050	0.433367	0.205732	
6289000	4.627436	4	0.320452	0.188648	0.381224	0.281540	0.320452	0.188648	0.381224	0.381224	0.320452	0.381224	0.320452	
6290000	4.627436	7	0.322317	0.206130	0.465380	0.305788	0.305788	0.185225	0.653286	0.387428	0.305788	0.387428	0.185225	
6291000	4.627436	6	0.286393	0.205609	0.413784	0.286393	0.286393	0.164957	0.413784	0.399735	0.286393	0.413784	0.366067	
6292000	4.627436	4	0.313489	0.203777	0.405003	0.313489	0.313489	0.203777	0.405003	0.405003	0.313489	0.393279	0.313489	
6293000	4.627436	3	0.332604	0.190789	0.578337	0.332604	0.332604	0.190789	0.578337	0.332604	0.332604	0.332604	0.190789	
6294000	4.627436	6	0.311012	0.218119	0.499093	0.269500	0.269500	0.218119	0.493645	0.406777	0.269500	0.406777	0.311012	
6295000	4.627436	5	0.293111	0.193544	0.387392	0.293111	0.293111	0.193544	0.559458	0.293111	0.293111	0.428475	0.293111	
6296000	4.627436	6	0.285041	0.206624	0.423511	0.285041	0.285041	0.185860	0.535297	0.423511	0.285041	0.379672	0.185860	
6297000	4.627436	5	0.299421	0.176166	0.443128	0.299421	0.318049	0.176166	0.544793	0.443128	0.299421	0.443128	0.544793	
6298000	4.627436	4	0.297708	0.202231	0.391866	0.297708	0.297708	0.202231	0.391866	0.391866	0.297708	0.391866	0.076144	
6299000	4.627436	8	0.295889	0.171191	0.430777	0.277776	0.275068	0.173459	1.111647	0.420281	0.430777	0.420281	0.173459	
6300000	4.627436	5	0.282999	0.179814	0.403270	0.282999	0.282999	0.179814	1.112569	0.282999	0.282999	0.403270	0.359277	
6301000	4.627436	5	0.305757	0.184703	0.386036	0.305757	0.292211	0.184703	0.530792	0.386036	0.305757	0.386036	0.184703	
6302000	4.627436	5	0.289516	0.199017	0.378334	0.289516	0.289516	0.199017	0.732878	0.378334	0.289516	0.452327	0.289516	
6303000	4.627436	6	0.313191	0.210796	0.482420	0.274429	0.313191	0.210796	0.804359	0.313191	0.313191	0.328692	0.210796	
6304000	4.627436	3	0.305240	0.170965	0.426702	0.305240	0.305240	0.170965	0.426702	0.426702	0.305240	0.426702	0.305240	
6305000	4.627436	4	0.296015	0.201666	0.426094	0.296015	0.296015	0.170301	0.426094	0.426094	0.296015	0.426094	0.426094	
6306000	4.627436	4	0.286221	0.214473	0.414891	0.278354	0.278354	0.214473	0.414891	0.414891	0.278354	0.414891	0.214473	
6307000	4.627436	5	0.297448	0.161982	0.394110	0.297448	0.297448	0.161982	1.004084	0.394110	0.297448	0.394110	0.135684	
6308000	4.627436	4	0.292822	0.207576	0.441960	0.292822	0.292822	0.207576	0.667249	0.441960	0.292822	0.441960	0.292822	
6309000	4.627436	3	0.288978	0.190052	0.484884	0.288978	0.288978	0.190052	0.484884	0.484884	0.484884	0.484884	0.288978	
6310000	4.627436	4	0.296067	0.201959	0.391254	0.296067	0.294036	0.201959	0.391254	0.391254	0.296067	0.391254	0.296067	
6311000	4.627436	6	0.289829	0.195896	0.361652	0.289829	0.357858	0.195896	0.660997	0.459421	0.289829	0.357858	0.289829	
6312000	4.627436	4	0.307445	0.205675	0.435217	0.307445	0.307445	0.205675	0.435217	0.435217	0.307445	0.307445	0.124889	
6313000	4.627436	6	0.296543	0.203971	0.384645	0.296543	0.389104	0.203971	0.389104	0.408195	0.384645	0.351207	0.203971	
6314000	4.627436	5	0.306383	0.205876	0.379612	0.306383	0.306383	0.203609	0.379612	0.379612	0.306383	0.502038	0.205876	
6315000	4.627436	4	0.298917	0.197271	0.380016	0.298917	0.298917	0.197271	0.601210	0.380016	0.298917	0.380016	0.380016	
6316000	4.627436	6	0.310048	0.190748	0.386111	0.310048	0.310048	0.180632	0.486981	0.310048	0.386111	0.452935	0.190748	
6317000	4.627436	6	0.295811	0.188055	0.448445	0.309544	0.309544	0.188055	0.731838	0.309544	0.295811	0.453944	0.188055	
6318000	4.627436	6	0.300228	0.231841	0.400074	0.300228	0.340713	0.220843	0.400074	0.392566	0.340713	0.392566	0.300228	
6319000	4.627436	5	0.302427	0.177639	0.424389	0.257224	0.302427	0.177639	1.390023	0.302427	0.302427	0.424389	0.177639	
6320000	4.627436	4	0.268050	0.170541	0.416027	0.268050	0.268050	0.170541	1.029746	0.416027	0.416027	0.416027	0.268050	
6321000	4.627436	5	0.290642	0.232029	0.332075	0.290642	0.332075	0.232029	0.658258	0.400187	0.290642	0.400187	0.332075	
6322000	4.627436	4	0.296249	0.227910	0.375505	0.296249	0.296249	0.227910	1.146838	0.375505	0.296249	0.296249	0.296249	
6323000	4.627436	4	0.316919	0.188883	0.383636	0.316919	0.316919	0.188883	1.133389	0.316919	0.316919	0.383636	0.188883	
6324000	4.627436	6	0.336034	0.186359	0.397749	0.262107	0.313532	0.171884	0.397749	0.397749	0.336034	0.397749	0.336034	
6325000	4.627436	5	0.288627	0.189654	0.394420	0.288627	0.288627	0.189654	0.496115	0.394420	0.288627	0.394420	0.221137	
6326000	4.627436	3	0.290538	0.187274	0.424600	0.290538	0.290538	0.187274	0.424600	0.424600	0.290538	0.424600	0.290538	
6327000	4.627436	4	0.310367	0.207868	0.403142	0.310367	0.310367	0.207868	0.702894	0.403142	0.310367	0.403142	0.207868	
6328000	4.627436	4	0.305898	0.190086	0.422901	0.305898	0.305898	0.190086	0.422901	0.422901	0.331348	0.422901	0.190086	
6329000	4.627436	8	0.300048	0.232603	0.427884	0.300048	0.300048	0.232603	0.803941	0.384374	0.398920	0.438955	0.372314	
6330000	4.627436	4	0.316338	0.223859	0.388221	0.316338	0.316338	0.223859	0.808615	0.316338	0.316338	0.388221	0.316338	
6331000	4.627436	6	0.290115	0.199968	0.417119	0.290115	0.290115	0.199968	1.221250	0.332062	0.332062	0.417119	0.098014	
6332000	4.627436	7	0.336471	0.191075	0.410452	0.253646	0.253646	0.191075	0.985689	0.410452	0.253646	0.483879	0.193312	
6333000	4.627436	5	0.301032	0.166756	0.392202	0.301032	0.301032	0.166756	0.539251	0.410443	0.301032	0.392202	0.301032	
6334000	4.627436	5	0.305516	0.174274	0.428489	0.305516	0.305516	0.174274	0.460288	0.343453	0.343453	0.428489	0.174274	
6335000	4.627436	6	0.308063	0.198062	0.370545	0.308063	0.308063	0.198062	0.507214	0.308063	0.308063	0.518429	0.063553	
6336000	4.627436	5	0.308952	0.189890	0.381800	0.312009	0.312009	0.189890	0.858248	0.308952	0.308952	0.381800	0.189890	
6337000	4.627436	5	0.307765	0.218219	0.383758	0.307765	0.307765	0.218219	1.511083	0.307765	0.307765	0.460825	0.307765	
6338000	4.627436	4	0.320114	0.190459	0.386603	0.265966	0.320114	0.190459	0.386603	0.386603	0.386603	0.320114	0.190459	
