Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
2195000	48.111915	6	13.190410	5.423251	29.995439	5.423251	5.423251	5.423251	29.995439	5.423251	9.875324	9.418357	11.670039	
2196000	48.111915	6	13.571213	4.782333	28.794461	4.782333	4.782333	4.782333	28.794461	4.782333	12.248612	11.079925	12.977413	
2197000	48.111915	6	12.984074	5.232437	29.429415	5.232437	5.232437	5.232437	29.429415	5.232437	11.774105	11.499718	10.704087	
2198000	48.111915	6	13.154492	5.574390	28.007695	5.574390	5.574390	5.574390	28.007695	5.574390	12.216075	11.002875	11.652931	
2199000	48.111915	6	12.687303	4.929356	27.832333	4.929356	4.929356	4.929356	27.832333	4.929356	12.491694	9.853539	11.819317	
2200000	48.111915	6	13.129184	5.378694	26.919566	5.378694	5.378694	5.378694	26.919566	5.378694	12.641716	10.430288	12.237898	
2201000	48.111915	6	13.014719	5.174230	28.822351	5.174230	5.174230	5.174230	28.822351	5.174230	11.500467	10.835697	12.466335	
2202000	48.111915	4	14.968726	5.688198	14.968726	5.688198	5.688198	5.688198	14.968726	5.688198	14.968726	11.532802	12.321968	
2203000	48.111915	5	19.857123	5.886717	19.857123	5.886717	5.886717	5.886717	19.857123	5.886717	11.023442	10.373908	11.420576	
2204000	48.111915	5	24.220090	6.122559	24.220090	6.122559	6.122559	6.122559	24.220090	6.122559	12.843899	9.813883	13.975539	
2205000	48.111915	5	26.260208	6.267491	26.260208	6.267491	6.267491	6.267491	26.260208	6.267491	12.064119	11.024645	11.496172	
2206000	48.111915	5	25.305430	5.593462	25.305430	5.593462	5.593462	5.593462	25.305430	5.593462	11.741813	9.736599	12.440626	
2207000	48.111915	6	12.230732	5.791470	28.419319	5.791470	5.791470	5.791470	28.419319	5.791470	11.010124	11.670219	12.722310	
2208000	48.111915	6	11.404929	5.308378	28.274981	5.308378	5.308378	5.308378	28.274981	5.308378	11.593077	10.122832	13.681599	
2209000	48.111915	6	13.496776	5.667576	29.702126	5.667576	5.667576	5.667576	29.702126	5.667576	11.052215	11.908644	12.588030	
2210000	48.111915	5	13.360876	6.221775	27.828734	6.221775	6.221775	6.221775	27.828734	6.221775	10.912687	10.935409	13.360876	
2211000	48.111915	5	11.932326	5.502547	28.868388	5.502547	5.502547	5.502547	28.868388	5.502547	10.131808	10.634093	5.502547	
2212000	48.111915	5	14.029590	5.659184	29.240599	5.659184	5.659184	5.659184	29.240599	5.659184	12.731502	11.405674	11.405674	
2213000	48.111915	6	13.116894	5.210433	16.539100	5.210433	5.210433	5.210433	16.539100	5.210433	10.697403	10.412797	11.511234	
2214000	48.111915	5	12.868553	4.922438	23.890168	4.922438	4.922438	4.922438	23.890168	4.922438	12.700812	11.901171	4.922438	
2215000	48.111915	6	12.638430	5.497038	28.942217	5.497038	5.497038	5.497038	28.942217	5.497038	12.862928	11.597850	13.564640	
2216000	48.111915	5	14.215527	6.063173	29.121600	6.063173	6.063173	6.063173	29.121600	6.063173	11.724875	9.950439	6.063173	
