Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
5336000	4.627436	2	0.460346	0.298623	0.072108	0.168924	0.317141	0.239949	0.189321	0.253589	0.460346	0.298623	0.072108	0.168924	0.317141	0.239949	0.189321	0.253589	0.317141	0.239949	0.189321	0.253589	0.317141	0.239949	0.189321	0.253589	0.460346	0.298623	0.072108	0.168924	0.317141	0.239949	0.189321	0.253589	0.460346	0.298623	0.072108	0.168924	0.317141	0.239949	0.189321	0.253589	0.317141	0.239949	0.189321	0.253589	
5337000	4.627436	3	0.458579	0.276100	0.078170	0.187150	0.271011	0.243149	0.183895	0.301944	0.458579	0.276100	0.078170	0.187150	0.271011	0.243149	0.183895	0.301944	0.257193	0.328848	0.150328	0.263631	0.257193	0.328848	0.150328	0.263631	0.458579	0.276100	0.078170	0.187150	0.257193	0.328848	0.150328	0.263631	0.458579	0.276100	0.078170	0.187150	0.257193	0.328848	0.150328	0.263631	0.271011	0.243149	0.183895	0.301944	
5338000	4.627436	3	0.456050	0.289027	0.078730	0.176193	0.285035	0.290394	0.202562	0.222008	0.456050	0.289027	0.078730	0.176193	0.285035	0.290394	0.202562	0.222008	0.285035	0.290394	0.202562	0.222008	0.335628	0.293850	0.107461	0.263060	0.456050	0.289027	0.078730	0.176193	0.335628	0.293850	0.107461	0.263060	0.335628	0.293850	0.107461	0.263060	0.335628	0.293850	0.107461	0.263060	0.285035	0.290394	0.202562	0.222008	
5339000	4.627436	4	0.465608	0.287217	0.077408	0.169766	0.308904	0.268884	0.173665	0.248547	0.465608	0.287217	0.077408	0.169766	0.308904	0.268884	0.173665	0.248547	0.308904	0.268884	0.173665	0.248547	0.291403	0.299187	0.080416	0.328994	0.465608	0.287217	0.077408	0.169766	0.332518	0.297505	0.103262	0.266715	0.332518	0.297505	0.103262	0.266715	0.332518	0.297505	0.103262	0.266715	0.308904	0.268884	0.173665	0.248547	
5340000	4.627436	3	0.440869	0.278202	0.107370	0.173558	0.298476	0.279688	0.167751	0.254085	0.440869	0.278202	0.107370	0.173558	0.298476	0.279688	0.167751	0.254085	0.298476	0.279688	0.167751	0.254085	0.298476	0.279688	0.167751	0.254085	0.440869	0.278202	0.107370	0.173558	0.298476	0.279688	0.167751	0.254085	0.368099	0.309436	0.109550	0.212914	0.298476	0.279688	0.167751	0.254085	0.298476	0.279688	0.167751	0.254085	
5341000	4.627436	2	0.445841	0.306520	0.077776	0.169863	0.290915	0.252571	0.179979	0.276535	0.445841	0.306520	0.077776	0.169863	0.290915	0.252571	0.179979	0.276535	0.290915	0.252571	0.179979	0.276535	0.290915	0.252571	0.179979	0.276535	0.445841	0.306520	0.077776	0.169863	0.290915	0.252571	0.179979	0.276535	0.445841	0.306520	0.077776	0.169863	0.290915	0.252571	0.179979	0.276535	0.290915	0.252571	0.179979	0.276535	
5342000	4.627436	3	0.452599	0.302700	0.075406	0.169295	0.273871	0.284670	0.178204	0.263255	0.452599	0.302700	0.075406	0.169295	0.273871	0.284670	0.178204	0.263255	0.273871	0.284670	0.178204	0.263255	0.273871	0.284670	0.178204	0.263255	0.452599	0.302700	0.075406	0.169295	0.273871	0.284670	0.178204	0.263255	0.452599	0.302700	0.075406	0.169295	0.273871	0.284670	0.178204	0.263255	0.292370	0.253293	0.282292	0.172045	
5343000	4.627436	3	0.461341	0.282284	0.079637	0.176738	0.273871	0.284670	0.178204	0.263255	0.461341	0.282284	0.079637	0.176738	0.273871	0.284670	0.178204	0.263255	0.273871	0.284670	0.178204	0.263255	0.273871	0.284670	0.178204	0.263255	0.461341	0.282284	0.079637	0.176738	0.273871	0.284670	0.178204	0.263255	0.461341	0.282284	0.079637	0.176738	0.273871	0.284670	0.178204	0.263255	0.174946	0.187718	0.390523	0.246813	
5344000	4.627436	3	0.455856	0.287753	0.078540	0.177850	0.277383	0.284635	0.167907	0.270075	0.455856	0.287753	0.078540	0.177850	0.277383	0.284635	0.167907	0.270075	0.277383	0.284635	0.167907	0.270075	0.277383	0.284635	0.167907	0.270075	0.455856	0.287753	0.078540	0.177850	0.394282	0.268828	0.121762	0.215128	0.394282	0.268828	0.121762	0.215128	0.277383	0.284635	0.167907	0.270075	0.277383	0.284635	0.167907	0.270075	
5345000	4.627436	2	0.455856	0.287753	0.078540	0.177850	0.279410	0.278343	0.164057	0.278190	0.455856	0.287753	0.078540	0.177850	0.279410	0.278343	0.164057	0.278190	0.279410	0.278343	0.164057	0.278190	0.279410	0.278343	0.164057	0.278190	0.455856	0.287753	0.078540	0.177850	0.279410	0.278343	0.164057	0.278190	0.455856	0.287753	0.078540	0.177850	0.279410	0.278343	0.164057	0.278190	0.279410	0.278343	0.164057	0.278190	
