Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
5787000	268.021876	7	0.296083	0.288603	0.374150	0.288603	0.296083	0.288603	0.939885	0.360813	0.321165	0.374150	0.075560	
5788000	268.021876	9	0.302375	0.204414	0.404085	0.325712	0.356286	0.194330	0.719699	0.302375	0.351850	0.342712	0.204414	
5789000	268.021876	6	0.288896	0.186340	0.389205	0.288896	0.288896	0.186340	0.810790	0.310846	0.288896	0.433660	0.186340	
5790000	268.021876	8	0.321014	0.219700	0.436425	0.321014	0.321014	0.219700	0.516314	0.310596	0.337845	0.296775	0.138606	
5791000	268.021876	9	0.318668	0.230265	0.453785	0.292046	0.318668	0.162066	0.600353	0.393202	0.318668	0.603613	0.284149	
5792000	268.021876	8	0.319315	0.167192	0.586267	0.307397	0.307397	0.167192	1.075818	0.475575	0.307397	0.551150	0.193807	
5793000	268.021876	8	0.337836	0.199490	0.462472	0.226741	0.334350	0.199490	1.074637	0.462472	0.334350	0.605424	0.111974	
5794000	268.021876	6	0.337099	0.226434	0.337099	0.254162	0.367322	0.226434	0.981818	0.581767	0.254162	0.367322	0.254162	
5795000	268.021876	10	0.321281	0.188144	0.395073	0.312040	0.372830	0.166669	0.504794	0.325665	0.374574	0.374574	0.473241	
5796000	268.021876	10	0.272147	0.216844	0.441362	0.237695	0.321379	0.199884	0.541051	0.314354	0.272147	0.443468	0.138803	
5797000	268.021876	8	0.285524	0.247071	0.505803	0.250893	0.304023	0.211178	0.505803	0.304023	0.320444	0.304023	0.162145	
5798000	268.021876	9	0.328174	0.193532	0.386588	0.372694	0.328174	0.229069	0.830567	0.339411	0.229069	0.660776	0.223922	
5799000	268.021876	7	0.252433	0.252433	0.417118	0.234733	0.234733	0.221275	1.377660	0.506131	0.417118	0.417118	0.316853	
5800000	268.021876	9	0.338694	0.207666	0.424267	0.328603	0.300782	0.207666	0.466060	0.338694	0.298550	0.352413	0.275038	
5801000	268.021876	10	0.335042	0.244949	0.395204	0.287496	0.287908	0.203397	0.915615	0.384038	0.244949	0.425505	0.368301	
5802000	268.021876	5	0.302056	0.229830	0.466917	0.302056	0.302056	0.229830	0.924084	0.490873	0.302056	0.302056	0.302056	
5803000	268.021876	7	0.294090	0.294090	0.482709	0.226357	0.366370	0.226357	0.775466	0.366370	0.344107	0.482709	0.338498	
5804000	268.021876	8	0.311331	0.240184	0.431069	0.270934	0.311331	0.178434	1.360180	0.461284	0.311331	0.461284	0.191845	
5805000	268.021876	8	0.294595	0.287806	0.498221	0.279692	0.287806	0.147439	0.541732	0.279692	0.294595	0.610639	0.262550	
5806000	268.021876	8	0.324053	0.240739	0.447872	0.240739	0.324053	0.180973	1.149318	0.324053	0.281066	0.363842	0.371114	
5807000	268.021876	8	0.273085	0.275711	0.548375	0.260498	0.322475	0.196002	0.548375	0.248281	0.314486	0.322475	0.273085	
5808000	268.021876	8	0.311188	0.183704	0.530643	0.311188	0.311188	0.200774	0.530643	0.440098	0.388641	0.439369	0.562284	
5809000	268.021876	9	0.311657	0.193455	0.349728	0.240901	0.342684	0.193455	0.665805	0.346041	0.311657	0.390644	0.098866	
5810000	268.021876	7	0.286184	0.186722	0.463001	0.286184	0.286184	0.186722	1.295148	0.279455	0.279455	0.483936	0.219898	
