Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1118000	27.685548	1	0.115161	0.257514	0.029917	0.207233	0.256577	0.133597	0.115161	0.257514	0.029917	0.207233	0.256577	0.133597	0.115161	0.257514	0.029917	0.207233	0.256577	0.133597	0.115161	0.257514	0.029917	0.207233	0.256577	0.133597	
1119000	27.685548	1	0.108356	0.241943	0.030290	0.205177	0.275084	0.139149	0.108356	0.241943	0.030290	0.205177	0.275084	0.139149	0.108356	0.241943	0.030290	0.205177	0.275084	0.139149	0.108356	0.241943	0.030290	0.205177	0.275084	0.139149	
1120000	27.685548	1	0.124769	0.228650	0.029295	0.164740	0.264345	0.188202	0.124769	0.228650	0.029295	0.164740	0.264345	0.188202	0.124769	0.228650	0.029295	0.164740	0.264345	0.188202	0.124769	0.228650	0.029295	0.164740	0.264345	0.188202	
1121000	27.685548	1	0.107556	0.199541	0.043377	0.227891	0.288670	0.132965	0.107556	0.199541	0.043377	0.227891	0.288670	0.132965	0.107556	0.199541	0.043377	0.227891	0.288670	0.132965	0.107556	0.199541	0.043377	0.227891	0.288670	0.132965	
1122000	27.685548	1	0.126207	0.241059	0.045295	0.172723	0.263130	0.151586	0.126207	0.241059	0.045295	0.172723	0.263130	0.151586	0.126207	0.241059	0.045295	0.172723	0.263130	0.151586	0.126207	0.241059	0.045295	0.172723	0.263130	0.151586	
1123000	27.685548	1	0.104298	0.261505	0.026215	0.208616	0.270586	0.128780	0.104298	0.261505	0.026215	0.208616	0.270586	0.128780	0.104298	0.261505	0.026215	0.208616	0.270586	0.128780	0.104298	0.261505	0.026215	0.208616	0.270586	0.128780	
1124000	27.685548	2	0.125168	0.249881	0.021083	0.221136	0.217319	0.165413	0.361388	0.173622	0.032599	0.118116	0.229675	0.084601	0.125168	0.249881	0.021083	0.221136	0.217319	0.165413	0.361388	0.173622	0.032599	0.118116	0.229675	0.084601	
1125000	27.685548	1	0.110004	0.242638	0.037298	0.191378	0.259463	0.159218	0.110004	0.242638	0.037298	0.191378	0.259463	0.159218	0.110004	0.242638	0.037298	0.191378	0.259463	0.159218	0.110004	0.242638	0.037298	0.191378	0.259463	0.159218	
1126000	27.685548	1	0.132071	0.190478	0.038165	0.189313	0.327914	0.122060	0.132071	0.190478	0.038165	0.189313	0.327914	0.122060	0.132071	0.190478	0.038165	0.189313	0.327914	0.122060	0.132071	0.190478	0.038165	0.189313	0.327914	0.122060	
1127000	27.685548	1	0.144880	0.234790	0.033721	0.178868	0.267280	0.140460	0.144880	0.234790	0.033721	0.178868	0.267280	0.140460	0.144880	0.234790	0.033721	0.178868	0.267280	0.140460	0.144880	0.234790	0.033721	0.178868	0.267280	0.140460	
