Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1858000	0.092720	3	0.103221	0.397008	0.397372	0.102399	0.238649	0.262743	0.255111	0.243497	0.400504	0.100602	0.097190	0.401704	0.103221	0.397008	0.397372	0.102399	0.238649	0.262743	0.255111	0.243497	0.400504	0.100602	0.097190	0.401704	
1859000	0.092720	3	0.103390	0.405435	0.385746	0.105428	0.239130	0.257291	0.239496	0.264083	0.400504	0.100602	0.097190	0.401704	0.103390	0.405435	0.385746	0.105428	0.239130	0.257291	0.239496	0.264083	0.400504	0.100602	0.097190	0.401704	
1860000	0.092720	3	0.104365	0.387001	0.397980	0.110655	0.242727	0.249252	0.257809	0.250212	0.400504	0.100602	0.097190	0.401704	0.104365	0.387001	0.397980	0.110655	0.242727	0.249252	0.257809	0.250212	0.400504	0.100602	0.097190	0.401704	
1861000	0.092720	3	0.101455	0.394480	0.402913	0.101152	0.239159	0.272114	0.238257	0.250469	0.400504	0.100602	0.097190	0.401704	0.101455	0.394480	0.402913	0.101152	0.239159	0.272114	0.238257	0.250469	0.400504	0.100602	0.097190	0.401704	
1862000	0.092720	3	0.100414	0.394282	0.403323	0.101981	0.234917	0.251673	0.269564	0.243846	0.401138	0.102890	0.099975	0.395997	0.100414	0.394282	0.403323	0.101981	0.234917	0.251673	0.269564	0.243846	0.401138	0.102890	0.099975	0.395997	
1863000	0.092720	3	0.103130	0.396401	0.395658	0.104811	0.243375	0.273502	0.244692	0.238431	0.401138	0.102890	0.099975	0.395997	0.103130	0.396401	0.395658	0.104811	0.243375	0.273502	0.244692	0.238431	0.401138	0.102890	0.099975	0.395997	
1864000	0.092720	3	0.103130	0.396401	0.395658	0.104811	0.243273	0.248934	0.251428	0.256365	0.391882	0.101791	0.103234	0.403093	0.103130	0.396401	0.395658	0.104811	0.243273	0.248934	0.251428	0.256365	0.391882	0.101791	0.103234	0.403093	
1865000	0.092720	3	0.102781	0.398690	0.396063	0.102466	0.255052	0.242818	0.246714	0.255416	0.399648	0.100404	0.103148	0.396800	0.102781	0.398690	0.396063	0.102466	0.255052	0.242818	0.246714	0.255416	0.399648	0.100404	0.103148	0.396800	
1866000	0.092720	3	0.106229	0.390119	0.406887	0.096764	0.238333	0.256212	0.256590	0.248864	0.399648	0.100404	0.103148	0.396800	0.106229	0.390119	0.406887	0.096764	0.238333	0.256212	0.256590	0.248864	0.399648	0.100404	0.103148	0.396800	
1867000	0.092720	3	0.101148	0.395052	0.401530	0.102270	0.242684	0.263728	0.251985	0.241604	0.399648	0.100404	0.103148	0.396800	0.101148	0.395052	0.401530	0.102270	0.242684	0.263728	0.251985	0.241604	0.399648	0.100404	0.103148	0.396800	
