Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
26000	1.695768	2	0.129902	0.237345	0.121437	0.138455	0.251581	0.121280	0.129902	0.237345	0.121437	0.138455	0.251581	0.121280	0.129902	0.237345	0.121437	0.138455	0.251581	0.121280	0.252882	0.131461	0.128732	0.118114	0.111868	0.256941	0.252882	0.131461	0.128732	0.118114	0.111868	0.256941	0.252882	0.131461	0.128732	0.118114	0.111868	0.256941	
27000	1.695768	2	0.116932	0.236730	0.127889	0.135472	0.253502	0.129476	0.116932	0.236730	0.127889	0.135472	0.253502	0.129476	0.116932	0.236730	0.127889	0.135472	0.253502	0.129476	0.267049	0.127421	0.132321	0.127286	0.115485	0.230438	0.267049	0.127421	0.132321	0.127286	0.115485	0.230438	0.267049	0.127421	0.132321	0.127286	0.115485	0.230438	
28000	1.695768	2	0.126592	0.224754	0.136245	0.138248	0.240812	0.133348	0.126592	0.224754	0.136245	0.138248	0.240812	0.133348	0.126592	0.224754	0.136245	0.138248	0.240812	0.133348	0.251351	0.120439	0.134773	0.111685	0.119028	0.262724	0.251351	0.120439	0.134773	0.111685	0.119028	0.262724	0.251351	0.120439	0.134773	0.111685	0.119028	0.262724	
29000	1.695768	2	0.127828	0.237072	0.122551	0.136865	0.245772	0.129912	0.127828	0.237072	0.122551	0.136865	0.245772	0.129912	0.127828	0.237072	0.122551	0.136865	0.245772	0.129912	0.257737	0.133453	0.138170	0.112380	0.114831	0.243429	0.257737	0.133453	0.138170	0.112380	0.114831	0.243429	0.257737	0.133453	0.138170	0.112380	0.114831	0.243429	
30000	1.695768	2	0.126166	0.237979	0.127925	0.148530	0.228092	0.131308	0.126166	0.237979	0.127925	0.148530	0.228092	0.131308	0.126166	0.237979	0.127925	0.148530	0.228092	0.131308	0.241409	0.133941	0.141056	0.117647	0.122856	0.243091	0.241409	0.133941	0.141056	0.117647	0.122856	0.243091	0.241409	0.133941	0.141056	0.117647	0.122856	0.243091	
31000	1.695768	2	0.118343	0.221230	0.128068	0.150212	0.247442	0.134705	0.118343	0.221230	0.128068	0.150212	0.247442	0.134705	0.118343	0.221230	0.128068	0.150212	0.247442	0.134705	0.252613	0.133980	0.140540	0.111962	0.118658	0.242248	0.252613	0.133980	0.140540	0.111962	0.118658	0.242248	0.252613	0.133980	0.140540	0.111962	0.118658	0.242248	
32000	1.695768	2	0.126430	0.233357	0.122898	0.134470	0.247090	0.135756	0.126430	0.233357	0.122898	0.134470	0.247090	0.135756	0.126430	0.233357	0.122898	0.134470	0.247090	0.135756	0.253151	0.123766	0.133307	0.118041	0.113595	0.258140	0.253151	0.123766	0.133307	0.118041	0.113595	0.258140	0.253151	0.123766	0.133307	0.118041	0.113595	0.258140	
33000	1.695768	2	0.121545	0.235977	0.127241	0.141540	0.241996	0.131701	0.121545	0.235977	0.127241	0.141540	0.241996	0.131701	0.121545	0.235977	0.127241	0.141540	0.241996	0.131701	0.256335	0.135751	0.135851	0.108965	0.116945	0.246152	0.256335	0.135751	0.135851	0.108965	0.116945	0.246152	0.256335	0.135751	0.135851	0.108965	0.116945	0.246152	
34000	1.695768	2	0.122472	0.234146	0.131973	0.135515	0.250538	0.125356	0.122472	0.234146	0.131973	0.135515	0.250538	0.125356	0.122472	0.234146	0.131973	0.135515	0.250538	0.125356	0.259882	0.121086	0.131982	0.119686	0.120623	0.246740	0.259882	0.121086	0.131982	0.119686	0.120623	0.246740	0.259882	0.121086	0.131982	0.119686	0.120623	0.246740	
35000	1.695768	2	0.126982	0.244201	0.133013	0.127810	0.233639	0.134356	0.126982	0.244201	0.133013	0.127810	0.233639	0.134356	0.126982	0.244201	0.133013	0.127810	0.233639	0.134356	0.249521	0.123684	0.141522	0.106501	0.126076	0.252696	0.249521	0.123684	0.141522	0.106501	0.126076	0.252696	0.249521	0.123684	0.141522	0.106501	0.126076	0.252696	
