Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1152000	71.353907	4	9.427923	7.524877	16.720661	7.524877	8.259088	16.720661	
1153000	71.353907	4	9.496720	8.029967	15.714835	7.597312	7.597312	15.714835	
1154000	71.353907	5	9.628234	7.788875	16.387124	6.934119	8.816904	16.387124	
1155000	71.353907	5	9.150791	8.773636	15.561243	7.944510	8.026705	15.561243	
1156000	71.353907	3	9.323661	7.130830	15.931457	7.130830	7.130830	15.931457	
1157000	71.353907	5	9.701647	8.400217	15.997442	7.875596	8.351920	15.997442	
1158000	71.353907	4	9.438604	8.814624	15.540841	8.296737	8.296737	15.540841	
1159000	71.353907	4	8.658000	8.659825	15.692671	8.467546	8.467546	15.692671	
1160000	71.353907	3	9.116088	6.970496	15.859593	6.970496	6.970496	15.859593	
1161000	71.353907	4	9.336249	7.473096	16.460122	7.473096	8.136182	16.460122	
1162000	71.353907	4	9.513006	7.342646	15.456509	7.342646	8.580857	15.456509	
1163000	71.353907	4	9.411673	8.066355	16.117860	8.066355	7.897956	16.117860	
1164000	71.353907	4	9.804884	7.368723	16.561468	7.368723	7.973184	16.561468	
1165000	71.353907	4	9.974438	8.690509	16.508999	7.957232	7.957232	16.508999	
1166000	71.353907	3	9.682813	7.541914	15.733133	7.541914	7.541914	15.733133	
1167000	71.353907	4	10.440050	7.333757	16.465599	7.333757	8.784638	16.465599	
1168000	71.353907	4	9.750513	7.803786	16.307143	7.803786	8.080508	16.307143	
1169000	71.353907	4	9.591588	7.754083	15.860342	7.754083	8.848985	15.860342	
1170000	71.353907	5	9.310269	9.221173	16.067044	8.370203	9.048544	16.067044	
1171000	71.353907	4	9.716690	8.840929	15.826318	8.000538	8.000538	15.826318	
1172000	71.353907	3	9.548229	7.529528	16.387732	7.529528	7.529528	16.387732	
1173000	71.353907	5	9.630816	9.167813	16.204940	8.624281	8.338054	16.204940	
1174000	71.353907	4	9.191150	8.515911	16.759810	7.953393	7.953393	16.759810	
1175000	71.353907	4	8.536628	7.309702	15.846648	7.309702	7.720223	15.846648	
1176000	71.353907	3	8.992315	7.496050	15.489591	7.496050	7.496050	15.489591	
1177000	71.353907	3	9.809161	8.379265	16.936262	8.379265	8.379265	16.936262	
1178000	71.353907	4	9.773614	7.394786	15.852344	7.394786	7.629565	15.852344	
1179000	71.353907	4	9.346457	8.504933	15.132226	7.933079	7.933079	15.132226	
1180000	71.353907	4	9.516257	8.155470	15.742239	8.155470	8.621402	15.742239	
1181000	71.353907	4	9.584534	7.358486	16.103525	7.358486	8.743652	16.103525	
1182000	71.353907	3	9.042577	7.997551	15.538234	7.997551	7.997551	15.538234	
1183000	71.353907	4	9.235235	7.676085	15.317262	7.676085	7.991831	15.317262	
1184000	71.353907	4	9.199418	7.503834	16.026491	7.503834	8.092743	16.026491	
1185000	71.353907	5	9.251896	7.760181	16.285847	7.186787	8.971702	16.285847	
1186000	71.353907	5	8.483716	8.309198	15.172737	8.192342	8.968278	15.172737	
1187000	71.353907	4	9.809666	8.330823	15.660380	7.438616	7.438616	15.660380	
1188000	71.353907	4	9.641959	7.142768	15.698719	7.142768	8.064304	15.698719	
1189000	71.353907	5	9.806564	7.490472	15.861179	6.460569	8.443918	15.861179	
1190000	71.353907	4	9.504491	8.551980	16.390731	8.068014	8.068014	16.390731	
1191000	71.353907	5	9.435032	8.102749	15.362275	8.354633	8.088295	15.362275	
1192000	71.353907	4	10.021542	7.469224	16.429850	7.469224	8.762366	16.429850	
1193000	71.353907	4	9.360009	9.026978	15.519369	8.174292	8.174292	15.519369	
1194000	71.353907	3	9.659510	7.211662	16.284044	7.211662	7.211662	16.284044	
1195000	71.353907	4	9.751385	7.477039	15.241802	7.477039	8.294627	15.241802	
1196000	71.353907	5	9.104924	8.261564	16.989758	7.688156	8.767731	16.989758	
1197000	71.353907	4	9.877384	7.395737	15.202510	7.395737	8.617203	15.202510	
1198000	71.353907	5	9.842724	8.408454	15.113108	8.266555	8.156517	15.113108	
1199000	71.353907	5	9.902312	8.917823	16.608728	7.664709	8.459748	16.608728	
