Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
7143000	5.058727	6	0.213596	0.254563	0.254563	2.337479	0.464939	0.464939	0.246834	0.213596	2.144826	
7144000	4.536188	3	0.240928	0.240928	0.240928	2.539241	0.563486	0.563486	0.240928	0.240928	2.539241	
7145000	4.078678	4	0.246618	0.246618	0.246618	3.061380	0.518098	0.518098	0.246618	0.150013	3.061380	
7146000	4.939049	5	0.258642	0.260384	0.258642	2.148420	0.472362	0.472362	0.241617	0.241617	2.148420	
7147000	4.156924	3	0.247335	0.247335	0.247335	2.714081	0.568279	0.568279	0.247335	0.247335	2.714081	
7148000	6.097641	5	0.258098	0.258098	0.258098	2.838790	0.497819	0.497819	0.230055	0.154132	2.838790	
7149000	4.923304	3	0.251418	0.251418	0.251418	2.713541	0.377366	0.377366	0.251418	0.251418	2.713541	
7150000	4.258403	4	0.243805	0.243805	0.243805	2.387141	0.486590	0.474527	0.243805	0.243805	2.387141	
7151000	5.068704	3	0.244572	0.244572	0.244572	2.688353	0.432359	0.432359	0.244572	0.244572	2.688353	
7152000	4.633876	4	0.261893	0.261893	0.261893	3.010347	0.473649	0.473649	0.261893	0.229061	3.010347	
7153000	5.693981	4	0.244307	0.244307	0.244307	2.921614	0.524785	0.533433	0.244307	0.244307	2.921614	
7154000	5.201498	4	0.253491	0.253491	0.253491	2.682341	0.409474	0.409474	0.253491	0.253491	2.847666	
7155000	4.578988	5	0.255572	0.255572	0.255572	2.916267	0.554979	0.451028	0.211053	0.211053	2.916267	
7156000	7.248804	5	0.242004	0.242004	0.249857	2.320622	0.434983	0.434983	0.242004	0.224163	2.320622	
7157000	4.592952	6	0.256679	0.256679	0.256679	2.711361	0.478419	0.543813	0.256679	0.249071	2.453449	
7158000	5.402749	5	0.247802	0.247802	0.247802	2.543768	0.478017	0.497376	0.247802	0.179890	2.543768	
7159000	6.108545	6	0.226199	0.240045	0.226199	3.108601	0.365041	0.689775	0.226199	0.140940	3.108601	
7160000	4.448657	4	0.239745	0.239745	0.239745	2.202118	0.497849	0.482991	0.239745	0.239745	2.202118	
7161000	6.381806	3	0.240504	0.240504	0.240504	2.042452	0.442702	0.442702	0.240504	0.240504	2.042452	
7162000	5.484903	3	0.236819	0.236819	0.236819	1.917661	0.399445	0.399445	0.236819	0.236819	1.917661	
7163000	4.672207	3	0.242039	0.242039	0.242039	2.979763	0.411168	0.411168	0.242039	0.242039	2.979763	
7164000	5.350754	4	0.252116	0.252116	0.252116	2.550463	0.441419	0.441419	0.207009	0.207009	2.550463	
7165000	4.132451	3	0.267832	0.267832	0.267832	2.812648	0.510439	0.510439	0.267832	0.267832	2.812648	
7166000	8.799908	4	0.236315	0.236315	0.236315	2.690171	0.376333	0.376333	0.236315	0.206754	2.690171	
7167000	7.188166	3	0.254636	0.254636	0.254636	2.535426	0.424344	0.424344	0.254636	0.254636	2.535426	
7168000	5.548626	4	0.250340	0.250340	0.250340	3.090399	0.454318	0.454318	0.250340	0.229194	3.090399	
7169000	5.749437	4	0.259633	0.259633	0.259633	2.278843	0.502028	0.502028	0.227663	0.227663	2.278843	
7170000	6.577978	5	0.257968	0.257968	0.257968	2.713516	0.378439	0.635396	0.257968	0.212693	2.713516	
7171000	4.707554	3	0.236812	0.236812	0.236812	2.196342	0.432255	0.432255	0.236812	0.236812	2.196342	
7172000	6.015002	4	0.259217	0.259217	0.259217	3.236678	0.421453	0.421453	0.259217	0.204984	3.236678	
7173000	6.854018	4	0.257039	0.257039	0.257039	3.104289	0.459894	0.459894	0.218384	0.218384	3.104289	
7174000	4.437779	4	0.252022	0.252022	0.252022	2.997989	0.533475	0.533475	0.252022	0.152269	2.997989	
7175000	4.693379	5	0.274057	0.269313	0.269313	2.871895	0.374777	0.374777	0.216016	0.216016	2.871895	
7176000	5.125125	3	0.245858	0.245858	0.245858	2.580727	0.245858	0.480657	0.245858	0.245858	2.580727	
7177000	3.323530	4	0.260345	0.260345	0.260345	2.420646	0.438790	0.438790	0.260345	0.212573	2.420646	
7178000	5.462325	4	0.245261	0.245261	0.245261	2.241190	0.404015	0.404015	0.245261	0.208586	2.241190	
7179000	6.370187	3	0.245514	0.245514	0.245514	2.766967	0.506436	0.506436	0.245514	0.245514	2.766967	
7180000	5.452148	3	0.230543	0.230543	0.230543	2.809903	0.449125	0.449125	0.230543	0.230543	2.809903	
7181000	6.147430	4	0.259697	0.259697	0.259697	3.152679	0.452554	0.452554	0.259697	0.211261	3.152679	
7182000	5.402097	4	0.252231	0.252231	0.252231	3.055932	0.599935	0.638026	0.252231	0.252231	3.055932	
7183000	5.145993	4	0.251702	0.251702	0.275254	2.785463	0.373756	0.373756	0.251702	0.251702	2.785463	
7184000	4.839566	4	0.244365	0.244365	0.244365	3.304663	0.493757	0.493757	0.244365	0.244365	1.836953	
7185000	7.670012	5	0.252498	0.252498	0.252498	2.222457	0.391259	0.550943	0.252498	0.151998	2.222457	
7186000	4.478120	5	0.251019	0.251019	0.251019	2.668533	0.415825	0.566514	0.251019	0.184031	2.668533	
7187000	4.241143	4	0.289129	0.289129	0.258248	2.193332	0.419549	0.419549	0.258248	0.258248	2.193332	
7188000	5.731181	5	0.231027	0.262807	0.231027	2.741731	0.431206	0.423444	0.231027	0.231027	2.741731	
7189000	6.229843	5	0.254072	0.290608	0.254072	2.280284	0.442279	0.442279	0.254072	0.235004	2.280284	
7190000	8.495682	4	0.253466	0.253466	0.253466	2.382858	0.511173	0.511173	0.253466	0.195453	2.382858	
7191000	4.746878	5	0.262983	0.236916	0.236916	2.651490	0.405469	0.607180	0.236916	0.236916	2.651490	
