Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
4178000	1.029273	2	0.399246	0.393036	0.057314	0.150403	0.399246	0.393036	0.057314	0.150403	0.264043	0.255323	0.184310	0.296325	0.399246	0.393036	0.057314	0.150403	0.264043	0.255323	0.184310	0.296325	0.264043	0.255323	0.184310	0.296325	0.399246	0.393036	0.057314	0.150403	0.264043	0.255323	0.184310	0.296325	0.399246	0.393036	0.057314	0.150403	
4179000	3.733430	3	0.412966	0.347477	0.072389	0.167168	0.412966	0.347477	0.072389	0.167168	0.280670	0.240242	0.209736	0.269352	0.414913	0.387058	0.058817	0.139211	0.280670	0.240242	0.209736	0.269352	0.280670	0.240242	0.209736	0.269352	0.414913	0.387058	0.058817	0.139211	0.280670	0.240242	0.209736	0.269352	0.414913	0.387058	0.058817	0.139211	
4180000	1.774262	3	0.412966	0.347477	0.072389	0.167168	0.412966	0.347477	0.072389	0.167168	0.285462	0.264546	0.177958	0.272033	0.405440	0.395298	0.058722	0.140540	0.285462	0.264546	0.177958	0.272033	0.285462	0.264546	0.177958	0.272033	0.405440	0.395298	0.058722	0.140540	0.285462	0.264546	0.177958	0.272033	0.405440	0.395298	0.058722	0.140540	
4181000	0.826631	3	0.405440	0.395298	0.058722	0.140540	0.405440	0.395298	0.058722	0.140540	0.244894	0.441937	0.052239	0.260931	0.405440	0.395298	0.058722	0.140540	0.279580	0.258933	0.183270	0.278217	0.279580	0.258933	0.183270	0.278217	0.405440	0.395298	0.058722	0.140540	0.279580	0.258933	0.183270	0.278217	0.405440	0.395298	0.058722	0.140540	
4182000	1.274805	2	0.405440	0.395298	0.058722	0.140540	0.405440	0.395298	0.058722	0.140540	0.285552	0.255607	0.180922	0.277920	0.405440	0.395298	0.058722	0.140540	0.285552	0.255607	0.180922	0.277920	0.285552	0.255607	0.180922	0.277920	0.405440	0.395298	0.058722	0.140540	0.285552	0.255607	0.180922	0.277920	0.405440	0.395298	0.058722	0.140540	
4183000	0.361865	2	0.400092	0.399612	0.058902	0.141394	0.400092	0.399612	0.058902	0.141394	0.266504	0.226929	0.231844	0.274723	0.400092	0.399612	0.058902	0.141394	0.266504	0.226929	0.231844	0.274723	0.266504	0.226929	0.231844	0.274723	0.400092	0.399612	0.058902	0.141394	0.266504	0.226929	0.231844	0.274723	0.400092	0.399612	0.058902	0.141394	
4184000	0.640521	2	0.400092	0.399612	0.058902	0.141394	0.400092	0.399612	0.058902	0.141394	0.289344	0.257421	0.168588	0.284647	0.400092	0.399612	0.058902	0.141394	0.289344	0.257421	0.168588	0.284647	0.289344	0.257421	0.168588	0.284647	0.400092	0.399612	0.058902	0.141394	0.289344	0.257421	0.168588	0.284647	0.400092	0.399612	0.058902	0.141394	
4185000	1.648179	3	0.404471	0.366298	0.069241	0.159989	0.404471	0.366298	0.069241	0.159989	0.294402	0.270637	0.162520	0.272441	0.400092	0.399612	0.058902	0.141394	0.294402	0.270637	0.162520	0.272441	0.294402	0.270637	0.162520	0.272441	0.400092	0.399612	0.058902	0.141394	0.294402	0.270637	0.162520	0.272441	0.400092	0.399612	0.058902	0.141394	
4186000	0.643333	3	0.391450	0.352298	0.073929	0.182324	0.391450	0.352298	0.073929	0.182324	0.285983	0.229412	0.191988	0.292618	0.400092	0.399612	0.058902	0.141394	0.285983	0.229412	0.191988	0.292618	0.285983	0.229412	0.191988	0.292618	0.400092	0.399612	0.058902	0.141394	0.285983	0.229412	0.191988	0.292618	0.400092	0.399612	0.058902	0.141394	
4187000	1.357873	3	0.391450	0.352298	0.073929	0.182324	0.391450	0.352298	0.073929	0.182324	0.269682	0.236738	0.188250	0.305329	0.400092	0.399612	0.058902	0.141394	0.269682	0.236738	0.188250	0.305329	0.269682	0.236738	0.188250	0.305329	0.400092	0.399612	0.058902	0.141394	0.269682	0.236738	0.188250	0.305329	0.400092	0.399612	0.058902	0.141394	
4188000	0.953372	3	0.397538	0.351367	0.080484	0.170612	0.397538	0.351367	0.080484	0.170612	0.254668	0.251972	0.208904	0.284455	0.400092	0.399612	0.058902	0.141394	0.254668	0.251972	0.208904	0.284455	0.254668	0.251972	0.208904	0.284455	0.400092	0.399612	0.058902	0.141394	0.254668	0.251972	0.208904	0.284455	0.400092	0.399612	0.058902	0.141394	
4189000	0.516896	4	0.423333	0.326081	0.071743	0.178842	0.423333	0.326081	0.071743	0.178842	0.136752	0.502057	0.044740	0.316451	0.400092	0.399612	0.058902	0.141394	0.267522	0.242385	0.220561	0.269532	0.267522	0.242385	0.220561	0.269532	0.400092	0.399612	0.058902	0.141394	0.267522	0.242385	0.220561	0.269532	0.400092	0.399612	0.058902	0.141394	
4190000	2.619180	3	0.423333	0.326081	0.071743	0.178842	0.423333	0.326081	0.071743	0.178842	0.285563	0.230591	0.195054	0.288793	0.395523	0.407490	0.054454	0.142534	0.285563	0.230591	0.195054	0.288793	0.285563	0.230591	0.195054	0.288793	0.395523	0.407490	0.054454	0.142534	0.285563	0.230591	0.195054	0.288793	0.395523	0.407490	0.054454	0.142534	
4191000	1.598838	3	0.423333	0.326081	0.071743	0.178842	0.423333	0.326081	0.071743	0.178842	0.268908	0.237546	0.194418	0.299128	0.395523	0.407490	0.054454	0.142534	0.268908	0.237546	0.194418	0.299128	0.268908	0.237546	0.194418	0.299128	0.395523	0.407490	0.054454	0.142534	0.268908	0.237546	0.194418	0.299128	0.395523	0.407490	0.054454	0.142534	
4192000	0.778725	4	0.450122	0.288136	0.073306	0.188436	0.450122	0.288136	0.073306	0.188436	0.117964	0.352256	0.202711	0.327069	0.395523	0.407490	0.054454	0.142534	0.284284	0.236503	0.226832	0.252381	0.284284	0.236503	0.226832	0.252381	0.395523	0.407490	0.054454	0.142534	0.117964	0.352256	0.202711	0.327069	0.395523	0.407490	0.054454	0.142534	
4193000	0.883249	2	0.406477	0.391743	0.056981	0.144799	0.406477	0.391743	0.056981	0.144799	0.237266	0.308700	0.166743	0.287291	0.406477	0.391743	0.056981	0.144799	0.237266	0.308700	0.166743	0.287291	0.237266	0.308700	0.166743	0.287291	0.406477	0.391743	0.056981	0.144799	0.237266	0.308700	0.166743	0.287291	0.406477	0.391743	0.056981	0.144799	
4194000	3.151779	4	0.386559	0.337070	0.083731	0.192640	0.386559	0.337070	0.083731	0.192640	0.211793	0.308561	0.149187	0.330458	0.412773	0.385806	0.054474	0.146946	0.270971	0.270116	0.185180	0.273734	0.270971	0.270116	0.185180	0.273734	0.412773	0.385806	0.054474	0.146946	0.211793	0.308561	0.149187	0.330458	0.412773	0.385806	0.054474	0.146946	
4195000	2.382122	4	0.401616	0.333185	0.074567	0.190632	0.401616	0.333185	0.074567	0.190632	0.178737	0.379352	0.094851	0.347061	0.401219	0.390516	0.056898	0.151367	0.279492	0.273384	0.211225	0.235899	0.279492	0.273384	0.211225	0.235899	0.401219	0.390516	0.056898	0.151367	0.178737	0.379352	0.094851	0.347061	0.401219	0.390516	0.056898	0.151367	
4196000	0.485809	3	0.388921	0.341229	0.082584	0.187266	0.388921	0.341229	0.082584	0.187266	0.256632	0.264136	0.188701	0.290530	0.396470	0.406881	0.051145	0.145504	0.256632	0.264136	0.188701	0.290530	0.256632	0.264136	0.188701	0.290530	0.396470	0.406881	0.051145	0.145504	0.256632	0.264136	0.188701	0.290530	0.396470	0.406881	0.051145	0.145504	
4197000	0.907552	3	0.404218	0.346752	0.074170	0.174860	0.404218	0.346752	0.074170	0.174860	0.240472	0.311210	0.178621	0.269697	0.396470	0.406881	0.051145	0.145504	0.240472	0.311210	0.178621	0.269697	0.240472	0.311210	0.178621	0.269697	0.396470	0.406881	0.051145	0.145504	0.240472	0.311210	0.178621	0.269697	0.396470	0.406881	0.051145	0.145504	
4198000	3.285950	4	0.386090	0.347510	0.077142	0.189258	0.386090	0.347510	0.077142	0.189258	0.178520	0.373324	0.133768	0.314388	0.396470	0.406881	0.051145	0.145504	0.285144	0.259598	0.169940	0.285319	0.285144	0.259598	0.169940	0.285319	0.396470	0.406881	0.051145	0.145504	0.178520	0.373324	0.133768	0.314388	0.396470	0.406881	0.051145	0.145504	
4199000	0.544210	3	0.386090	0.347510	0.077142	0.189258	0.386090	0.347510	0.077142	0.189258	0.205266	0.322022	0.168838	0.303873	0.396470	0.406881	0.051145	0.145504	0.205266	0.322022	0.168838	0.303873	0.205266	0.322022	0.168838	0.303873	0.396470	0.406881	0.051145	0.145504	0.205266	0.322022	0.168838	0.303873	0.396470	0.406881	0.051145	0.145504	
4200000	2.124757	3	0.386090	0.347510	0.077142	0.189258	0.386090	0.347510	0.077142	0.189258	0.259459	0.264579	0.187829	0.288133	0.396470	0.406881	0.051145	0.145504	0.259459	0.264579	0.187829	0.288133	0.259459	0.264579	0.187829	0.288133	0.396470	0.406881	0.051145	0.145504	0.259459	0.264579	0.187829	0.288133	0.396470	0.406881	0.051145	0.145504	
4201000	4.788892	3	0.400157	0.318812	0.076260	0.204771	0.400157	0.318812	0.076260	0.204771	0.261499	0.261320	0.189241	0.287939	0.396470	0.406881	0.051145	0.145504	0.261499	0.261320	0.189241	0.287939	0.261499	0.261320	0.189241	0.287939	0.396470	0.406881	0.051145	0.145504	0.261499	0.261320	0.189241	0.287939	0.396470	0.406881	0.051145	0.145504	
4202000	0.938350	2	0.388101	0.405107	0.062437	0.144355	0.388101	0.405107	0.062437	0.144355	0.288510	0.256601	0.184036	0.270854	0.388101	0.405107	0.062437	0.144355	0.288510	0.256601	0.184036	0.270854	0.288510	0.256601	0.184036	0.270854	0.388101	0.405107	0.062437	0.144355	0.288510	0.256601	0.184036	0.270854	0.388101	0.405107	0.062437	0.144355	
4203000	0.614195	3	0.388101	0.405107	0.062437	0.144355	0.388101	0.405107	0.062437	0.144355	0.193831	0.348970	0.152068	0.305130	0.388101	0.405107	0.062437	0.144355	0.283937	0.243467	0.206810	0.265787	0.283937	0.243467	0.206810	0.265787	0.388101	0.405107	0.062437	0.144355	0.193831	0.348970	0.152068	0.305130	0.388101	0.405107	0.062437	0.144355	
4204000	1.615275	4	0.396050	0.358756	0.079414	0.165780	0.396050	0.358756	0.079414	0.165780	0.098037	0.344803	0.145369	0.411791	0.393214	0.417064	0.051824	0.137898	0.332542	0.200382	0.228300	0.238776	0.332542	0.200382	0.228300	0.238776	0.393214	0.417064	0.051824	0.137898	0.098037	0.344803	0.145369	0.411791	0.393214	0.417064	0.051824	0.137898	
4205000	0.765686	4	0.456477	0.278286	0.077613	0.187624	0.456477	0.278286	0.077613	0.187624	0.161252	0.337282	0.147806	0.353660	0.393214	0.417064	0.051824	0.137898	0.268891	0.242367	0.200168	0.288573	0.268891	0.242367	0.200168	0.288573	0.393214	0.417064	0.051824	0.137898	0.161252	0.337282	0.147806	0.353660	0.393214	0.417064	0.051824	0.137898	
4206000	0.343032	4	0.418350	0.317154	0.075051	0.189444	0.418350	0.317154	0.075051	0.189444	0.179862	0.293884	0.146310	0.379943	0.393214	0.417064	0.051824	0.137898	0.262760	0.264646	0.197044	0.275549	0.262760	0.264646	0.197044	0.275549	0.393214	0.417064	0.051824	0.137898	0.262760	0.264646	0.197044	0.275549	0.393214	0.417064	0.051824	0.137898	
4207000	0.762691	3	0.398098	0.359359	0.069647	0.172896	0.398098	0.359359	0.069647	0.172896	0.276263	0.249875	0.187730	0.286132	0.393214	0.417064	0.051824	0.137898	0.276263	0.249875	0.187730	0.286132	0.276263	0.249875	0.187730	0.286132	0.393214	0.417064	0.051824	0.137898	0.276263	0.249875	0.187730	0.286132	0.393214	0.417064	0.051824	0.137898	
4208000	1.519954	4	0.398098	0.359359	0.069647	0.172896	0.398098	0.359359	0.069647	0.172896	0.276263	0.249875	0.187730	0.286132	0.393214	0.417064	0.051824	0.137898	0.242943	0.350862	0.220443	0.185752	0.276263	0.249875	0.187730	0.286132	0.393214	0.417064	0.051824	0.137898	0.276263	0.249875	0.187730	0.286132	0.393214	0.417064	0.051824	0.137898	
