Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
84000	0.684917	2	7.807985	7.807985	7.807985	51.129888	7.807985	7.807985	7.807985	7.807985	51.129888	
85000	0.384660	2	7.523829	7.523829	7.523829	48.673780	7.523829	7.523829	7.523829	7.523829	48.673780	
86000	0.946008	2	7.506064	7.506064	7.506064	47.301596	7.506064	7.506064	7.506064	7.506064	47.301596	
87000	0.370579	2	8.035060	8.035060	8.035060	47.396879	8.035060	8.035060	8.035060	8.035060	47.396879	
88000	1.641321	2	7.115726	7.115726	7.115726	49.340648	7.115726	7.115726	7.115726	7.115726	49.340648	
89000	0.705835	2	7.586468	7.586468	7.586468	49.430148	7.586468	7.586468	7.586468	7.586468	49.430148	
90000	1.745732	2	7.139014	7.139014	7.139014	50.128437	7.139014	7.139014	7.139014	7.139014	50.128437	
91000	1.774938	2	7.544632	7.544632	7.544632	49.289206	7.544632	7.544632	7.544632	7.544632	49.289206	
92000	0.205762	2	7.863676	7.863676	7.863676	49.660201	7.863676	7.863676	7.863676	7.863676	49.660201	
93000	1.200967	2	7.923315	7.923315	7.923315	49.516508	7.923315	7.923315	7.923315	7.923315	49.516508	
94000	0.297358	2	8.039902	8.039902	8.039902	52.213595	8.039902	8.039902	8.039902	8.039902	52.213595	
95000	0.484306	2	8.160974	8.160974	8.160974	50.772884	8.160974	8.160974	8.160974	8.160974	50.772884	
96000	0.239399	2	8.016667	8.016667	8.016667	50.049689	8.016667	8.016667	8.016667	8.016667	50.049689	
97000	1.274507	2	8.068792	8.068792	8.068792	50.639544	8.068792	8.068792	8.068792	8.068792	50.639544	
98000	2.271258	2	7.938166	7.938166	7.938166	50.618663	7.938166	7.938166	7.938166	7.938166	50.618663	
99000	0.576442	2	7.983241	7.983241	7.983241	49.440482	7.983241	7.983241	7.983241	7.983241	49.440482	
100000	2.512620	2	8.032190	8.032190	8.032190	51.713718	8.032190	8.032190	8.032190	8.032190	51.713718	
101000	1.048027	2	7.812738	7.812738	7.812738	52.313856	7.812738	7.812738	7.812738	7.812738	52.313856	
102000	0.623251	2	7.640027	7.640027	7.640027	51.262507	7.640027	7.640027	7.640027	7.640027	51.262507	
103000	0.505703	2	7.813635	7.813635	7.813635	50.147583	7.813635	7.813635	7.813635	7.813635	50.147583	
104000	0.802942	2	8.295073	8.295073	8.295073	51.056416	8.295073	8.295073	8.295073	8.295073	51.056416	
105000	3.780957	2	7.946776	7.946776	7.946776	51.032463	7.946776	7.946776	7.946776	7.946776	51.032463	
106000	1.449511	2	7.175630	7.175630	7.175630	50.541817	7.175630	7.175630	7.175630	7.175630	50.541817	
107000	2.808811	2	7.795481	7.795481	7.795481	49.058336	7.795481	7.795481	7.795481	7.795481	49.058336	
108000	1.007177	2	7.916666	7.916666	7.916666	49.769825	7.916666	7.916666	7.916666	7.916666	49.769825	
109000	1.441819	2	7.685909	7.685909	7.685909	49.711934	7.685909	7.685909	7.685909	7.685909	49.711934	
110000	0.994697	2	7.890763	7.890763	7.890763	48.646019	7.890763	7.890763	7.890763	7.890763	48.646019	
111000	0.398247	2	8.367418	8.367418	8.367418	51.889724	8.367418	8.367418	8.367418	8.367418	51.889724	
112000	1.256442	2	7.949924	7.949924	7.949924	49.877133	7.949924	7.949924	7.949924	7.949924	49.877133	
113000	0.155561	2	7.970008	7.970008	7.970008	52.269815	7.970008	7.970008	7.970008	7.970008	52.269815	
114000	0.739474	2	8.170105	8.170105	8.170105	50.686513	8.170105	8.170105	8.170105	8.170105	50.686513	
115000	2.253449	2	8.200747	8.200747	8.200747	49.681250	8.200747	8.200747	8.200747	8.200747	49.681250	
116000	2.034530	2	8.390850	8.390850	8.390850	49.337780	8.390850	8.390850	8.390850	8.390850	49.337780	
117000	0.711752	2	8.577195	8.577195	8.577195	51.414434	8.577195	8.577195	8.577195	8.577195	51.414434	
118000	1.416067	2	7.763075	7.763075	7.763075	50.137121	7.763075	7.763075	7.763075	7.763075	50.137121	
119000	2.506288	2	7.831608	7.831608	7.831608	51.065999	7.831608	7.831608	7.831608	7.831608	51.065999	
120000	1.448973	2	8.170125	8.170125	8.170125	52.343985	8.170125	8.170125	8.170125	8.170125	52.343985	
121000	0.465200	2	8.495249	8.495249	8.495249	51.202733	8.495249	8.495249	8.495249	8.495249	51.202733	
122000	1.679282	2	8.179888	8.179888	8.179888	49.616563	8.179888	8.179888	8.179888	8.179888	49.616563	
123000	1.269915	2	8.235513	8.235513	8.235513	51.027622	8.235513	8.235513	8.235513	8.235513	51.027622	
124000	0.476088	2	8.403779	8.403779	8.403779	51.464141	8.403779	8.403779	8.403779	8.403779	51.464141	
125000	1.897620	2	7.764716	7.764716	7.764716	51.365163	7.764716	7.764716	7.764716	7.764716	51.365163	
126000	1.041431	2	8.323198	8.323198	8.323198	50.290594	8.323198	8.323198	8.323198	8.323198	50.290594	
127000	0.950164	2	8.135699	8.135699	8.135699	52.032097	8.135699	8.135699	8.135699	8.135699	52.032097	
128000	0.687684	2	7.971806	7.971806	7.971806	48.659554	7.971806	7.971806	7.971806	7.971806	48.659554	
129000	1.929768	2	8.185092	8.185092	8.185092	50.760274	8.185092	8.185092	8.185092	8.185092	50.760274	
130000	0.738813	2	7.787209	7.787209	7.787209	49.669537	7.787209	7.787209	7.787209	7.787209	49.669537	
131000	1.973456	2	7.514820	7.514820	7.514820	48.948412	7.514820	7.514820	7.514820	7.514820	48.948412	
132000	0.455755	2	7.628151	7.628151	7.628151	49.934474	7.628151	7.628151	7.628151	7.628151	49.934474	
133000	1.303238	2	8.392851	8.392851	8.392851	50.527535	8.392851	8.392851	8.392851	8.392851	50.527535	
134000	0.838982	2	8.595037	8.595037	8.595037	49.885721	8.595037	8.595037	8.595037	8.595037	49.885721	
135000	0.882128	2	7.999372	7.999372	7.999372	52.279609	7.999372	7.999372	7.999372	7.999372	52.279609	
136000	0.399925	2	8.028364	8.028364	8.028364	49.725489	8.028364	8.028364	8.028364	8.028364	49.725489	
137000	0.740809	2	7.723876	7.723876	7.723876	49.508500	7.723876	7.723876	7.723876	7.723876	49.508500	
138000	1.422857	2	8.540156	8.540156	8.540156	49.703730	8.540156	8.540156	8.540156	8.540156	49.703730	
139000	0.684807	2	7.899758	7.899758	7.899758	51.727440	7.899758	7.899758	7.899758	7.899758	51.727440	
140000	1.302696	2	7.660022	7.660022	7.660022	51.094922	7.660022	7.660022	7.660022	7.660022	51.094922	
141000	0.447455	2	7.030232	7.030232	7.030232	49.115561	7.030232	7.030232	7.030232	7.030232	49.115561	
142000	1.036315	2	7.691818	7.691818	7.691818	51.009520	7.691818	7.691818	7.691818	7.691818	51.009520	
143000	0.779870	2	7.681803	7.681803	7.681803	49.301875	7.681803	7.681803	7.681803	7.681803	49.301875	
144000	0.249652	2	7.831663	7.831663	7.831663	51.638000	7.831663	7.831663	7.831663	7.831663	51.638000	
145000	0.577586	2	7.751806	7.751806	7.751806	49.427836	7.751806	7.751806	7.751806	7.751806	49.427836	
146000	1.285640	2	7.825771	7.825771	7.825771	49.741739	7.825771	7.825771	7.825771	7.825771	49.741739	
147000	1.767946	2	8.213331	8.213331	8.213331	49.180502	8.213331	8.213331	8.213331	8.213331	49.180502	
148000	2.635002	2	7.596887	7.596887	7.596887	50.184791	7.596887	7.596887	7.596887	7.596887	50.184791	
149000	1.316101	2	7.797758	7.797758	7.797758	50.121610	7.797758	7.797758	7.797758	7.797758	50.121610	
150000	3.157439	2	7.974508	7.974508	7.974508	48.503249	7.974508	7.974508	7.974508	7.974508	48.503249	
151000	1.960606	2	7.554978	7.554978	7.554978	50.150192	7.554978	7.554978	7.554978	7.554978	50.150192	
152000	0.722300	2	7.651073	7.651073	7.651073	50.344372	7.651073	7.651073	7.651073	7.651073	50.344372	
153000	1.542547	2	7.286280	7.286280	7.286280	51.191057	7.286280	7.286280	7.286280	7.286280	51.191057	
154000	1.476728	2	7.995528	7.995528	7.995528	49.401978	7.995528	7.995528	7.995528	7.995528	49.401978	
155000	1.417350	2	7.656800	7.656800	7.656800	49.014049	7.656800	7.656800	7.656800	7.656800	49.014049	
156000	1.496917	2	8.634357	8.634357	8.634357	49.429022	8.634357	8.634357	8.634357	8.634357	49.429022	
157000	1.874000	2	8.083099	8.083099	8.083099	50.103955	8.083099	8.083099	8.083099	8.083099	50.103955	
158000	2.528499	2	7.912755	7.912755	7.912755	49.856985	7.912755	7.912755	7.912755	7.912755	49.856985	
159000	0.814858	2	7.663668	7.663668	7.663668	50.090967	7.663668	7.663668	7.663668	7.663668	50.090967	
160000	1.962170	2	7.260456	7.260456	7.260456	48.482956	7.260456	7.260456	7.260456	7.260456	48.482956	
161000	1.432760	2	7.270325	7.270325	7.270325	50.304504	7.270325	7.270325	7.270325	7.270325	50.304504	
162000	1.996247	2	7.417932	7.417932	7.417932	48.690604	7.417932	7.417932	7.417932	7.417932	48.690604	
163000	0.629923	2	7.435630	7.435630	7.435630	50.293998	7.435630	7.435630	7.435630	7.435630	50.293998	
164000	0.142460	2	7.575443	7.575443	7.575443	48.184542	7.575443	7.575443	7.575443	7.575443	48.184542	
165000	0.975607	2	7.517086	7.517086	7.517086	50.350747	7.517086	7.517086	7.517086	7.517086	50.350747	
166000	2.460708	2	7.251011	7.251011	7.251011	49.328121	7.251011	7.251011	7.251011	7.251011	49.328121	
167000	0.761083	2	8.100812	8.100812	8.100812	52.404900	8.100812	8.100812	8.100812	8.100812	52.404900	
168000	1.312913	2	8.459008	8.459008	8.459008	49.768380	8.459008	8.459008	8.459008	8.459008	49.768380	
169000	0.586636	2	8.474742	8.474742	8.474742	48.365537	8.474742	8.474742	8.474742	8.474742	48.365537	
170000	0.570203	2	7.495141	7.495141	7.495141	49.080543	7.495141	7.495141	7.495141	7.495141	49.080543	
171000	1.125871	2	7.801473	7.801473	7.801473	51.281331	7.801473	7.801473	7.801473	7.801473	51.281331	
172000	0.719974	2	7.748180	7.748180	7.748180	50.248043	7.748180	7.748180	7.748180	7.748180	50.248043	
173000	0.506644	2	7.831683	7.831683	7.831683	49.576569	7.831683	7.831683	7.831683	7.831683	49.576569	
174000	0.728653	2	7.824295	7.824295	7.824295	48.174245	7.824295	7.824295	7.824295	7.824295	48.174245	
