Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
94000	1.137478	2	7.302130	7.302130	7.302130	46.660684	7.302130	7.302130	7.302130	7.302130	46.660684	
95000	1.137478	2	7.365596	7.365596	7.365596	47.070622	7.365596	7.365596	7.365596	7.365596	47.070622	
96000	1.137478	2	7.376588	7.376588	7.376588	46.577749	7.376588	7.376588	7.376588	7.376588	46.577749	
97000	1.137478	2	7.251370	7.251370	7.251370	44.816483	7.251370	7.251370	7.251370	7.251370	44.816483	
98000	1.137478	2	7.316046	7.316046	7.316046	46.040005	7.316046	7.316046	7.316046	7.316046	46.040005	
99000	1.137478	2	7.748701	7.748701	7.748701	46.366460	7.748701	7.748701	7.748701	7.748701	46.366460	
100000	1.137478	2	7.284869	7.284869	7.284869	44.883746	7.284869	7.284869	7.284869	7.284869	44.883746	
101000	1.137478	2	7.971506	7.971506	7.971506	45.924759	7.971506	7.971506	7.971506	7.971506	45.924759	
102000	1.137478	2	7.568464	7.568464	7.568464	47.593309	7.568464	7.568464	7.568464	7.568464	47.593309	
103000	1.137478	2	7.169425	7.169425	7.169425	48.183370	7.169425	7.169425	7.169425	7.169425	48.183370	
104000	1.137478	2	7.836495	7.836495	7.836495	46.970409	7.836495	7.836495	7.836495	7.836495	46.970409	
105000	1.137478	2	7.335797	7.335797	7.335797	45.386185	7.335797	7.335797	7.335797	7.335797	45.386185	
106000	1.137478	2	6.906034	6.906034	6.906034	49.173796	6.906034	6.906034	6.906034	6.906034	49.173796	
107000	1.137478	2	6.786346	6.786346	6.786346	44.623573	6.786346	6.786346	6.786346	6.786346	44.623573	
108000	1.137478	2	7.349661	7.349661	7.349661	47.615148	7.349661	7.349661	7.349661	7.349661	47.615148	
109000	1.137478	2	7.240414	7.240414	7.240414	45.742199	7.240414	7.240414	7.240414	7.240414	45.742199	
110000	1.137478	2	7.171383	7.171383	7.171383	47.138882	7.171383	7.171383	7.171383	7.171383	47.138882	
111000	1.137478	2	6.819063	6.819063	6.819063	46.269360	6.819063	6.819063	6.819063	6.819063	46.269360	
112000	1.137478	2	6.803814	6.803814	6.803814	45.927532	6.803814	6.803814	6.803814	6.803814	45.927532	
113000	1.137478	2	6.997234	6.997234	6.997234	46.288768	6.997234	6.997234	6.997234	6.997234	46.288768	
114000	1.137478	2	6.846925	6.846925	6.846925	47.524881	6.846925	6.846925	6.846925	6.846925	47.524881	
115000	1.137478	2	6.975744	6.975744	6.975744	47.885188	6.975744	6.975744	6.975744	6.975744	47.885188	
116000	1.137478	2	7.210013	7.210013	7.210013	47.916739	7.210013	7.210013	7.210013	7.210013	47.916739	
117000	1.137478	2	7.005653	7.005653	7.005653	47.287763	7.005653	7.005653	7.005653	7.005653	47.287763	
118000	1.137478	2	7.342151	7.342151	7.342151	46.860926	7.342151	7.342151	7.342151	7.342151	46.860926	
119000	1.137478	2	7.840401	7.840401	7.840401	48.629029	7.840401	7.840401	7.840401	7.840401	48.629029	
120000	1.137478	2	7.427431	7.427431	7.427431	46.033239	7.427431	7.427431	7.427431	7.427431	46.033239	
121000	1.137478	2	7.208146	7.208146	7.208146	44.296159	7.208146	7.208146	7.208146	7.208146	44.296159	
122000	1.137478	2	6.824567	6.824567	6.824567	44.761325	6.824567	6.824567	6.824567	6.824567	44.761325	
123000	1.137478	2	7.173950	7.173950	7.173950	48.626287	7.173950	7.173950	7.173950	7.173950	48.626287	
124000	1.137478	2	7.474782	7.474782	7.474782	47.201518	7.474782	7.474782	7.474782	7.474782	47.201518	
125000	1.137478	2	7.407557	7.407557	7.407557	46.572945	7.407557	7.407557	7.407557	7.407557	46.572945	
126000	1.137478	2	7.384478	7.384478	7.384478	47.906568	7.384478	7.384478	7.384478	7.384478	47.906568	
127000	1.137478	2	7.190354	7.190354	7.190354	46.767640	7.190354	7.190354	7.190354	7.190354	46.767640	
128000	1.137478	2	7.893427	7.893427	7.893427	47.091463	7.893427	7.893427	7.893427	7.893427	47.091463	
129000	1.137478	2	7.062507	7.062507	7.062507	47.903863	7.062507	7.062507	7.062507	7.062507	47.903863	
130000	1.137478	2	7.198840	7.198840	7.198840	47.466995	7.198840	7.198840	7.198840	7.198840	47.466995	
131000	1.137478	2	7.194974	7.194974	7.194974	47.548015	7.194974	7.194974	7.194974	7.194974	47.548015	
132000	1.137478	2	7.130904	7.130904	7.130904	47.509415	7.130904	7.130904	7.130904	7.130904	47.509415	
133000	1.137478	2	7.196917	7.196917	7.196917	47.356147	7.196917	7.196917	7.196917	7.196917	47.356147	
134000	1.137478	2	8.045799	8.045799	8.045799	45.877898	8.045799	8.045799	8.045799	8.045799	45.877898	
135000	1.137478	2	7.500914	7.500914	7.500914	47.646327	7.500914	7.500914	7.500914	7.500914	47.646327	
