Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
735000	1.137478	4	0.247353	0.247353	0.247353	2.856233	0.478134	0.478134	0.247353	0.247353	2.252109	
736000	1.137478	4	0.243328	0.243328	0.243328	2.266510	0.449096	0.489545	0.243328	0.243328	2.266510	
737000	1.137478	5	0.263806	0.263806	0.263806	3.210584	0.508516	0.534805	0.225360	0.225360	3.210584	
738000	1.137478	3	0.247090	0.247090	0.247090	2.978348	0.439082	0.439082	0.247090	0.247090	2.978348	
739000	1.137478	6	0.225731	0.225731	0.257550	3.043573	0.493546	0.539528	0.225731	0.200660	3.043573	
740000	1.137478	6	0.221428	0.237814	0.221428	2.270708	0.323025	0.635314	0.221428	0.216699	2.270708	
741000	1.137478	4	0.265719	0.265719	0.265719	2.908316	0.278930	0.994618	0.278930	0.265719	2.908316	
742000	1.137478	4	0.233693	0.233693	0.233693	2.606810	0.458226	0.554881	0.233693	0.233693	2.606810	
743000	1.137478	4	0.231774	0.231774	0.231774	2.367145	0.396467	0.396467	0.231774	0.179090	2.367145	
744000	1.137478	4	0.229253	0.229253	0.229253	3.086251	0.431730	0.431730	0.229253	0.144278	3.086251	
745000	1.137478	3	0.232001	0.232001	0.232001	2.762395	0.395163	0.395163	0.232001	0.232001	2.762395	
746000	1.137478	3	0.249762	0.249762	0.249762	2.849264	0.561717	0.561717	0.249762	0.249762	2.849264	
747000	1.137478	5	0.237117	0.237117	0.237117	2.250502	0.400682	0.690088	0.237117	0.165241	2.250502	
748000	1.137478	4	0.235940	0.235940	0.235940	2.559973	0.505864	0.505864	0.235940	0.176931	2.559973	
749000	1.137478	4	0.266539	0.266539	0.226257	2.888918	0.476521	0.476521	0.226257	0.226257	2.888918	
750000	1.137478	3	0.246008	0.246008	0.246008	2.809299	0.471550	0.471550	0.246008	0.246008	2.809299	
751000	1.137478	4	0.250677	0.250677	0.250677	2.907062	0.369097	0.369097	0.250677	0.204630	2.907062	
752000	1.137478	4	0.236831	0.236831	0.236831	2.455413	0.421569	0.562433	0.236831	0.236831	2.455413	
753000	1.137478	4	0.245848	0.245848	0.245848	2.815770	0.671061	0.671061	0.245848	0.129255	2.815770	
754000	1.137478	3	0.236508	0.236508	0.236508	2.922631	0.487616	0.487616	0.236508	0.236508	2.922631	
755000	1.137478	5	0.258281	0.258281	0.258281	2.685176	0.448678	0.448678	0.254873	0.225750	2.685176	
756000	1.137478	3	0.260584	0.260584	0.260584	2.594600	0.494632	0.494632	0.260584	0.260584	2.594600	
757000	1.137478	3	0.238883	0.238883	0.238883	3.018589	0.477926	0.477926	0.238883	0.238883	3.018589	
758000	1.137478	4	0.252671	0.252671	0.252671	2.997533	0.487562	0.487562	0.252671	0.155467	2.997533	
759000	1.137478	3	0.235811	0.235811	0.235811	1.957034	0.506305	0.506305	0.235811	0.235811	1.957034	
760000	1.137478	4	0.241115	0.241115	0.241115	3.055549	0.518423	0.518423	0.221712	0.221712	3.055549	
761000	1.137478	5	0.270443	0.270443	0.241968	2.356884	0.270443	0.548899	0.241968	0.199179	2.356884	
762000	1.137478	5	0.233807	0.233807	0.233807	2.496277	0.472055	0.547099	0.233807	0.160837	2.496277	
763000	1.137478	6	0.245853	0.258752	0.245853	2.703955	0.416837	0.511334	0.245853	0.190887	2.703955	
764000	1.137478	3	0.240975	0.240975	0.240975	2.780615	0.490949	0.490949	0.240975	0.240975	2.780615	
765000	1.137478	4	0.259507	0.259507	0.259507	3.005716	0.491189	0.491189	0.259507	0.173686	3.005716	
766000	1.137478	3	0.248870	0.248870	0.248870	2.407576	0.440429	0.440429	0.248870	0.248870	2.407576	
767000	1.137478	4	0.240363	0.240629	0.240629	2.381104	0.415290	0.415290	0.240629	0.240629	2.381104	
768000	1.137478	4	0.253670	0.253670	0.253670	3.426049	0.475930	0.475930	0.253670	0.201253	3.426049	
769000	1.137478	4	0.222585	0.240316	0.240316	3.016273	0.463235	0.463235	0.222585	0.222585	3.016273	
770000	1.137478	3	0.245378	0.245378	0.245378	2.712046	0.352002	0.352002	0.245378	0.245378	2.712046	
771000	1.137478	3	0.233437	0.233437	0.233437	2.607147	0.399561	0.399561	0.233437	0.233437	2.607147	
772000	1.137478	3	0.240004	0.240004	0.240004	2.800401	0.386941	0.386941	0.240004	0.240004	2.800401	
773000	1.137478	3	0.235943	0.235943	0.235943	2.046471	0.441638	0.441638	0.235943	0.235943	2.046471	
774000	1.137478	6	0.255707	0.279056	0.255707	2.804193	0.412429	0.463876	0.255707	0.143037	2.804193	
775000	1.137478	4	0.246034	0.246034	0.246034	2.880207	0.545794	0.545794	0.283314	0.246034	2.880207	
776000	1.137478	4	0.246348	0.234398	0.246348	2.992953	0.490561	0.490561	0.234398	0.234398	2.992953	
777000	1.137478	3	0.239828	0.239828	0.239828	2.553087	0.531301	0.531301	0.239828	0.239828	2.553087	
778000	1.137478	4	0.258288	0.258288	0.258288	2.816362	0.464314	0.464314	0.258288	0.120239	2.816362	
779000	1.137478	4	0.239464	0.239464	0.239464	3.066224	0.443514	0.443514	0.239464	0.239464	2.145873	
780000	1.137478	3	0.256093	0.256093	0.256093	2.884600	0.417648	0.417648	0.256093	0.256093	2.884600	
781000	1.137478	4	0.232682	0.232682	0.232682	2.905902	0.415991	0.422090	0.232682	0.232682	2.905902	
782000	1.137478	5	0.222891	0.222891	0.241119	2.591833	0.463092	0.525536	0.222891	0.222891	2.591833	
783000	1.137478	3	0.238274	0.238274	0.238274	2.712528	0.441847	0.441847	0.238274	0.238274	2.712528	
784000	1.137478	5	0.282112	0.282112	0.282112	2.961280	0.444559	0.444559	0.228428	0.182693	2.961280	
785000	1.137478	3	0.236087	0.236087	0.236087	3.164993	0.542933	0.542933	0.236087	0.236087	3.164993	
786000	1.137478	4	0.240780	0.240780	0.240780	2.322151	0.529980	0.529980	0.240780	0.206200	2.322151	
787000	1.137478	3	0.253148	0.253148	0.253148	2.450148	0.476621	0.476621	0.253148	0.253148	2.450148	
788000	1.137478	4	0.226802	0.226802	0.226802	2.631279	0.463724	0.463724	0.246499	0.226802	2.631279	
789000	1.137478	5	0.241869	0.232448	0.232448	3.094161	0.592509	0.592509	0.232448	0.130259	3.094161	
790000	1.137478	4	0.252546	0.252546	0.252546	2.703196	0.448866	0.448866	0.252546	0.151560	2.703196	
791000	1.137478	5	0.239341	0.239341	0.239341	3.151565	0.408088	0.477099	0.239341	0.173975	3.151565	
792000	1.137478	3	0.234645	0.234645	0.234645	2.117986	0.365111	0.365111	0.234645	0.234645	2.117986	
793000	1.137478	4	0.258083	0.258083	0.258083	3.070553	0.429738	0.429738	0.233051	0.233051	3.070553	
794000	1.137478	3	0.244672	0.244672	0.244672	2.652577	0.453132	0.453132	0.244672	0.244672	2.652577	
795000	1.137478	4	0.237834	0.237834	0.237834	1.875894	0.465782	0.465782	0.237834	0.140872	1.875894	
796000	1.137478	3	0.251234	0.251234	0.251234	3.122503	0.349550	0.349550	0.251234	0.251234	3.122503	
797000	1.137478	3	0.233512	0.233512	0.233512	2.825837	0.535995	0.535995	0.233512	0.233512	2.825837	
798000	1.137478	3	0.245067	0.245067	0.245067	2.748012	0.388420	0.388420	0.245067	0.245067	2.748012	
799000	1.137478	3	0.241986	0.241986	0.241986	3.097388	0.501228	0.501228	0.241986	0.241986	3.097388	
800000	1.137478	4	0.247435	0.247435	0.247435	2.524322	0.401753	0.559177	0.247435	0.247435	2.524322	
801000	1.137478	4	0.239438	0.239438	0.239438	2.498433	0.595249	0.491934	0.239438	0.239438	2.498433	
802000	1.137478	3	0.249046	0.249046	0.249046	3.083698	0.492269	0.492269	0.249046	0.249046	3.083698	
803000	1.137478	3	0.229141	0.229141	0.229141	2.919323	0.428524	0.428524	0.229141	0.229141	2.919323	
804000	1.137478	5	0.231248	0.231248	0.231248	3.050324	0.397242	0.563970	0.231248	0.231248	2.505640	
805000	1.137478	5	0.259373	0.259373	0.238631	2.845084	0.389854	0.431991	0.238631	0.259373	2.845084	
806000	1.137478	3	0.243533	0.243533	0.243533	2.440916	0.502581	0.502581	0.243533	0.243533	2.440916	
807000	1.137478	3	0.255144	0.255144	0.255144	2.543676	0.522976	0.522976	0.255144	0.255144	2.543676	
808000	1.137478	3	0.236619	0.236619	0.236619	2.791640	0.533632	0.533632	0.236619	0.236619	2.791640	
809000	1.137478	4	0.253455	0.253455	0.253455	2.328945	0.429535	0.541834	0.253455	0.253455	2.328945	
810000	1.137478	6	0.238701	0.238701	0.261348	2.581020	0.419698	0.420508	0.238701	0.238701	2.285827	
811000	1.137478	4	0.233918	0.233918	0.233918	3.015486	0.359020	0.480756	0.233918	0.233918	3.015486	
812000	1.137478	3	0.245013	0.245013	0.245013	2.840910	0.533602	0.533602	0.245013	0.245013	2.840910	
813000	1.137478	6	0.249967	0.249967	0.249967	3.096944	0.457560	0.574373	0.249967	0.130568	2.525834	
814000	1.137478	4	0.245012	0.245012	0.245012	2.624674	0.463217	0.555075	0.245012	0.245012	2.624674	
815000	1.137478	4	0.244453	0.244453	0.244453	2.653285	0.505178	0.505178	0.244453	0.147796	2.653285	
816000	1.137478	4	0.252225	0.252225	0.252225	2.557821	0.462217	0.462217	0.252225	0.206089	2.557821	
817000	1.137478	5	0.257899	0.247682	0.247682	2.396704	0.506970	0.506970	0.247682	0.240948	2.396704	
818000	1.137478	3	0.239286	0.239286	0.239286	2.923040	0.467482	0.467482	0.239286	0.239286	2.923040	
819000	1.137478	3	0.257427	0.257427	0.257427	2.649549	0.434976	0.434976	0.257427	0.257427	2.649549	
