Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
6029000	1.137478	5	0.235215	0.235215	0.243360	1.932769	0.576376	0.576376	0.243360	0.168637	1.932769	
6030000	1.137478	3	0.238722	0.238722	0.238722	3.019681	0.583462	0.583462	0.238722	0.238722	3.019681	
6031000	1.137478	3	0.231637	0.231637	0.231637	2.659365	0.538510	0.538510	0.231637	0.231637	2.659365	
6032000	1.137478	4	0.239066	0.239066	0.239066	2.550946	0.495731	0.495731	0.239066	0.150083	2.550946	
6033000	1.137478	3	0.251050	0.251050	0.251050	2.431308	0.486330	0.486330	0.251050	0.251050	2.431308	
6034000	1.137478	3	0.253088	0.253088	0.253088	2.474855	0.504345	0.504345	0.253088	0.253088	2.474855	
6035000	1.137478	4	0.228824	0.228824	0.228824	2.783471	0.474600	0.474600	0.228824	0.164787	2.783471	
6036000	1.137478	4	0.242197	0.242197	0.242197	2.633045	0.399495	0.399495	0.242197	0.171194	2.633045	
6037000	1.137478	3	0.240025	0.240025	0.240025	2.615900	0.427840	0.427840	0.240025	0.240025	2.615900	
6038000	1.137478	3	0.244834	0.244834	0.244834	2.940070	0.694712	0.694712	0.244834	0.244834	2.940070	
6039000	1.137478	5	0.234604	0.234604	0.234604	2.604389	0.388689	0.414497	0.234604	0.197141	2.604389	
6040000	1.137478	4	0.238170	0.238170	0.238170	2.852920	0.477929	0.551870	0.238170	0.238170	2.852920	
6041000	1.137478	3	0.256697	0.256697	0.256697	2.787645	0.488865	0.488865	0.256697	0.256697	2.787645	
6042000	1.137478	4	0.252931	0.252931	0.252931	2.839940	0.522511	0.522511	0.252931	0.126778	2.839940	
6043000	1.137478	3	0.236853	0.236853	0.236853	2.665211	0.432057	0.432057	0.236853	0.236853	2.665211	
6044000	1.137478	5	0.247100	0.247100	0.247100	2.326189	0.355637	0.587592	0.247100	0.204612	2.326189	
6045000	1.137478	5	0.237790	0.243211	0.243211	2.595527	0.487433	0.487433	0.243211	0.181125	2.595527	
6046000	1.137478	4	0.252543	0.252543	0.252543	3.054416	0.459818	0.459818	0.252543	0.200669	3.054416	
6047000	1.137478	3	0.237565	0.237565	0.237565	2.541503	0.470543	0.470543	0.237565	0.237565	2.541503	
6048000	1.137478	4	0.221509	0.221509	0.221509	2.723547	0.436700	0.573967	0.221509	0.221509	2.723547	
6049000	1.137478	3	0.250284	0.250284	0.250284	2.827710	0.435728	0.435728	0.250284	0.250284	2.827710	
6050000	1.137478	6	0.261304	0.261304	0.261304	2.727263	0.371568	0.462737	0.261304	0.216869	2.495575	
6051000	1.137478	4	0.250535	0.250535	0.250535	2.392428	0.437407	0.437407	0.250535	0.187930	2.392428	
6052000	1.137478	3	0.224995	0.224995	0.224995	2.690783	0.488237	0.488237	0.224995	0.224995	2.690783	
6053000	1.137478	4	0.226585	0.226585	0.226585	2.741891	0.351445	0.660738	0.226585	0.226585	2.741891	
6054000	1.137478	4	0.235784	0.235784	0.235784	2.502742	0.452633	0.571220	0.235784	0.235784	2.502742	
6055000	1.137478	4	0.242037	0.242037	0.242037	3.345139	0.347613	0.347613	0.242037	0.242037	1.837207	
6056000	1.137478	4	0.245389	0.245389	0.245389	2.602387	0.559096	0.559096	0.223443	0.223443	2.602387	
6057000	1.137478	6	0.240355	0.261180	0.261180	2.787552	0.353246	0.648908	0.261180	0.175586	2.787552	
6058000	1.137478	3	0.243654	0.243654	0.243654	2.768270	0.408632	0.408632	0.243654	0.243654	2.768270	
6059000	1.137478	4	0.233523	0.233523	0.233523	2.808575	0.498407	0.498407	0.233523	0.150263	2.808575	
6060000	1.137478	4	0.257840	0.257840	0.226173	2.865919	0.446139	0.446139	0.257840	0.226173	2.865919	
6061000	1.137478	3	0.245518	0.245518	0.245518	2.357794	0.414102	0.414102	0.245518	0.245518	2.357794	
6062000	1.137478	3	0.252999	0.252999	0.252999	2.755620	0.557685	0.557685	0.252999	0.252999	2.755620	
6063000	1.137478	4	0.253988	0.253988	0.253988	2.829199	0.512775	0.584437	0.253988	0.253988	2.829199	
6064000	1.137478	4	0.242382	0.242382	0.242382	2.946540	0.447519	0.447519	0.242382	0.178694	2.946540	
6065000	1.137478	3	0.239080	0.239080	0.239080	2.964670	0.479056	0.479056	0.239080	0.239080	2.964670	
6066000	1.137478	4	0.240985	0.240985	0.240985	2.434953	0.503123	0.503123	0.240985	0.186171	2.434953	
6067000	1.137478	5	0.243255	0.243255	0.243255	2.740099	0.403149	0.611732	0.243255	0.170465	2.740099	
6068000	1.137478	5	0.242146	0.242146	0.242146	2.415084	0.426751	0.426751	0.242146	0.159510	1.861252	
6069000	1.137478	3	0.246654	0.246654	0.246654	2.534658	0.466984	0.466984	0.246654	0.246654	2.534658	
6070000	1.137478	4	0.258168	0.258168	0.258168	3.155679	0.449023	0.608454	0.258168	0.258168	3.155679	
6071000	1.137478	5	0.238277	0.238277	0.238277	2.709725	0.504807	0.569120	0.238277	0.238277	2.484119	
6072000	1.137478	3	0.255276	0.255276	0.255276	2.986303	0.563564	0.563564	0.255276	0.255276	2.986303	
6073000	1.137478	3	0.250070	0.250070	0.250070	2.416762	0.447886	0.447886	0.250070	0.250070	2.416762	
6074000	1.137478	5	0.254663	0.254663	0.254663	2.700539	0.457423	0.508510	0.254663	0.150520	2.700539	
6075000	1.137478	5	0.250765	0.234179	0.250765	2.849415	0.531637	0.531637	0.250765	0.182994	2.849415	
6076000	1.137478	5	0.244846	0.263772	0.244846	3.005681	0.457074	0.457074	0.244846	0.222936	3.005681	
6077000	1.137478	3	0.240251	0.240251	0.240251	2.910951	0.468106	0.468106	0.240251	0.240251	2.910951	
6078000	1.137478	3	0.229129	0.229129	0.229129	2.582248	0.438067	0.438067	0.229129	0.229129	2.582248	
