Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
9238000	1.137478	2	0.416806	0.386842	0.057377	0.138975	0.416806	0.386842	0.057377	0.138975	0.254672	0.271646	0.185407	0.288275	0.416806	0.386842	0.057377	0.138975	0.254672	0.271646	0.185407	0.288275	0.254672	0.271646	0.185407	0.288275	0.416806	0.386842	0.057377	0.138975	0.254672	0.271646	0.185407	0.288275	0.416806	0.386842	0.057377	0.138975	
9239000	1.137478	2	0.400663	0.400999	0.057150	0.141188	0.400663	0.400999	0.057150	0.141188	0.258932	0.247787	0.200218	0.293063	0.400663	0.400999	0.057150	0.141188	0.258932	0.247787	0.200218	0.293063	0.258932	0.247787	0.200218	0.293063	0.400663	0.400999	0.057150	0.141188	0.258932	0.247787	0.200218	0.293063	0.400663	0.400999	0.057150	0.141188	
9240000	1.137478	2	0.400663	0.400999	0.057150	0.141188	0.400663	0.400999	0.057150	0.141188	0.235303	0.278265	0.189881	0.296551	0.400663	0.400999	0.057150	0.141188	0.235303	0.278265	0.189881	0.296551	0.235303	0.278265	0.189881	0.296551	0.400663	0.400999	0.057150	0.141188	0.235303	0.278265	0.189881	0.296551	0.400663	0.400999	0.057150	0.141188	
9241000	1.137478	4	0.397035	0.342377	0.080324	0.180264	0.397035	0.342377	0.080324	0.180264	0.162236	0.338612	0.139114	0.360038	0.400663	0.400999	0.057150	0.141188	0.271855	0.270763	0.199865	0.257517	0.271855	0.270763	0.199865	0.257517	0.400663	0.400999	0.057150	0.141188	0.162236	0.338612	0.139114	0.360038	0.400663	0.400999	0.057150	0.141188	
9242000	1.137478	4	0.397035	0.342377	0.080324	0.180264	0.397035	0.342377	0.080324	0.180264	0.182063	0.335819	0.143330	0.338788	0.396302	0.401818	0.054948	0.146932	0.280766	0.237408	0.206193	0.275633	0.280766	0.237408	0.206193	0.275633	0.396302	0.401818	0.054948	0.146932	0.182063	0.335819	0.143330	0.338788	0.396302	0.401818	0.054948	0.146932	
9243000	1.137478	3	0.395347	0.352674	0.069182	0.182797	0.395347	0.352674	0.069182	0.182797	0.210510	0.292098	0.190098	0.307295	0.396302	0.401818	0.054948	0.146932	0.210510	0.292098	0.190098	0.307295	0.210510	0.292098	0.190098	0.307295	0.396302	0.401818	0.054948	0.146932	0.210510	0.292098	0.190098	0.307295	0.396302	0.401818	0.054948	0.146932	
9244000	1.137478	4	0.399035	0.340313	0.075517	0.185135	0.399035	0.340313	0.075517	0.185135	0.130177	0.406779	0.156395	0.306650	0.396302	0.401818	0.054948	0.146932	0.297156	0.250361	0.178777	0.273706	0.297156	0.250361	0.178777	0.273706	0.396302	0.401818	0.054948	0.146932	0.130177	0.406779	0.156395	0.306650	0.396302	0.401818	0.054948	0.146932	
9245000	1.137478	3	0.396087	0.351196	0.071121	0.181596	0.396087	0.351196	0.071121	0.181596	0.212660	0.286730	0.179292	0.321318	0.396302	0.401818	0.054948	0.146932	0.212660	0.286730	0.179292	0.321318	0.212660	0.286730	0.179292	0.321318	0.396302	0.401818	0.054948	0.146932	0.212660	0.286730	0.179292	0.321318	0.396302	0.401818	0.054948	0.146932	
9246000	1.137478	3	0.408609	0.327589	0.072691	0.191112	0.408609	0.327589	0.072691	0.191112	0.271110	0.296883	0.150639	0.281368	0.396302	0.401818	0.054948	0.146932	0.271110	0.296883	0.150639	0.281368	0.271110	0.296883	0.150639	0.281368	0.396302	0.401818	0.054948	0.146932	0.271110	0.296883	0.150639	0.281368	0.396302	0.401818	0.054948	0.146932	
9247000	1.137478	4	0.408609	0.327589	0.072691	0.191112	0.408609	0.327589	0.072691	0.191112	0.239817	0.275643	0.103684	0.380856	0.396302	0.401818	0.054948	0.146932	0.251538	0.291340	0.172427	0.284695	0.251538	0.291340	0.172427	0.284695	0.396302	0.401818	0.054948	0.146932	0.251538	0.291340	0.172427	0.284695	0.396302	0.401818	0.054948	0.146932	
