Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
27000	0.879386	2	0.276575	0.222380	0.189299	0.311746	0.276575	0.222380	0.189299	0.311746	0.297183	0.207341	0.151261	0.344214	0.297183	0.207341	0.151261	0.344214	
28000	0.879386	1	0.285245	0.222351	0.179277	0.313127	0.285245	0.222351	0.179277	0.313127	0.285245	0.222351	0.179277	0.313127	0.285245	0.222351	0.179277	0.313127	
29000	0.879386	2	0.298695	0.189090	0.189942	0.322273	0.298695	0.189090	0.189942	0.322273	0.306265	0.197875	0.153556	0.342305	0.306265	0.197875	0.153556	0.342305	
30000	0.879386	1	0.296331	0.197647	0.191437	0.314585	0.296331	0.197647	0.191437	0.314585	0.296331	0.197647	0.191437	0.314585	0.296331	0.197647	0.191437	0.314585	
31000	0.879386	1	0.338008	0.185360	0.179839	0.296793	0.338008	0.185360	0.179839	0.296793	0.338008	0.185360	0.179839	0.296793	0.338008	0.185360	0.179839	0.296793	
32000	0.879386	1	0.293345	0.213528	0.179977	0.313150	0.293345	0.213528	0.179977	0.313150	0.293345	0.213528	0.179977	0.313150	0.293345	0.213528	0.179977	0.313150	
33000	0.879386	1	0.282796	0.199758	0.205525	0.311921	0.282796	0.199758	0.205525	0.311921	0.282796	0.199758	0.205525	0.311921	0.282796	0.199758	0.205525	0.311921	
34000	0.879386	1	0.282796	0.199758	0.205525	0.311921	0.282796	0.199758	0.205525	0.311921	0.282796	0.199758	0.205525	0.311921	0.282796	0.199758	0.205525	0.311921	
35000	0.879386	1	0.283785	0.199729	0.192585	0.323901	0.283785	0.199729	0.192585	0.323901	0.283785	0.199729	0.192585	0.323901	0.283785	0.199729	0.192585	0.323901	
36000	0.879386	1	0.300534	0.192135	0.191234	0.316098	0.300534	0.192135	0.191234	0.316098	0.300534	0.192135	0.191234	0.316098	0.300534	0.192135	0.191234	0.316098	
37000	0.879386	1	0.281884	0.208561	0.200898	0.308656	0.281884	0.208561	0.200898	0.308656	0.281884	0.208561	0.200898	0.308656	0.281884	0.208561	0.200898	0.308656	
38000	0.879386	1	0.318350	0.178576	0.143326	0.359748	0.318350	0.178576	0.143326	0.359748	0.318350	0.178576	0.143326	0.359748	0.318350	0.178576	0.143326	0.359748	
39000	0.879386	1	0.297864	0.195012	0.195034	0.312090	0.297864	0.195012	0.195034	0.312090	0.297864	0.195012	0.195034	0.312090	0.297864	0.195012	0.195034	0.312090	
40000	0.879386	1	0.303259	0.210669	0.190887	0.295185	0.303259	0.210669	0.190887	0.295185	0.303259	0.210669	0.190887	0.295185	0.303259	0.210669	0.190887	0.295185	
41000	0.879386	1	0.307902	0.200777	0.196914	0.294407	0.307902	0.200777	0.196914	0.294407	0.307902	0.200777	0.196914	0.294407	0.307902	0.200777	0.196914	0.294407	
42000	0.879386	2	0.209150	0.245687	0.260657	0.284506	0.301230	0.196502	0.191173	0.311095	0.301230	0.196502	0.191173	0.311095	0.301230	0.196502	0.191173	0.311095	
43000	0.879386	2	0.289076	0.230955	0.211747	0.268222	0.289076	0.230955	0.211747	0.268222	0.278868	0.196891	0.179085	0.345156	0.278868	0.196891	0.179085	0.345156	
44000	0.879386	2	0.263672	0.257922	0.202059	0.276347	0.263672	0.257922	0.202059	0.276347	0.346082	0.177323	0.136005	0.340590	0.346082	0.177323	0.136005	0.340590	
45000	0.879386	1	0.295464	0.202419	0.205554	0.296564	0.295464	0.202419	0.205554	0.296564	0.295464	0.202419	0.205554	0.296564	0.295464	0.202419	0.205554	0.296564	
46000	0.879386	1	0.284449	0.206275	0.198101	0.311175	0.284449	0.206275	0.198101	0.311175	0.284449	0.206275	0.198101	0.311175	0.284449	0.206275	0.198101	0.311175	
47000	0.879386	1	0.284581	0.214814	0.196334	0.304271	0.284581	0.214814	0.196334	0.304271	0.284581	0.214814	0.196334	0.304271	0.284581	0.214814	0.196334	0.304271	
48000	0.879386	3	0.318216	0.207431	0.183829	0.290525	0.318216	0.207431	0.183829	0.290525	0.349052	0.201039	0.146800	0.303109	0.363716	0.143885	0.101990	0.390408	
49000	0.879386	1	0.287357	0.172537	0.185855	0.354251	0.287357	0.172537	0.185855	0.354251	0.287357	0.172537	0.185855	0.354251	0.287357	0.172537	0.185855	0.354251	
50000	0.879386	1	0.295050	0.215261	0.191376	0.298312	0.295050	0.215261	0.191376	0.298312	0.295050	0.215261	0.191376	0.298312	0.295050	0.215261	0.191376	0.298312	
51000	0.879386	1	0.311036	0.190815	0.172084	0.326065	0.311036	0.190815	0.172084	0.326065	0.311036	0.190815	0.172084	0.326065	0.311036	0.190815	0.172084	0.326065	
52000	0.879386	1	0.287922	0.210759	0.196473	0.304846	0.287922	0.210759	0.196473	0.304846	0.287922	0.210759	0.196473	0.304846	0.287922	0.210759	0.196473	0.304846	
53000	0.879386	1	0.306716	0.199518	0.190382	0.303384	0.306716	0.199518	0.190382	0.303384	0.306716	0.199518	0.190382	0.303384	0.306716	0.199518	0.190382	0.303384	
54000	0.879386	2	0.353610	0.181967	0.203850	0.260572	0.288689	0.171838	0.186422	0.353052	0.288689	0.171838	0.186422	0.353052	0.288689	0.171838	0.186422	0.353052	
55000	0.879386	2	0.285839	0.210706	0.196755	0.306701	0.285839	0.210706	0.196755	0.306701	0.285839	0.210706	0.196755	0.306701	0.260958	0.158019	0.172000	0.409024	
56000	0.879386	1	0.301288	0.197980	0.198581	0.302151	0.301288	0.197980	0.198581	0.302151	0.301288	0.197980	0.198581	0.302151	0.301288	0.197980	0.198581	0.302151	
57000	0.879386	1	0.290502	0.183411	0.182255	0.343832	0.290502	0.183411	0.182255	0.343832	0.290502	0.183411	0.182255	0.343832	0.290502	0.183411	0.182255	0.343832	
58000	0.879386	2	0.245420	0.253957	0.217778	0.282845	0.245420	0.253957	0.217778	0.282845	0.345719	0.176355	0.140380	0.337547	0.345719	0.176355	0.140380	0.337547	
59000	0.879386	1	0.283499	0.209067	0.193843	0.313592	0.283499	0.209067	0.193843	0.313592	0.283499	0.209067	0.193843	0.313592	0.283499	0.209067	0.193843	0.313592	
60000	0.879386	1	0.283845	0.212222	0.203234	0.300699	0.283845	0.212222	0.203234	0.300699	0.283845	0.212222	0.203234	0.300699	0.283845	0.212222	0.203234	0.300699	
61000	0.879386	1	0.301975	0.208434	0.148146	0.341446	0.301975	0.208434	0.148146	0.341446	0.301975	0.208434	0.148146	0.341446	0.301975	0.208434	0.148146	0.341446	
62000	0.879386	1	0.277267	0.206730	0.193196	0.322807	0.277267	0.206730	0.193196	0.322807	0.277267	0.206730	0.193196	0.322807	0.277267	0.206730	0.193196	0.322807	
63000	0.879386	1	0.291812	0.211751	0.197962	0.298475	0.291812	0.211751	0.197962	0.298475	0.291812	0.211751	0.197962	0.298475	0.291812	0.211751	0.197962	0.298475	
64000	0.879386	1	0.304231	0.197409	0.205673	0.292687	0.304231	0.197409	0.205673	0.292687	0.304231	0.197409	0.205673	0.292687	0.304231	0.197409	0.205673	0.292687	
65000	0.879386	1	0.327351	0.201445	0.165604	0.305601	0.327351	0.201445	0.165604	0.305601	0.327351	0.201445	0.165604	0.305601	0.327351	0.201445	0.165604	0.305601	
66000	0.879386	1	0.289572	0.186837	0.191801	0.331790	0.289572	0.186837	0.191801	0.331790	0.289572	0.186837	0.191801	0.331790	0.289572	0.186837	0.191801	0.331790	
67000	0.879386	1	0.284639	0.215141	0.198154	0.302066	0.284639	0.215141	0.198154	0.302066	0.284639	0.215141	0.198154	0.302066	0.284639	0.215141	0.198154	0.302066	
68000	0.879386	1	0.284464	0.200301	0.195831	0.319404	0.284464	0.200301	0.195831	0.319404	0.284464	0.200301	0.195831	0.319404	0.284464	0.200301	0.195831	0.319404	
69000	0.879386	2	0.276972	0.220056	0.214782	0.288190	0.276972	0.220056	0.214782	0.288190	0.343593	0.166777	0.117538	0.372092	0.343593	0.166777	0.117538	0.372092	
70000	0.879386	1	0.285584	0.177513	0.207480	0.329422	0.285584	0.177513	0.207480	0.329422	0.285584	0.177513	0.207480	0.329422	0.285584	0.177513	0.207480	0.329422	
71000	0.879386	1	0.282291	0.206614	0.193011	0.318084	0.282291	0.206614	0.193011	0.318084	0.282291	0.206614	0.193011	0.318084	0.282291	0.206614	0.193011	0.318084	
72000	0.879386	1	0.269240	0.205061	0.204149	0.321549	0.269240	0.205061	0.204149	0.321549	0.269240	0.205061	0.204149	0.321549	0.269240	0.205061	0.204149	0.321549	
73000	0.879386	1	0.282548	0.204557	0.192185	0.320710	0.282548	0.204557	0.192185	0.320710	0.282548	0.204557	0.192185	0.320710	0.282548	0.204557	0.192185	0.320710	
74000	0.879386	1	0.323149	0.201540	0.179253	0.296058	0.323149	0.201540	0.179253	0.296058	0.323149	0.201540	0.179253	0.296058	0.323149	0.201540	0.179253	0.296058	
75000	0.879386	1	0.282104	0.210249	0.191300	0.316347	0.282104	0.210249	0.191300	0.316347	0.282104	0.210249	0.191300	0.316347	0.282104	0.210249	0.191300	0.316347	
76000	0.879386	2	0.246619	0.232948	0.255630	0.264803	0.246619	0.232948	0.255630	0.264803	0.327995	0.161339	0.126131	0.384535	0.327995	0.161339	0.126131	0.384535	
77000	0.879386	1	0.304987	0.202339	0.192190	0.300484	0.304987	0.202339	0.192190	0.300484	0.304987	0.202339	0.192190	0.300484	0.304987	0.202339	0.192190	0.300484	
78000	0.879386	1	0.294332	0.188546	0.210168	0.306954	0.294332	0.188546	0.210168	0.306954	0.294332	0.188546	0.210168	0.306954	0.294332	0.188546	0.210168	0.306954	
79000	0.879386	1	0.290740	0.206731	0.193211	0.309318	0.290740	0.206731	0.193211	0.309318	0.290740	0.206731	0.193211	0.309318	0.290740	0.206731	0.193211	0.309318	
80000	0.879386	1	0.293584	0.199077	0.194711	0.312627	0.293584	0.199077	0.194711	0.312627	0.293584	0.199077	0.194711	0.312627	0.293584	0.199077	0.194711	0.312627	
81000	0.879386	1	0.279817	0.198338	0.198896	0.322949	0.279817	0.198338	0.198896	0.322949	0.279817	0.198338	0.198896	0.322949	0.279817	0.198338	0.198896	0.322949	
82000	0.879386	1	0.284942	0.221346	0.180639	0.313072	0.284942	0.221346	0.180639	0.313072	0.284942	0.221346	0.180639	0.313072	0.284942	0.221346	0.180639	0.313072	
83000	0.879386	2	0.272382	0.210805	0.194391	0.322421	0.272382	0.210805	0.194391	0.322421	0.368871	0.181010	0.161708	0.288410	0.272382	0.210805	0.194391	0.322421	
84000	0.879386	2	0.239330	0.244177	0.251958	0.264534	0.293718	0.207469	0.198738	0.300075	0.293718	0.207469	0.198738	0.300075	0.293718	0.207469	0.198738	0.300075	
85000	0.879386	1	0.283478	0.219993	0.218870	0.277658	0.283478	0.219993	0.218870	0.277658	0.283478	0.219993	0.218870	0.277658	0.283478	0.219993	0.218870	0.277658	
86000	0.879386	1	0.300840	0.206097	0.195463	0.297600	0.300840	0.206097	0.195463	0.297600	0.300840	0.206097	0.195463	0.297600	0.300840	0.206097	0.195463	0.297600	
87000	0.879386	2	0.306244	0.212398	0.191813	0.289545	0.306244	0.212398	0.191813	0.289545	0.334763	0.161046	0.156814	0.347377	0.334763	0.161046	0.156814	0.347377	
88000	0.879386	1	0.296371	0.217172	0.182996	0.303461	0.296371	0.217172	0.182996	0.303461	0.296371	0.217172	0.182996	0.303461	0.296371	0.217172	0.182996	0.303461	
89000	0.879386	1	0.289087	0.190481	0.200624	0.319808	0.289087	0.190481	0.200624	0.319808	0.289087	0.190481	0.200624	0.319808	0.289087	0.190481	0.200624	0.319808	
90000	0.879386	1	0.305547	0.198292	0.179725	0.316436	0.305547	0.198292	0.179725	0.316436	0.305547	0.198292	0.179725	0.316436	0.305547	0.198292	0.179725	0.316436	
91000	0.879386	1	0.287457	0.217249	0.205412	0.289882	0.287457	0.217249	0.205412	0.289882	0.287457	0.217249	0.205412	0.289882	0.287457	0.217249	0.205412	0.289882	
92000	0.879386	1	0.293695	0.223219	0.191720	0.291366	0.293695	0.223219	0.191720	0.291366	0.293695	0.223219	0.191720	0.291366	0.293695	0.223219	0.191720	0.291366	
93000	0.879386	1	0.294771	0.217513	0.177092	0.310624	0.294771	0.217513	0.177092	0.310624	0.294771	0.217513	0.177092	0.310624	0.294771	0.217513	0.177092	0.310624	
94000	0.879386	2	0.259983	0.226486	0.227483	0.286048	0.259983	0.226486	0.227483	0.286048	0.333132	0.172245	0.140969	0.353654	0.333132	0.172245	0.140969	0.353654	
95000	0.879386	1	0.298600	0.214008	0.189857	0.297536	0.298600	0.214008	0.189857	0.297536	0.298600	0.214008	0.189857	0.297536	0.298600	0.214008	0.189857	0.297536	
96000	0.879386	2	0.270978	0.227331	0.225287	0.276403	0.270978	0.227331	0.225287	0.276403	0.322308	0.186475	0.133272	0.357945	0.322308	0.186475	0.133272	0.357945	
97000	0.879386	1	0.273764	0.240271	0.192409	0.293556	0.273764	0.240271	0.192409	0.293556	0.273764	0.240271	0.192409	0.293556	0.273764	0.240271	0.192409	0.293556	
98000	0.879386	1	0.304816	0.158568	0.208103	0.328513	0.304816	0.158568	0.208103	0.328513	0.304816	0.158568	0.208103	0.328513	0.304816	0.158568	0.208103	0.328513	
99000	0.879386	2	0.270061	0.205951	0.191893	0.332096	0.270061	0.205951	0.191893	0.332096	0.270061	0.205951	0.191893	0.332096	0.341107	0.177523	0.140815	0.340555	
100000	0.879386	1	0.282340	0.209585	0.191298	0.316776	0.282340	0.209585	0.191298	0.316776	0.282340	0.209585	0.191298	0.316776	0.282340	0.209585	0.191298	0.316776	
101000	0.879386	1	0.281605	0.209569	0.160535	0.348292	0.281605	0.209569	0.160535	0.348292	0.281605	0.209569	0.160535	0.348292	0.281605	0.209569	0.160535	0.348292	
102000	0.879386	1	0.284777	0.212147	0.199414	0.303662	0.284777	0.212147	0.199414	0.303662	0.284777	0.212147	0.199414	0.303662	0.284777	0.212147	0.199414	0.303662	
103000	0.879386	1	0.316137	0.204416	0.199701	0.279746	0.316137	0.204416	0.199701	0.279746	0.316137	0.204416	0.199701	0.279746	0.316137	0.204416	0.199701	0.279746	
104000	0.879386	1	0.305135	0.211190	0.188560	0.295115	0.305135	0.211190	0.188560	0.295115	0.305135	0.211190	0.188560	0.295115	0.305135	0.211190	0.188560	0.295115	
105000	0.879386	2	0.288809	0.238026	0.196082	0.277083	0.288809	0.238026	0.196082	0.277083	0.340651	0.153496	0.141378	0.364475	0.340651	0.153496	0.141378	0.364475	
106000	0.879386	1	0.319622	0.182070	0.182275	0.316033	0.319622	0.182070	0.182275	0.316033	0.319622	0.182070	0.182275	0.316033	0.319622	0.182070	0.182275	0.316033	
107000	0.879386	1	0.291434	0.237292	0.176544	0.294731	0.291434	0.237292	0.176544	0.294731	0.291434	0.237292	0.176544	0.294731	0.291434	0.237292	0.176544	0.294731	
108000	0.879386	1	0.323961	0.190578	0.175485	0.309976	0.323961	0.190578	0.175485	0.309976	0.323961	0.190578	0.175485	0.309976	0.323961	0.190578	0.175485	0.309976	
109000	0.879386	1	0.283608	0.211684	0.198833	0.305876	0.283608	0.211684	0.198833	0.305876	0.283608	0.211684	0.198833	0.305876	0.283608	0.211684	0.198833	0.305876	
110000	0.879386	1	0.294552	0.190186	0.193625	0.321637	0.294552	0.190186	0.193625	0.321637	0.294552	0.190186	0.193625	0.321637	0.294552	0.190186	0.193625	0.321637	
111000	0.879386	1	0.288715	0.210798	0.171627	0.328860	0.288715	0.210798	0.171627	0.328860	0.288715	0.210798	0.171627	0.328860	0.288715	0.210798	0.171627	0.328860	
112000	0.879386	1	0.293903	0.203480	0.186532	0.316085	0.293903	0.203480	0.186532	0.316085	0.293903	0.203480	0.186532	0.316085	0.293903	0.203480	0.186532	0.316085	
113000	0.879386	1	0.280298	0.218927	0.176063	0.324712	0.280298	0.218927	0.176063	0.324712	0.280298	0.218927	0.176063	0.324712	0.280298	0.218927	0.176063	0.324712	
114000	0.879386	1	0.272839	0.222337	0.181093	0.323732	0.272839	0.222337	0.181093	0.323732	0.272839	0.222337	0.181093	0.323732	0.272839	0.222337	0.181093	0.323732	
115000	0.879386	1	0.280800	0.208446	0.193922	0.316831	0.280800	0.208446	0.193922	0.316831	0.280800	0.208446	0.193922	0.316831	0.280800	0.208446	0.193922	0.316831	
116000	0.879386	1	0.282409	0.211900	0.193717	0.311975	0.282409	0.211900	0.193717	0.311975	0.282409	0.211900	0.193717	0.311975	0.282409	0.211900	0.193717	0.311975	
117000	0.879386	1	0.293966	0.210443	0.183358	0.312233	0.293966	0.210443	0.183358	0.312233	0.293966	0.210443	0.183358	0.312233	0.293966	0.210443	0.183358	0.312233	
118000	0.879386	2	0.287293	0.226117	0.178944	0.307645	0.287293	0.226117	0.178944	0.307645	0.287293	0.226117	0.178944	0.307645	0.278972	0.124857	0.150282	0.445888	
119000	0.879386	1	0.278728	0.194907	0.189542	0.336823	0.278728	0.194907	0.189542	0.336823	0.278728	0.194907	0.189542	0.336823	0.278728	0.194907	0.189542	0.336823	
120000	0.879386	2	0.259538	0.255206	0.216835	0.268421	0.259538	0.255206	0.216835	0.268421	0.325427	0.157659	0.163642	0.353272	0.325427	0.157659	0.163642	0.353272	
121000	0.879386	1	0.283484	0.215964	0.177938	0.322614	0.283484	0.215964	0.177938	0.322614	0.283484	0.215964	0.177938	0.322614	0.283484	0.215964	0.177938	0.322614	
122000	0.879386	1	0.268786	0.199105	0.189129	0.342980	0.268786	0.199105	0.189129	0.342980	0.268786	0.199105	0.189129	0.342980	0.268786	0.199105	0.189129	0.342980	
123000	0.879386	2	0.272268	0.265444	0.184091	0.278197	0.272268	0.265444	0.184091	0.278197	0.317795	0.173262	0.143609	0.365334	0.317795	0.173262	0.143609	0.365334	
124000	0.879386	1	0.268053	0.215815	0.199974	0.316158	0.268053	0.215815	0.199974	0.316158	0.268053	0.215815	0.199974	0.316158	0.268053	0.215815	0.199974	0.316158	
125000	0.879386	1	0.261674	0.205778	0.204664	0.327884	0.261674	0.205778	0.204664	0.327884	0.261674	0.205778	0.204664	0.327884	0.261674	0.205778	0.204664	0.327884	
126000	0.879386	1	0.293147	0.203679	0.188023	0.315152	0.293147	0.203679	0.188023	0.315152	0.293147	0.203679	0.188023	0.315152	0.293147	0.203679	0.188023	0.315152	
127000	0.879386	1	0.300168	0.193186	0.199207	0.307440	0.300168	0.193186	0.199207	0.307440	0.300168	0.193186	0.199207	0.307440	0.300168	0.193186	0.199207	0.307440	
128000	0.879386	1	0.302608	0.208904	0.188980	0.299508	0.302608	0.208904	0.188980	0.299508	0.302608	0.208904	0.188980	0.299508	0.302608	0.208904	0.188980	0.299508	
129000	0.879386	1	0.281003	0.212243	0.192068	0.314686	0.281003	0.212243	0.192068	0.314686	0.281003	0.212243	0.192068	0.314686	0.281003	0.212243	0.192068	0.314686	
130000	0.879386	1	0.299779	0.200694	0.183909	0.315618	0.299779	0.200694	0.183909	0.315618	0.299779	0.200694	0.183909	0.315618	0.299779	0.200694	0.183909	0.315618	
131000	0.879386	2	0.263103	0.255207	0.229165	0.252525	0.263103	0.255207	0.229165	0.252525	0.358142	0.153725	0.136952	0.351180	0.358142	0.153725	0.136952	0.351180	
132000	0.879386	1	0.278538	0.213455	0.196171	0.311837	0.278538	0.213455	0.196171	0.311837	0.278538	0.213455	0.196171	0.311837	0.278538	0.213455	0.196171	0.311837	
133000	0.879386	1	0.298764	0.202147	0.196175	0.302914	0.298764	0.202147	0.196175	0.302914	0.298764	0.202147	0.196175	0.302914	0.298764	0.202147	0.196175	0.302914	
134000	0.879386	1	0.295417	0.195841	0.184676	0.324065	0.295417	0.195841	0.184676	0.324065	0.295417	0.195841	0.184676	0.324065	0.295417	0.195841	0.184676	0.324065	
135000	0.879386	1	0.290645	0.205881	0.188408	0.315066	0.290645	0.205881	0.188408	0.315066	0.290645	0.205881	0.188408	0.315066	0.290645	0.205881	0.188408	0.315066	
136000	0.879386	1	0.276668	0.220149	0.184249	0.318934	0.276668	0.220149	0.184249	0.318934	0.276668	0.220149	0.184249	0.318934	0.276668	0.220149	0.184249	0.318934	
137000	0.879386	1	0.287025	0.200375	0.195457	0.317143	0.287025	0.200375	0.195457	0.317143	0.287025	0.200375	0.195457	0.317143	0.287025	0.200375	0.195457	0.317143	
138000	0.879386	1	0.281047	0.217364	0.190798	0.310791	0.281047	0.217364	0.190798	0.310791	0.281047	0.217364	0.190798	0.310791	0.281047	0.217364	0.190798	0.310791	
139000	0.879386	1	0.304913	0.207742	0.193721	0.293624	0.304913	0.207742	0.193721	0.293624	0.304913	0.207742	0.193721	0.293624	0.304913	0.207742	0.193721	0.293624	
140000	0.879386	1	0.297946	0.201258	0.192191	0.308604	0.297946	0.201258	0.192191	0.308604	0.297946	0.201258	0.192191	0.308604	0.297946	0.201258	0.192191	0.308604	
141000	0.879386	1	0.301427	0.207579	0.188208	0.302787	0.301427	0.207579	0.188208	0.302787	0.301427	0.207579	0.188208	0.302787	0.301427	0.207579	0.188208	0.302787	
142000	0.879386	1	0.280695	0.200329	0.203950	0.315026	0.280695	0.200329	0.203950	0.315026	0.280695	0.200329	0.203950	0.315026	0.280695	0.200329	0.203950	0.315026	
143000	0.879386	1	0.287404	0.208583	0.194930	0.309083	0.287404	0.208583	0.194930	0.309083	0.287404	0.208583	0.194930	0.309083	0.287404	0.208583	0.194930	0.309083	
144000	0.879386	1	0.282986	0.203911	0.205618	0.307485	0.282986	0.203911	0.205618	0.307485	0.282986	0.203911	0.205618	0.307485	0.282986	0.203911	0.205618	0.307485	
145000	0.879386	1	0.283261	0.213777	0.191838	0.311124	0.283261	0.213777	0.191838	0.311124	0.283261	0.213777	0.191838	0.311124	0.283261	0.213777	0.191838	0.311124	
146000	0.879386	1	0.285074	0.198653	0.195537	0.320735	0.285074	0.198653	0.195537	0.320735	0.285074	0.198653	0.195537	0.320735	0.285074	0.198653	0.195537	0.320735	
147000	0.879386	2	0.313425	0.238048	0.181946	0.266581	0.313425	0.238048	0.181946	0.266581	0.344661	0.155508	0.154243	0.345588	0.344661	0.155508	0.154243	0.345588	
148000	0.879386	1	0.260354	0.228301	0.181777	0.329568	0.260354	0.228301	0.181777	0.329568	0.260354	0.228301	0.181777	0.329568	0.260354	0.228301	0.181777	0.329568	
149000	0.879386	2	0.286562	0.184567	0.251763	0.277108	0.309543	0.189040	0.194829	0.306589	0.309543	0.189040	0.194829	0.306589	0.309543	0.189040	0.194829	0.306589	
150000	0.879386	1	0.317345	0.213631	0.170484	0.298540	0.317345	0.213631	0.170484	0.298540	0.317345	0.213631	0.170484	0.298540	0.317345	0.213631	0.170484	0.298540	
