Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	
630000	0.879386	1	0.429974	0.429974	0.429974	0.429974	
631000	0.879386	2	0.329314	0.329314	0.329314	0.758482	
632000	0.879386	1	0.349498	0.349498	0.349498	0.349498	
633000	0.879386	1	0.390415	0.390415	0.390415	0.390415	
634000	0.879386	2	0.312916	0.312916	0.312916	0.405071	
635000	0.879386	3	0.302456	0.311493	0.311493	0.894719	
636000	0.879386	2	0.439232	0.317790	0.317790	0.439232	
637000	0.879386	1	0.336829	0.336829	0.336829	0.336829	
638000	0.879386	1	0.403622	0.403622	0.403622	0.403622	
639000	0.879386	2	0.302583	0.302583	0.302583	0.955885	
640000	0.879386	1	0.352368	0.352368	0.352368	0.352368	
641000	0.879386	1	0.348553	0.348553	0.348553	0.348553	
642000	0.879386	1	0.345304	0.345304	0.345304	0.345304	
643000	0.879386	3	0.254722	0.346834	0.346834	0.782546	
644000	0.879386	2	0.379711	0.331997	0.379711	0.379711	
645000	0.879386	2	0.312924	0.312924	0.312924	0.630010	
646000	0.879386	2	0.309967	0.309967	0.309967	0.541123	
647000	0.879386	1	0.354758	0.354758	0.354758	0.354758	
648000	0.879386	1	0.353226	0.353226	0.353226	0.353226	
649000	0.879386	2	0.326660	0.326660	0.381541	0.326660	
650000	0.879386	2	0.274510	0.383972	0.274510	0.383972	
651000	0.879386	1	0.341635	0.341635	0.341635	0.341635	
652000	0.879386	1	0.363052	0.363052	0.363052	0.363052	
653000	0.879386	1	0.344933	0.344933	0.344933	0.344933	
654000	0.879386	2	0.360430	0.360430	0.360430	0.523590	
655000	0.879386	1	0.346052	0.346052	0.346052	0.346052	
656000	0.879386	1	0.362162	0.362162	0.362162	0.362162	
657000	0.879386	2	0.322970	0.322970	0.322970	0.712964	
658000	0.879386	2	0.362229	0.350684	0.350684	0.350684	
659000	0.879386	1	0.427307	0.427307	0.427307	0.427307	
660000	0.879386	2	0.328828	0.328828	0.328828	0.580916	
661000	0.879386	3	0.365145	0.323809	0.323809	0.508222	
662000	0.879386	2	0.315313	0.371151	0.371151	0.371151	
663000	0.879386	2	0.331834	0.331834	0.331834	0.424786	
664000	0.879386	1	0.359965	0.359965	0.359965	0.359965	
665000	0.879386	2	0.372051	0.372051	0.258451	0.372051	
666000	0.879386	1	0.321259	0.321259	0.321259	0.321259	
667000	0.879386	1	0.334895	0.334895	0.334895	0.334895	
668000	0.879386	2	0.315819	0.315819	0.315819	0.405405	
669000	0.879386	2	0.380400	0.380400	0.429102	0.380400	
670000	0.879386	2	0.309857	0.309857	0.309857	0.396419	
671000	0.879386	3	0.410735	0.384906	0.384906	0.647608	
672000	0.879386	2	0.320183	0.320183	0.320183	0.582553	
673000	0.879386	1	0.351431	0.351431	0.351431	0.351431	
674000	0.879386	1	0.362678	0.362678	0.362678	0.362678	
675000	0.879386	2	0.310350	0.310350	0.310350	0.539441	
676000	0.879386	2	0.308965	0.308965	0.392777	0.392777	
677000	0.879386	2	0.354257	0.354257	0.354257	0.530194	
678000	0.879386	2	0.278849	0.278849	0.278849	0.473150	
679000	0.879386	1	0.338668	0.338668	0.338668	0.338668	
680000	0.879386	2	0.324094	0.324094	0.324094	0.822654	
681000	0.879386	2	0.326795	0.326795	0.326795	0.941581	
682000	0.879386	1	0.334685	0.334685	0.334685	0.334685	
683000	0.879386	1	0.348174	0.348174	0.348174	0.348174	
684000	0.879386	2	0.325937	0.325937	0.325937	0.636301	
685000	0.879386	3	0.285921	0.365399	0.365399	0.695531	
686000	0.879386	1	0.336053	0.336053	0.336053	0.336053	
687000	0.879386	1	0.338137	0.338137	0.338137	0.338137	
688000	0.879386	3	0.262336	0.359379	0.359379	0.679899	
689000	0.879386	2	0.386200	0.315546	0.315546	0.386200	
690000	0.879386	1	0.358102	0.358102	0.358102	0.358102	
691000	0.879386	1	0.319598	0.319598	0.319598	0.319598	
692000	0.879386	1	0.390692	0.390692	0.390692	0.390692	
693000	0.879386	2	0.271134	0.271134	0.271134	0.358132	
694000	0.879386	2	0.311101	0.311101	0.311101	0.392638	
695000	0.879386	1	0.334881	0.334881	0.334881	0.334881	
696000	0.879386	2	0.318247	0.318247	0.318247	0.535201	
697000	0.879386	1	0.303864	0.303864	0.303864	0.303864	
698000	0.879386	2	0.492566	0.280111	0.280111	0.492566	
699000	0.879386	1	0.387127	0.387127	0.387127	0.387127	
700000	0.879386	1	0.406207	0.406207	0.406207	0.406207	
701000	0.879386	1	0.327134	0.327134	0.327134	0.327134	
702000	0.879386	2	0.338028	0.338028	0.338028	0.613013	
703000	0.879386	2	0.337672	0.337672	0.346690	0.346690	
704000	0.879386	2	0.349742	0.332000	0.349742	0.349742	
705000	0.879386	2	0.354059	0.354059	0.354059	0.471467	
706000	0.879386	1	0.363380	0.363380	0.363380	0.363380	
707000	0.879386	2	0.301106	0.301106	0.301106	0.356806	
708000	0.879386	2	0.329875	0.331297	0.331297	0.331297	
709000	0.879386	1	0.384571	0.384571	0.384571	0.384571	
710000	0.879386	2	0.372604	0.372604	0.372604	0.475038	
711000	0.879386	1	0.365744	0.365744	0.365744	0.365744	
712000	0.879386	2	0.351321	0.351321	0.351321	0.589099	
713000	0.879386	1	0.377325	0.377325	0.377325	0.377325	
714000	0.879386	3	0.395677	0.395677	0.294207	0.813672	
715000	0.879386	2	0.279350	0.279350	0.308395	0.308395	
716000	0.879386	2	0.310190	0.310190	0.310190	0.615763	
717000	0.879386	1	0.367710	0.367710	0.367710	0.367710	
718000	0.879386	2	0.307118	0.307118	0.307118	0.738302	
719000	0.879386	2	0.318574	0.318574	0.318574	1.048058	
720000	0.879386	2	0.330127	0.330127	0.330127	0.732642	
721000	0.879386	2	0.314454	0.314454	0.314454	0.520629	
722000	0.879386	2	0.311000	0.311000	0.311000	0.988941	
723000	0.879386	1	0.399599	0.399599	0.399599	0.399599	
724000	0.879386	1	0.339799	0.339799	0.339799	0.339799	
725000	0.879386	3	0.322356	0.322356	0.338880	0.400826	
726000	0.879386	2	0.339685	0.339685	0.339685	0.480855	
727000	0.879386	1	0.334607	0.334607	0.334607	0.334607	
728000	0.879386	3	0.338229	0.396831	0.353718	0.396831	
729000	0.879386	1	0.369379	0.369379	0.369379	0.369379	
730000	0.879386	1	0.355475	0.355475	0.355475	0.355475	
731000	0.879386	3	0.414902	0.351641	0.291681	0.414902	
732000	0.879386	1	0.341905	0.341905	0.341905	0.341905	
733000	0.879386	1	0.340826	0.340826	0.340826	0.340826	
734000	0.879386	1	0.326874	0.326874	0.326874	0.326874	
735000	0.879386	1	0.370118	0.370118	0.370118	0.370118	
736000	0.879386	1	0.369072	0.369072	0.369072	0.369072	
737000	0.879386	1	0.383633	0.383633	0.383633	0.383633	
738000	0.879386	1	0.373967	0.373967	0.373967	0.373967	
739000	0.879386	1	0.384107	0.384107	0.384107	0.384107	
740000	0.879386	2	0.402923	0.402923	0.402923	0.571642	
741000	0.879386	1	0.350568	0.350568	0.350568	0.350568	
742000	0.879386	1	0.393016	0.393016	0.393016	0.393016	
743000	0.879386	1	0.328295	0.328295	0.328295	0.328295	
744000	0.879386	2	0.333577	0.333577	0.333577	0.384784	
745000	0.879386	2	0.393386	0.393386	0.393386	0.894285	
746000	0.879386	1	0.336400	0.336400	0.336400	0.336400	
747000	0.879386	2	0.331300	0.331300	0.331300	0.647343	
748000	0.879386	1	0.412137	0.412137	0.412137	0.412137	
749000	0.879386	1	0.333675	0.333675	0.333675	0.333675	
750000	0.879386	1	0.366273	0.366273	0.366273	0.366273	
751000	0.879386	1	0.351258	0.351258	0.351258	0.351258	
752000	0.879386	1	0.329551	0.329551	0.329551	0.329551	
753000	0.879386	2	0.467410	0.266553	0.266553	0.467410	
754000	0.879386	3	0.336826	0.329645	0.329645	0.663378	
755000	0.879386	2	0.381448	0.381448	0.241304	0.381448	
756000	0.879386	3	0.429166	0.319536	0.429166	0.523128	
757000	0.879386	1	0.331945	0.331945	0.331945	0.331945	
758000	0.879386	1	0.350297	0.350297	0.350297	0.350297	
759000	0.879386	2	0.376416	0.319378	0.319378	0.376416	
760000	0.879386	1	0.347935	0.347935	0.347935	0.347935	
761000	0.879386	1	0.323400	0.323400	0.323400	0.323400	
762000	0.879386	2	0.358998	0.358998	0.358998	0.520186	
763000	0.879386	2	0.315148	0.315148	0.315148	0.378074	
764000	0.879386	2	0.305024	0.305024	0.305024	0.408935	
765000	0.879386	1	0.384727	0.384727	0.384727	0.384727	
766000	0.879386	1	0.370115	0.370115	0.370115	0.370115	
767000	0.879386	1	0.337244	0.337244	0.337244	0.337244	
768000	0.879386	1	0.307477	0.307477	0.307477	0.307477	
769000	0.879386	4	0.353962	0.373584	0.365138	0.425512	
770000	0.879386	2	0.405470	0.405470	0.277396	0.405470	
771000	0.879386	2	0.331655	0.290712	0.290712	0.331655	
772000	0.879386	1	0.352325	0.352325	0.352325	0.352325	
773000	0.879386	2	0.347202	0.347202	0.347202	0.525023	
774000	0.879386	1	0.354450	0.354450	0.354450	0.354450	
775000	0.879386	2	0.296108	0.296108	0.296108	0.961394	
776000	0.879386	2	0.354813	0.354813	0.354813	0.583982	
777000	0.879386	2	0.334041	0.334041	0.334041	0.418604	
778000	0.879386	1	0.354142	0.354142	0.354142	0.354142	
779000	0.879386	2	0.315888	0.315888	0.315888	0.374672	
780000	0.879386	2	0.453395	0.270265	0.270265	0.453395	
781000	0.879386	2	0.355216	0.355216	0.355216	0.664021	
782000	0.879386	1	0.395193	0.395193	0.395193	0.395193	
783000	0.879386	2	0.329492	0.329492	0.329492	0.597773	
784000	0.879386	1	0.400072	0.400072	0.400072	0.400072	
785000	0.879386	1	0.349081	0.349081	0.349081	0.349081	
786000	0.879386	2	0.355623	0.355623	0.355623	0.383904	
787000	0.879386	2	0.308464	0.308464	0.308464	0.466726	
788000	0.879386	2	0.338368	0.285105	0.285105	0.285105	
789000	0.879386	2	0.315060	0.315060	0.315060	0.647025	
790000	0.879386	1	0.309596	0.309596	0.309596	0.309596	
791000	0.879386	1	0.322152	0.322152	0.322152	0.322152	
792000	0.879386	1	0.392419	0.392419	0.392419	0.392419	
793000	0.879386	2	0.331898	0.331898	0.331898	0.566036	
794000	0.879386	3	0.323764	0.295176	0.323764	0.358521	
795000	0.879386	2	0.327162	0.327162	0.327162	0.411083	
796000	0.879386	2	0.336828	0.336828	0.336828	0.736713	
797000	0.879386	1	0.358289	0.358289	0.358289	0.358289	
798000	0.879386	1	0.337136	0.337136	0.337136	0.337136	
799000	0.879386	2	0.323509	0.323509	0.323509	0.518569	
800000	0.879386	2	0.316957	0.316957	0.316957	0.490630	
801000	0.879386	2	0.296957	0.384938	0.384938	0.384938	
802000	0.879386	2	0.420165	0.333176	0.333176	0.420165	
803000	0.879386	2	0.318555	0.318555	0.318555	0.861189	
804000	0.879386	3	0.478811	0.262826	0.262826	0.668361	
805000	0.879386	2	0.299697	0.299697	0.299697	0.850917	
806000	0.879386	1	0.360439	0.360439	0.360439	0.360439	
807000	0.879386	2	0.395888	0.335727	0.335727	0.395888	
808000	0.879386	2	0.348937	0.348937	0.348937	0.713184	
809000	0.879386	1	0.354393	0.354393	0.354393	0.354393	
810000	0.879386	3	0.335831	0.323335	0.323335	0.434141	
811000	0.879386	1	0.333025	0.333025	0.333025	0.333025	
812000	0.879386	2	0.316963	0.316963	0.316963	0.666539	
813000	0.879386	1	0.310311	0.310311	0.310311	0.310311	
814000	0.879386	2	0.413865	0.413865	0.394880	0.413865	
815000	0.879386	1	0.380387	0.380387	0.380387	0.380387	
816000	0.879386	2	0.364094	0.364094	0.364094	0.652742	
817000	0.879386	1	0.339484	0.339484	0.339484	0.339484	
818000	0.879386	1	0.369025	0.369025	0.369025	0.369025	
819000	0.879386	1	0.377933	0.377933	0.377933	0.377933	
