Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1838000	71.353907	3	0.099064	0.408027	0.397201	0.095709	0.243359	0.251055	0.252443	0.253143	0.387313	0.099952	0.106561	0.406175	0.099064	0.408027	0.397201	0.095709	0.243359	0.251055	0.252443	0.253143	0.387313	0.099952	0.106561	0.406175	
1839000	71.353907	3	0.092249	0.407002	0.402895	0.097854	0.232606	0.253035	0.259740	0.254620	0.386050	0.098461	0.107770	0.407718	0.092249	0.407002	0.402895	0.097854	0.232606	0.253035	0.259740	0.254620	0.386050	0.098461	0.107770	0.407718	
1840000	71.353907	3	0.098604	0.406803	0.403520	0.091073	0.247173	0.257637	0.249542	0.245648	0.387099	0.103208	0.101830	0.407862	0.098604	0.406803	0.403520	0.091073	0.247173	0.257637	0.249542	0.245648	0.387099	0.103208	0.101830	0.407862	
1841000	71.353907	3	0.092795	0.406171	0.410907	0.090127	0.239571	0.260142	0.262237	0.238051	0.388409	0.101260	0.103982	0.406348	0.092795	0.406171	0.410907	0.090127	0.239571	0.260142	0.262237	0.238051	0.388409	0.101260	0.103982	0.406348	
1842000	71.353907	3	0.096818	0.403817	0.396907	0.102459	0.230596	0.272288	0.246640	0.250477	0.390771	0.098828	0.107564	0.402837	0.096818	0.403817	0.396907	0.102459	0.230596	0.272288	0.246640	0.250477	0.390771	0.098828	0.107564	0.402837	
1843000	71.353907	3	0.096818	0.403817	0.396907	0.102459	0.237957	0.261923	0.239392	0.260728	0.388130	0.104573	0.106561	0.400736	0.096818	0.403817	0.396907	0.102459	0.237957	0.261923	0.239392	0.260728	0.388130	0.104573	0.106561	0.400736	
1844000	71.353907	3	0.093444	0.412576	0.398903	0.095076	0.239945	0.268873	0.251036	0.240146	0.388811	0.102927	0.107129	0.401132	0.093444	0.412576	0.398903	0.095076	0.239945	0.268873	0.251036	0.240146	0.388811	0.102927	0.107129	0.401132	
1845000	71.353907	3	0.094924	0.408222	0.399469	0.097385	0.233583	0.248206	0.249808	0.268403	0.388811	0.102927	0.107129	0.401132	0.094924	0.408222	0.399469	0.097385	0.233583	0.248206	0.249808	0.268403	0.388811	0.102927	0.107129	0.401132	
1846000	71.353907	3	0.100450	0.402502	0.398113	0.098936	0.234755	0.250102	0.254627	0.260517	0.388811	0.102927	0.107129	0.401132	0.100450	0.402502	0.398113	0.098936	0.234755	0.250102	0.254627	0.260517	0.388811	0.102927	0.107129	0.401132	
1847000	71.353907	3	0.096936	0.402165	0.404546	0.096353	0.235738	0.253458	0.246380	0.264424	0.386616	0.102966	0.107259	0.403159	0.096936	0.402165	0.404546	0.096353	0.235738	0.253458	0.246380	0.264424	0.386616	0.102966	0.107259	0.403159	
1848000	71.353907	3	0.098346	0.410315	0.391157	0.100182	0.243045	0.266686	0.240373	0.249896	0.386616	0.102966	0.107259	0.403159	0.098346	0.410315	0.391157	0.100182	0.243045	0.266686	0.240373	0.249896	0.386616	0.102966	0.107259	0.403159	
1849000	71.353907	3	0.097930	0.410948	0.402161	0.088962	0.239327	0.261202	0.247101	0.252370	0.386739	0.103604	0.106259	0.403398	0.097930	0.410948	0.402161	0.088962	0.239327	0.261202	0.247101	0.252370	0.386739	0.103604	0.106259	0.403398	
1850000	71.353907	3	0.088063	0.411807	0.407595	0.092535	0.247569	0.261503	0.236922	0.254005	0.386739	0.103604	0.106259	0.403398	0.088063	0.411807	0.407595	0.092535	0.247569	0.261503	0.236922	0.254005	0.386739	0.103604	0.106259	0.403398	
1851000	71.353907	3	0.092013	0.409370	0.400127	0.098490	0.246057	0.252328	0.248823	0.252792	0.386739	0.103604	0.106259	0.403398	0.092013	0.409370	0.400127	0.098490	0.246057	0.252328	0.248823	0.252792	0.386739	0.103604	0.106259	0.403398	
