Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	
151000	0.879386	1	0.808926	0.808926	0.808926	0.808926	
152000	0.879386	1	1.015337	1.015337	1.015337	1.015337	
153000	0.879386	1	1.006802	1.006802	1.006802	1.006802	
154000	0.879386	1	0.894494	0.894494	0.894494	0.894494	
155000	0.879386	1	0.863848	0.863848	0.863848	0.863848	
156000	0.879386	1	0.938840	0.938840	0.938840	0.938840	
157000	0.879386	1	0.861873	0.861873	0.861873	0.861873	
158000	0.879386	1	0.953941	0.953941	0.953941	0.953941	
159000	0.879386	1	0.926563	0.926563	0.926563	0.926563	
160000	0.879386	1	0.852461	0.852461	0.852461	0.852461	
161000	0.879386	1	0.852622	0.852622	0.852622	0.852622	
162000	0.879386	1	0.925810	0.925810	0.925810	0.925810	
163000	0.879386	1	0.899677	0.899677	0.899677	0.899677	
164000	0.879386	1	0.952534	0.952534	0.952534	0.952534	
165000	0.879386	1	0.780801	0.780801	0.780801	0.780801	
166000	0.879386	1	0.946212	0.946212	0.946212	0.946212	
167000	0.879386	1	0.904212	0.904212	0.904212	0.904212	
168000	0.879386	1	1.001618	1.001618	1.001618	1.001618	
169000	0.879386	1	1.043802	1.043802	1.043802	1.043802	
170000	0.879386	1	0.981666	0.981666	0.981666	0.981666	
171000	0.879386	1	0.913464	0.913464	0.913464	0.913464	
172000	0.879386	1	0.823861	0.823861	0.823861	0.823861	
173000	0.879386	1	0.933609	0.933609	0.933609	0.933609	
174000	0.879386	1	0.917897	0.917897	0.917897	0.917897	
175000	0.879386	1	0.787071	0.787071	0.787071	0.787071	
176000	0.879386	1	0.938236	0.938236	0.938236	0.938236	
177000	0.879386	1	0.897910	0.897910	0.897910	0.897910	
178000	0.879386	1	0.875393	0.875393	0.875393	0.875393	
179000	0.879386	1	0.829231	0.829231	0.829231	0.829231	
180000	0.879386	1	0.872729	0.872729	0.872729	0.872729	
181000	0.879386	1	0.887100	0.887100	0.887100	0.887100	
182000	0.879386	1	0.928053	0.928053	0.928053	0.928053	
183000	0.879386	1	0.900320	0.900320	0.900320	0.900320	
184000	0.879386	1	0.867082	0.867082	0.867082	0.867082	
185000	0.879386	1	0.951269	0.951269	0.951269	0.951269	
186000	0.879386	1	0.917715	0.917715	0.917715	0.917715	
187000	0.879386	1	0.886078	0.886078	0.886078	0.886078	
188000	0.879386	1	0.890519	0.890519	0.890519	0.890519	
189000	0.879386	1	0.941905	0.941905	0.941905	0.941905	
190000	0.879386	1	0.824875	0.824875	0.824875	0.824875	
191000	0.879386	1	0.876453	0.876453	0.876453	0.876453	
192000	0.879386	1	0.929457	0.929457	0.929457	0.929457	
193000	0.879386	1	0.928830	0.928830	0.928830	0.928830	
194000	0.879386	1	0.939506	0.939506	0.939506	0.939506	
195000	0.879386	1	0.831589	0.831589	0.831589	0.831589	
196000	0.879386	1	0.951308	0.951308	0.951308	0.951308	
197000	0.879386	1	1.001882	1.001882	1.001882	1.001882	
198000	0.879386	1	0.996844	0.996844	0.996844	0.996844	
199000	0.879386	1	1.021185	1.021185	1.021185	1.021185	
200000	0.879386	1	0.844424	0.844424	0.844424	0.844424	
201000	0.879386	1	0.959962	0.959962	0.959962	0.959962	
202000	0.879386	1	0.912979	0.912979	0.912979	0.912979	
203000	0.879386	1	0.935510	0.935510	0.935510	0.935510	
204000	0.879386	1	1.022970	1.022970	1.022970	1.022970	
205000	0.879386	1	0.963996	0.963996	0.963996	0.963996	
206000	0.879386	1	0.998112	0.998112	0.998112	0.998112	
207000	0.879386	1	0.993768	0.993768	0.993768	0.993768	
208000	0.879386	1	0.949176	0.949176	0.949176	0.949176	
209000	0.879386	1	0.848042	0.848042	0.848042	0.848042	
210000	0.879386	1	0.874579	0.874579	0.874579	0.874579	
211000	0.879386	1	1.025327	1.025327	1.025327	1.025327	
212000	0.879386	1	1.014832	1.014832	1.014832	1.014832	
213000	0.879386	1	0.996838	0.996838	0.996838	0.996838	
214000	0.879386	1	0.994102	0.994102	0.994102	0.994102	
215000	0.879386	1	0.890219	0.890219	0.890219	0.890219	
216000	0.879386	1	0.962905	0.962905	0.962905	0.962905	
217000	0.879386	1	0.925099	0.925099	0.925099	0.925099	
218000	0.879386	1	0.874612	0.874612	0.874612	0.874612	
219000	0.879386	1	1.057404	1.057404	1.057404	1.057404	
220000	0.879386	1	0.920459	0.920459	0.920459	0.920459	
221000	0.879386	1	0.832026	0.832026	0.832026	0.832026	
222000	0.879386	1	0.859434	0.859434	0.859434	0.859434	
223000	0.879386	1	0.896443	0.896443	0.896443	0.896443	
224000	0.879386	1	0.856800	0.856800	0.856800	0.856800	
225000	0.879386	1	0.921116	0.921116	0.921116	0.921116	
226000	0.879386	1	0.935319	0.935319	0.935319	0.935319	
227000	0.879386	1	0.936675	0.936675	0.936675	0.936675	
228000	0.879386	1	0.923916	0.923916	0.923916	0.923916	
229000	0.879386	1	0.838046	0.838046	0.838046	0.838046	
230000	0.879386	1	0.861850	0.861850	0.861850	0.861850	
231000	0.879386	1	0.938014	0.938014	0.938014	0.938014	
232000	0.879386	1	0.813336	0.813336	0.813336	0.813336	
233000	0.879386	1	0.880186	0.880186	0.880186	0.880186	
234000	0.879386	1	0.898154	0.898154	0.898154	0.898154	
235000	0.879386	1	0.886436	0.886436	0.886436	0.886436	
236000	0.879386	1	0.767402	0.767402	0.767402	0.767402	
237000	0.879386	1	0.841875	0.841875	0.841875	0.841875	
238000	0.879386	1	0.899821	0.899821	0.899821	0.899821	
239000	0.879386	1	0.906207	0.906207	0.906207	0.906207	
240000	0.879386	1	0.866481	0.866481	0.866481	0.866481	
241000	0.879386	1	0.940348	0.940348	0.940348	0.940348	
242000	0.879386	1	0.897169	0.897169	0.897169	0.897169	
243000	0.879386	1	0.794135	0.794135	0.794135	0.794135	
244000	0.879386	1	0.870953	0.870953	0.870953	0.870953	
245000	0.879386	1	0.880551	0.880551	0.880551	0.880551	
246000	0.879386	1	0.913385	0.913385	0.913385	0.913385	
247000	0.879386	1	0.850096	0.850096	0.850096	0.850096	
248000	0.879386	1	0.954940	0.954940	0.954940	0.954940	
249000	0.879386	1	0.939912	0.939912	0.939912	0.939912	
250000	0.879386	1	1.015647	1.015647	1.015647	1.015647	
251000	0.879386	1	0.883059	0.883059	0.883059	0.883059	
252000	0.879386	1	0.898013	0.898013	0.898013	0.898013	
253000	0.879386	1	0.873565	0.873565	0.873565	0.873565	
254000	0.879386	1	0.956532	0.956532	0.956532	0.956532	
255000	0.879386	1	0.867986	0.867986	0.867986	0.867986	
256000	0.879386	1	0.801054	0.801054	0.801054	0.801054	
257000	0.879386	1	0.956571	0.956571	0.956571	0.956571	
258000	0.879386	1	1.043515	1.043515	1.043515	1.043515	
259000	0.879386	1	0.878741	0.878741	0.878741	0.878741	
260000	0.879386	1	0.963910	0.963910	0.963910	0.963910	
261000	0.879386	1	0.895933	0.895933	0.895933	0.895933	
262000	0.879386	1	0.901599	0.901599	0.901599	0.901599	
263000	0.879386	1	0.908975	0.908975	0.908975	0.908975	
264000	0.879386	1	1.031177	1.031177	1.031177	1.031177	
265000	0.879386	1	1.067835	1.067835	1.067835	1.067835	
266000	0.879386	1	0.876889	0.876889	0.876889	0.876889	
267000	0.879386	1	1.059175	1.059175	1.059175	1.059175	
268000	0.879386	1	1.007062	1.007062	1.007062	1.007062	
269000	0.879386	1	0.996186	0.996186	0.996186	0.996186	
270000	0.879386	1	0.820884	0.820884	0.820884	0.820884	
271000	0.879386	1	0.894535	0.894535	0.894535	0.894535	
272000	0.879386	1	0.899769	0.899769	0.899769	0.899769	
273000	0.879386	1	1.008201	1.008201	1.008201	1.008201	
274000	0.879386	1	0.872836	0.872836	0.872836	0.872836	
275000	0.879386	1	0.874889	0.874889	0.874889	0.874889	
276000	0.879386	1	0.979818	0.979818	0.979818	0.979818	
277000	0.879386	1	0.875892	0.875892	0.875892	0.875892	
278000	0.879386	1	0.849770	0.849770	0.849770	0.849770	
279000	0.879386	1	0.904633	0.904633	0.904633	0.904633	
280000	0.879386	1	0.933344	0.933344	0.933344	0.933344	
281000	0.879386	1	0.966635	0.966635	0.966635	0.966635	
282000	0.879386	1	0.969987	0.969987	0.969987	0.969987	
283000	0.879386	1	0.995033	0.995033	0.995033	0.995033	
284000	0.879386	1	0.936919	0.936919	0.936919	0.936919	
285000	0.879386	1	0.883348	0.883348	0.883348	0.883348	
286000	0.879386	1	0.917291	0.917291	0.917291	0.917291	
287000	0.879386	1	0.879753	0.879753	0.879753	0.879753	
288000	0.879386	1	0.895848	0.895848	0.895848	0.895848	
289000	0.879386	1	0.829033	0.829033	0.829033	0.829033	
290000	0.879386	1	0.833755	0.833755	0.833755	0.833755	
291000	0.879386	1	0.885985	0.885985	0.885985	0.885985	
292000	0.879386	1	0.886943	0.886943	0.886943	0.886943	
293000	0.879386	1	0.865776	0.865776	0.865776	0.865776	
294000	0.879386	1	0.844519	0.844519	0.844519	0.844519	
295000	0.879386	1	1.012146	1.012146	1.012146	1.012146	
296000	0.879386	1	0.920937	0.920937	0.920937	0.920937	
297000	0.879386	1	0.926863	0.926863	0.926863	0.926863	
298000	0.879386	1	0.819962	0.819962	0.819962	0.819962	
299000	0.879386	1	0.865522	0.865522	0.865522	0.865522	
300000	0.879386	1	0.884713	0.884713	0.884713	0.884713	
301000	0.879386	1	1.025551	1.025551	1.025551	1.025551	
302000	0.879386	1	0.965999	0.965999	0.965999	0.965999	
303000	0.879386	1	0.860326	0.860326	0.860326	0.860326	
304000	0.879386	1	0.940099	0.940099	0.940099	0.940099	
305000	0.879386	1	0.970789	0.970789	0.970789	0.970789	
306000	0.879386	1	0.901609	0.901609	0.901609	0.901609	
307000	0.879386	1	0.864160	0.864160	0.864160	0.864160	
308000	0.879386	1	0.865709	0.865709	0.865709	0.865709	
309000	0.879386	1	0.938083	0.938083	0.938083	0.938083	
310000	0.879386	1	0.900268	0.900268	0.900268	0.900268	
311000	0.879386	1	1.003519	1.003519	1.003519	1.003519	
