Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
5457000	0.879386	1	0.279386	0.226188	0.194654	0.299772	0.279386	0.226188	0.194654	0.299772	0.279386	0.226188	0.194654	0.299772	0.279386	0.226188	0.194654	0.299772	
5458000	0.879386	2	0.274001	0.290017	0.261668	0.174315	0.306721	0.208007	0.098639	0.386633	0.306721	0.208007	0.098639	0.386633	0.306721	0.208007	0.098639	0.386633	
5459000	0.879386	1	0.277368	0.203053	0.211940	0.307639	0.277368	0.203053	0.211940	0.307639	0.277368	0.203053	0.211940	0.307639	0.277368	0.203053	0.211940	0.307639	
5460000	0.879386	1	0.334940	0.176303	0.189363	0.299393	0.334940	0.176303	0.189363	0.299393	0.334940	0.176303	0.189363	0.299393	0.334940	0.176303	0.189363	0.299393	
5461000	0.879386	1	0.279843	0.188361	0.223736	0.308060	0.279843	0.188361	0.223736	0.308060	0.279843	0.188361	0.223736	0.308060	0.279843	0.188361	0.223736	0.308060	
5462000	0.879386	1	0.358241	0.167766	0.178776	0.295217	0.358241	0.167766	0.178776	0.295217	0.358241	0.167766	0.178776	0.295217	0.358241	0.167766	0.178776	0.295217	
5463000	0.879386	1	0.275000	0.221336	0.215616	0.288048	0.275000	0.221336	0.215616	0.288048	0.275000	0.221336	0.215616	0.288048	0.275000	0.221336	0.215616	0.288048	
5464000	0.879386	1	0.277009	0.207705	0.225917	0.289369	0.277009	0.207705	0.225917	0.289369	0.277009	0.207705	0.225917	0.289369	0.277009	0.207705	0.225917	0.289369	
5465000	0.879386	1	0.303928	0.227366	0.189612	0.279093	0.303928	0.227366	0.189612	0.279093	0.303928	0.227366	0.189612	0.279093	0.303928	0.227366	0.189612	0.279093	
5466000	0.879386	1	0.261700	0.166781	0.195121	0.376397	0.261700	0.166781	0.195121	0.376397	0.261700	0.166781	0.195121	0.376397	0.261700	0.166781	0.195121	0.376397	
